Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
F,355.0,Haaland,140,140,Man City,83.0,7.622,83.0,6.362,83.0,6.153,83.0,6.803,83.0,6.693,83.0,4.762
M,308.0,Salah,125,125,Liverpool,84.0,5.367,84.0,6.53,84.0,7.07,84.0,7.099,84.0,6.382,84.0,5.43
M,516.0,Son,90,90,Spurs,82.0,5.934,82.0,6.096,82.0,6.412,82.0,4.806,82.0,5.027,82.0,6.227
M,14.0,Ødegaard,85,85,Arsenal,85.0,6.28,85.0,5.533,85.0,5.981,85.0,5.899,85.0,6.064,85.0,4.675
M,373.0,Fernandes,85,85,Man Utd,85.0,6.05,85.0,4.822,85.0,5.033,85.0,6.026,85.0,5.708,85.0,5.521
M,353.0,Foden,76,76,Man City,70.0,6.323,70.0,5.471,70.0,5.229,70.0,5.621,70.0,5.407,70.0,4.471
D,430.0,Trippier,65,65,Newcastle,86.0,4.442,86.0,4.137,86.0,5.118,86.0,5.827,86.0,6.627,86.0,5.127
M,396.0,Rashford,90,90,Man Utd,80.0,5.719,80.0,4.442,80.0,4.583,80.0,5.593,80.0,5.32,80.0,5.12
M,504.0,Maddison,76,76,Spurs,81.0,5.221,81.0,5.309,81.0,5.546,81.0,4.059,81.0,4.363,81.0,5.371
M,108.0,Mbeumo,67,67,Brentford,83.0,5.109,83.0,5.439,83.0,4.16,83.0,5.351,83.0,5.265,83.0,4.475
M,226.0,Eze,64,64,Crystal Palace,85.0,4.542,85.0,5.301,85.0,4.598,85.0,5.111,85.0,4.367,85.0,5.317
M,12.0,Martinelli,80,80,Arsenal,75.0,5.237,75.0,4.665,75.0,5.072,75.0,4.966,75.0,5.18,75.0,4.049
F,211.0,N.Jackson,70,70,Chelsea,76.0,5.657,76.0,4.879,76.0,4.826,76.0,4.34,76.0,4.58,76.0,4.869
M,19.0,Saka,86,86,Arsenal,85.0,5.218,85.0,4.677,85.0,5.022,85.0,5.041,85.0,5.134,85.0,4.015
M,216.0,Sterling,70,70,Chelsea,75.0,5.059,75.0,4.909,75.0,4.741,75.0,4.442,75.0,4.617,75.0,4.817
M,143.0,Mitoma,66,66,Brighton,76.0,4.986,76.0,4.204,76.0,4.442,76.0,5.206,76.0,4.599,76.0,4.261
F,343.0,Álvarez,66,66,Man City,72.0,5.27,72.0,4.567,72.0,4.508,72.0,4.622,72.0,4.613,72.0,4.033
M,303.0,Luis Díaz,77,77,Liverpool,70.0,4.039,70.0,4.559,70.0,4.874,70.0,4.797,70.0,4.546,70.0,4.099
M,599.0,Diaby,66,66,Aston Villa,76.0,4.875,76.0,3.937,76.0,4.691,76.0,4.436,76.0,4.08,76.0,4.831
D,195.0,Chilwell,57,57,Chelsea,77.0,5.202,77.0,4.908,77.0,4.25,77.0,3.801,77.0,4.044,77.0,4.378
D,290.0,Alexander-Arnold,80,80,Liverpool,82.0,3.45,82.0,4.628,82.0,5.019,82.0,5.201,82.0,4.532,82.0,3.646
G,352.0,Ederson,55,55,Man City,88.0,4.429,88.0,5.026,88.0,4.012,88.0,5.248,88.0,4.194,88.0,3.148
M,134.0,Groß,64,64,Brighton,82.0,4.614,82.0,4.007,82.0,3.973,82.0,4.848,82.0,4.181,82.0,4.083
D,197.0,Colwill,45,45,Chelsea,77.0,5.042,77.0,4.748,77.0,4.075,77.0,3.69,77.0,3.877,77.0,4.225
D,350.0,Dias,55,55,Man City,75.0,4.504,75.0,4.872,75.0,3.934,75.0,5.221,75.0,4.213,75.0,2.863
M,354.0,Grealish,74,74,Man City,74.0,4.422,74.0,4.356,74.0,4.074,74.0,4.492,74.0,4.258,74.0,3.562
G,424.0,Pope,55,55,Newcastle,89.0,3.567,89.0,3.388,89.0,4.112,89.0,4.605,89.0,5.329,89.0,4.06
F,60.0,Watkins,80,80,Aston Villa,82.0,4.55,82.0,3.664,82.0,4.29,82.0,4.149,82.0,3.714,82.0,4.538
G,17.0,Ramsdale,50,50,Arsenal,85.0,4.892,85.0,3.928,85.0,4.144,85.0,4.516,85.0,4.224,85.0,3.014
M,6.0,Havertz,74,74,Arsenal,75.0,4.332,75.0,3.927,75.0,4.172,75.0,4.165,75.0,4.274,75.0,3.412
G,230.0,Johnstone,45,45,Crystal Palace,88.0,3.548,88.0,4.585,88.0,3.587,88.0,4.464,88.0,3.405,88.0,4.67
D,307.0,Robertson,65,65,Liverpool,80.0,3.097,80.0,4.23,80.0,4.63,80.0,4.802,80.0,4.152,80.0,3.291
F,13.0,Nketiah,56,56,Arsenal,76.0,4.223,76.0,3.888,76.0,4.18,76.0,4.095,76.0,4.09,76.0,3.613
D,131.0,Estupiñán,52,52,Brighton,77.0,4.696,77.0,3.457,77.0,3.437,77.0,5.255,77.0,3.638,77.0,3.504
M,526.0,Bowen,70,70,West Ham,79.0,3.642,79.0,4.646,79.0,3.546,79.0,3.637,79.0,4.797,79.0,3.687
