Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,370,S.Longstaff,4.3,4.3,Newcastle,80,3.619,65,5.109,61,2.462,63,3.207,63,2.333,60,2.245,60,2.241,60,2.296,61,2.646
M,64,Lerma,4.7,4.7,Bournemouth,83,2.665,79,5.316,78,2.63,78,2.504,75,2.601,74,2.64,75,2.628,72,2.445,74,2.596
D,628,Aurier,4.4,4.4,Nott'm Forest,74,2.753,72,6.43,71,2.692,69,2.317,69,1.884,68,2.244,67,2.183,67,3.242,67,2.248
M,42,Buendía,5.7,5.7,Aston Villa,71,3.785,66,5.939,62,2.913,59,2.203,59,2.206,60,2.378,57,1.973,59,2.297,59,2.223
D,230,Koch,4.5,4.5,Leeds,83,3.147,80,5.581,74,3.45,74,1.985,74,2.036,71,2.775,71,3.04,72,1.451,69,2.42
G,425,Lloris,5.4,5.4,Spurs,0,0.039,23,1.192,40,1.333,73,4.399,86,3.587,87,3.671,86,3.061,86,4.766,85,3.836
D,272,W.Fofana,4.3,4.3,Chelsea,61,2.85,72,6.39,72,3.664,64,2.461,67,0.519,65,2.914,62,1.95,62,2.648,57,2.4
M,266,Dewsbury-Hall,4.9,4.9,Leicester,80,2.794,75,5.816,72,2.885,73,2.357,68,2.667,68,2.55,63,2.369,63,2.178,63,2.041
D,73,Kelly,4.3,4.3,Bournemouth,81,2.703,74,5.193,73,2.406,70,2.015,67,2.579,72,2.976,69,2.739,67,2.226,69,2.807
D,201,Ream,4.6,4.6,Fulham,0,0.0,86,3.239,84,3.435,83,3.338,83,2.682,80,2.858,80,3.299,81,3.277,81,3.507
M,723,H.Traorè,4.5,4.5,Bournemouth,3,1.089,61,4.67,66,2.91,66,2.681,65,2.898,64,2.904,65,2.875,64,2.574,63,2.782
