,code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,fbref,understat,transfermarkt,23-24
5,535301,Carlos,Baleba,Baleba,,,,,,,,,10527.0,,690
6,465607,Anssumane,Fati Vieira,Ansu Fati,,,,,,,,,7967.0,,700
7,247245,Hannes,Delcroix,Delcroix,,,,,,,,,11998.0,,674
9,437757,Han-Noah,Massengo,Massengo,,,,,,,,,7264.0,,694
10,437748,Mike,Trésor,M.Trésor,,,,,,,,,12094.0,,706
11,617054,Deivid Washington,de Souza Eugênio,Deivid,,,,,,,,,4072.0,,677
13,491011,Diego Manuel Jadon,da Silva Moreira,Diego Moreira,,,,,,,,,11978.0,,681
18,486385,Norberto Bercique,Gomes Betuncal,Beto,,,,,,,,,9983.0,,691
24,441266,Ryan,Gravenberch,Gravenberch,,,,,,,,,10697.0,,708
26,248875,Jérémy,Doku,Doku,,,,,,,,,8981.0,,678
30,172912,Sofyan,Amrabat,Amrabat,,,,,,,,,7927.0,,709
31,218430,Gonzalo,Montiel,G.Montiel,,,,,,,,,9897.0,,679
33,111452,Odysseas,Vlachodimos,Odysseas,,,,,,,,,375.0,,710
36,210462,Ibrahim,Sangaré,Sangaré,,,,,,,,,5722.0,,713
41,460842,Mohammed,Kudus,Kudus,,,,,,,,,12027.0,,689
42,231480,Santiago,Bueno,S.Bueno,,,,,,,,,10945.0,,697
45,231057,Jean-Ricner,Bellegarde,Bellegarde,,,,,,,,,7762.0,,715
