,code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,fbref,understat,transfermarkt,23-24,Unnamed: 0
42,58621,Kyle,Walker,Walker,384.0,379.0,265.0,203.0,270.0,249.0,299.0,86dd77d1,638.0,95424.0,369.0,
43,58822,Cédric,Alves Soares,Cédric,301.0,310.0,332.0,486.0,5.0,5.0,1.0,839c14e1,847.0,112988.0,2.0,
44,59735,Karl,Darlow,Darlow,,287.0,308.0,263.0,325.0,294.0,353.0,cde3309f,780.0,99397.0,408.0,
45,59949,Seamus,Coleman,Coleman,126.0,139.0,157.0,144.0,152.0,165.0,178.0,0420d84f,585.0,68390.0,247.0,
46,60232,Craig,Dawson,Dawson,433.0,424.0,,439.0,576.0,414.0,459.0,3e9e06cb,804.0,121477.0,551.0,
47,60252,Andros,Townsend,Townsend,120.0,131.0,149.0,135.0,137.0,482.0,179.0,b28bbd58,775.0,61842.0,727.0,
48,60307,Pascal,Groß,Groß,,70.0,59.0,49.0,57.0,55.0,104.0,8aec0537,239.0,82873.0,134.0,
49,60586,Johann Berg,Gudmundsson,Gudmundsson,473.0,84.0,76.0,96.0,90.0,108.0,,f72293fc,1663.0,89231.0,170.0,
50,60689,Chris,Wood,Wood,,518.0,87.0,91.0,91.0,109.0,354.0,4e9a0555,4456.0,108725.0,468.0,
51,60706,Adrián,San Miguel del Castillo,Adrián,450.0,438.0,399.0,526.0,245.0,223.0,497.0,f76e6b4e,527.0,71271.0,289.0,
52,60914,Joel,Matip,Matip,199.0,219.0,243.0,185.0,246.0,224.0,276.0,b217ef29,332.0,82105.0,305.0,
53,61256,Carlos Henrique,Casimiro,Casemiro,,,,,,,593.0,4d224fe8,2248.0,16306.0,376.0,
54,61366,Kevin,De Bruyne,De Bruyne,235.0,252.0,273.0,215.0,272.0,251.0,301.0,e46012d4,447.0,88755.0,349.0,
55,61558,Thiago,Alcántara do Nascimento,Thiago,,,,,531.0,225.0,277.0,77e84962,229.0,60444.0,310.0,
56,66749,Romelu,Lukaku,Lukaku,143.0,285.0,306.0,232.0,,529.0,,5eae500a,594.0,96341.0,207.0,
57,67089,Martin,Dubravka,Dubravka,,621.0,309.0,262.0,326.0,295.0,355.0,3a949a25,6532.0,74960.0,409.0,
58,69752,Norberto,Murara Neto,Neto,,,,,,,574.0,a9dc785c,1297.0,111819.0,77.0,
59,75115,Callum,Wilson,Wilson,49.0,48.0,43.0,67.0,506.0,296.0,356.0,c596fcb0,468.0,123682.0,433.0,
60,76357,Tom,Cairney,Cairney,,,182.0,,175.0,,200.0,a8748947,6835.0,123275.0,268.0,
61,77794,Kieran,Trippier,Trippier,387.0,382.0,357.0,334.0,,678.0,357.0,21512407,652.0,95810.0,430.0,
62,78830,Harry,Kane,Kane,403.0,394.0,372.0,338.0,388.0,357.0,427.0,21a66f6a,647.0,132098.0,500.0,
63,78916,Dan,Burn,Burn,,,582.0,475.0,61.0,58.0,358.0,b2d31e83,7382.0,134270.0,407.0,
64,79602,Daniel,Bentley,Bentley,,,,,,,717.0,68db6358,11361.0,136401.0,546.0,
65,79934,Oliver,Norwood,Norwood,,68.0,,302.0,349.0,,,43439614,7710.0,73547.0,488.0,
66,80146,Jordan,Ayew,J.Ayew,642.0,373.0,505.0,468.0,140.0,153.0,159.0,da052c14,672.0,108354.0,221.0,
67,80201,Bernd,Leno,Leno,,,2.0,14.0,8.0,1.0,2.0,2628fd2b,181.0,72476.0,275.0,
68,80226,Serge,Aurier,Aurier,,532.0,360.0,336.0,389.0,358.0,628.0,5c2b4f07,3600.0,127032.0,436.0,
69,80607,Christian,Eriksen,Eriksen,394.0,387.0,364.0,343.0,,699.0,519.0,980522ec,646.0,69633.0,379.0,
70,80801,Idrissa,Gueye,Gueye,488.0,155.0,168.0,156.0,,,611.0,72c812f3,668.0,126665.0,254.0,
71,81012,Ryan,Fredericks,Fredericks,,,408.0,380.0,438.0,415.0,59.0,c067631c,6891.0,140191.0,68.0,
72,81441,Mark,Gillespie,Gillespie,,,,,488.0,514.0,,e32958b7,8729.0,142389.0,411.0,
73,82143,Wes,Foderingham,Foderingham,,,,,350.0,,,96cf7b61,8776.0,61697.0,482.0,
74,82514,Tim,Ream,Ream,,,180.0,,176.0,,201.0,28b40c9c,7184.0,145466.0,281.0,
75,82691,George,Baldock,Baldock,,,,294.0,351.0,,,394854c4,7706.0,146690.0,473.0,
76,83283,Nathan,Redmond,Redmond,304.0,324.0,343.0,320.0,365.0,336.0,403.0,ab651565,790.0,129078.0,600.0,
77,83299,Lewis,Dunk,Dunk,,55.0,48.0,42.0,62.0,59.0,106.0,282f75f3,6048.0,148153.0,129.0,
78,83314,Jeff,Hendrick,Hendrick,560.0,86.0,78.0,100.0,485.0,297.0,375.0,989d5705,1746.0,148262.0,414.0,
79,83427,Jack,Robinson,Jack Robinson,,,,611.0,352.0,,,7399c7a8,8286.0,128909.0,576.0,
80,83543,Anthony,Knockaert,Knockaert,,62.0,55.0,52.0,177.0,,202.0,6c679c6d,4497.0,149237.0,273.0,
81,84182,Alphonse,Areola,Areola,,,,,516.0,489.0,473.0,2f965a72,2310.0,120629.0,524.0,
82,84450,Granit,Xhaka,Xhaka,24.0,23.0,17.0,18.0,9.0,7.0,3.0,e61b8aee,204.0,111455.0,30.0,
83,84583,Philippe,Coutinho Correia,Coutinho,203.0,226.0,,,,681.0,29.0,0ef89a37,488.0,80444.0,38.0,
84,84939,Danny,Ings,Ings,216.0,237.0,258.0,313.0,366.0,337.0,30.0,07802f7f,986.0,134294.0,535.0,
85,85955,Jorge Luiz,Frello Filho,Jorginho,,,459.0,118.0,105.0,123.0,130.0,45db685d,1389.0,102017.0,9.0,
86,85971,Son,Heung-min,Son,402.0,390.0,367.0,342.0,390.0,359.0,428.0,92e7e919,453.0,91845.0,516.0,
87,86417,Jeffrey,Schlupp,Schlupp,169.0,123.0,141.0,137.0,142.0,155.0,161.0,3312f911,757.0,157506.0,240.0,
88,87835,Matt,Doherty,Doherty,,,425.0,401.0,457.0,360.0,429.0,d557d734,6852.0,171679.0,598.0,
89,88248,Stefan,Ortega Moreno,Ortega,,,,,,,324.0,c1242d4e,8786.0,85941.0,361.0,
90,88484,Pablo,Sarabia,Sarabia,,,,,,,704.0,9744ff80,2199.0,74230.0,570.0,
91,88894,Ross,Barkley,Barkley,134.0,149.0,127.0,117.0,106.0,124.0,131.0,3a24769f,592.0,131978.0,630.0,
92,89076,Remo,Freuler,Freuler,,,,,,,582.0,98d2c2c4,1488.0,148252.0,446.0,
93,90105,Ryan,Fraser,Fraser,536.0,47.0,40.0,75.0,507.0,298.0,359.0,d56543a0,1683.0,146795.0,410.0,
94,90152,Raphaël,Varane,Varane,,,,,,555.0,329.0,9f8e9423,2245.0,164770.0,395.0,
95,90585,Willy,Boly,Boly,,,423.0,405.0,458.0,428.0,474.0,a4ac4b8f,6850.0,142310.0,439.0,
96,91651,Mateo,Kovacic,Kovacic,,,499.0,432.0,107.0,125.0,132.0,79c0821a,2254.0,51471.0,356.0,
97,93264,Eric,Dier,Dier,390.0,384.0,361.0,350.0,391.0,361.0,430.0,ac861941,643.0,175722.0,496.0,
98,95658,Harry,Maguire,Maguire,153.0,198.0,220.0,160.0,298.0,273.0,330.0,d8931174,1687.0,177907.0,387.0,
99,96994,Bobby,De Cordova-Reid,De Cordova-Reid,,,110.0,,181.0,,205.0,0f7533cd,6827.0,186186.0,270.0,
100,97032,Virgil,van Dijk,Van Dijk,303.0,311.0,246.0,183.0,250.0,229.0,280.0,e06683ca,833.0,139208.0,313.0,
101,97299,John,Stones,Stones,128.0,242.0,262.0,207.0,273.0,252.0,302.0,5eecec3d,586.0,186590.0,368.0,
102,98747,Nick,Pope,Pope,471.0,469.0,68.0,93.0,96.0,112.0,376.0,4b40d9ca,5552.0,192080.0,424.0,
103,98980,Emiliano,Martínez Romero,Martínez,657.0,3.0,542.0,427.0,12.0,30.0,31.0,7956236f,4401.0,111873.0,49.0,
104,101148,Jamaal,Lascelles,Lascelles,,290.0,312.0,258.0,328.0,299.0,360.0,450ab6fc,766.0,183318.0,419.0,
105,101178,James,Ward-Prowse,Ward-Prowse,306.0,317.0,338.0,321.0,370.0,341.0,407.0,3515d404,843.0,181579.0,664.0,
106,101184,Calum,Chambers,Chambers,11.0,480.0,9.0,467.0,13.0,10.0,32.0,dc6f5bdd,508.0,215118.0,37.0,
107,101188,Lucas,Digne,Digne,,,484.0,141.0,155.0,168.0,33.0,1b84dbe1,1823.0,126664.0,42.0,
108,101582,Frederico,Rodrigues de Paula Santos,Fred,,,304.0,244.0,299.0,274.0,331.0,b853e0ad,6817.0,191614.0,381.0,
109,101982,Sam,Johnstone,Johnstone,,,,,417.0,,175.0,9e5708be,978.0,110864.0,230.0,
110,102057,Raúl,Jiménez,Jiménez,,,437.0,409.0,460.0,430.0,476.0,b561db50,4105.0,206040.0,558.0,
111,103025,Riyad,Mahrez,Mahrez,176.0,199.0,223.0,217.0,275.0,254.0,303.0,892d5bb1,750.0,171424.0,359.0,
112,103192,Kurt,Zouma,Zouma,79.0,99.0,526.0,459.0,110.0,128.0,461.0,ce4246f5,935.0,157509.0,544.0,
113,103914,Charlie,Taylor,Taylor,,81.0,74.0,87.0,97.0,113.0,,cc2d7ad5,6044.0,195633.0,178.0,
114,103955,Raheem,Sterling,Sterling,228.0,247.0,270.0,214.0,276.0,255.0,304.0,b400bde0,618.0,134425.0,216.0,
115,104542,Loris,Karius,Karius,189.0,214.0,238.0,,,,626.0,32e7ce92,37.0,85864.0,580.0,
116,106468,Alexandre,Moreno Lopera,Álex Moreno,,,,,,,694.0,16e9d0ea,4120.0,193098.0,32.0,
117,106611,Michael,Keane,Keane,58.0,146.0,162.0,143.0,156.0,169.0,180.0,c5b7c315,1653.0,118534.0,257.0,
118,106618,Paul,Dummett,Dummett,,291.0,313.0,255.0,331.0,301.0,362.0,3fe6bd8c,853.0,170321.0,581.0,
119,106760,Luke,Shaw,Shaw,247.0,265.0,286.0,226.0,300.0,275.0,332.0,9c94165b,1006.0,183288.0,398.0,
120,108413,Will,Hughes,Hughes,,416.0,392.0,370.0,,386.0,163.0,a0666d3e,6104.0,207014.0,229.0,
121,108416,John,Egan,Egan,,,,295.0,353.0,,,debe38a0,7703.0,121324.0,480.0,
122,108823,Dele,Alli,Dele,398.0,388.0,365.0,344.0,394.0,363.0,181.0,cea4ee8f,645.0,207929.0,248.0,
123,109345,Solly,March,March,,66.0,58.0,55.0,65.0,60.0,107.0,bb5fbd2b,6049.0,209212.0,140.0,
124,109434,Terence,Kongolo,Kongolo,,591.0,198.0,,585.0,,208.0,1f9a3a04,6067.0,152651.0,274.0,
125,109528,Javier,Manquillo Gaitán,Manquillo,538.0,477.0,315.0,256.0,332.0,302.0,363.0,758dd7f0,1719.0,162029.0,422.0,
126,109533,Emerson,Palmieri dos Santos,Emerson,,614.0,121.0,107.0,111.0,539.0,545.0,e0bc6fdc,1245.0,181778.0,532.0,
127,109646,Tosin,Adarabioyo,Tosin,607.0,586.0,,,572.0,,209.0,c81d773d,5590.0,258878.0,286.0,
128,109745,Kepa,Arrizabalaga,Arrizabalaga,,,498.0,111.0,112.0,129.0,133.0,28d596a0,5061.0,192279.0,187.0,
129,110504,Bertrand,Traoré,Traoré,91.0,,,,540.0,32.0,34.0,c47541e0,695.0,131996.0,59.0,
130,110735,Adam,Webster,Webster,,,,493.0,66.0,61.0,108.0,c40b6180,7699.0,212847.0,153.0,
131,111234,Jordan,Pickford,Pickford,340.0,135.0,154.0,148.0,157.0,170.0,182.0,4806ec67,741.0,130164.0,263.0,
132,111317,David,Brooks,Brooks,,,42.0,76.0,,,60.0,dc4cae05,6820.0,277033.0,64.0,
133,111478,Joël,Veltman,Veltman,,,,,67.0,62.0,109.0,dad4b285,8780.0,111195.0,151.0,
134,111773,Emil,Krafth,Krafth,,,,519.0,333.0,303.0,364.0,77cf6852,1545.0,184528.0,417.0,
135,111782,Robin,Olsen,Olsen,,,,,573.0,691.0,35.0,e7ee38c3,6962.0,75458.0,53.0,
136,113534,Matt,Macey,Macey,660.0,559.0,,646.0,527.0,,,136e7649,903.0,220491.0,323.0,
137,114128,Jonathan,Castro Otto,Jonny,,,483.0,402.0,462.0,433.0,477.0,e28868f3,2280.0,175446.0,560.0,
138,114241,Harry,Toffolo,Toffolo,,,,,,,523.0,a105d46a,10758.0,198516.0,465.0,
139,114243,Jacob,Murphy,Murphy,,478.0,321.0,483.0,497.0,304.0,365.0,de112b84,6063.0,199527.0,423.0,
140,114283,Jack,Grealish,Grealish,,,,29.0,37.0,33.0,305.0,b0b4fd3e,675.0,203460.0,354.0,
141,115382,Neal,Maupay,Maupay,,,,502.0,68.0,63.0,110.0,4bcf39f6,3621.0,217115.0,258.0,
142,115556,Ben,Davies,Davies,386.0,381.0,356.0,329.0,395.0,364.0,432.0,44781702,660.0,192765.0,495.0,
143,115918,Rúnar Alex,Rúnarsson,Rúnarsson,,,,,547.0,2.0,,8fa8f8d2,6875.0,205657.0,18.0,
144,116216,Leandro,Trossard,Trossard,,,,421.0,69.0,64.0,111.0,38ceb24a,7698.0,144028.0,26.0,
145,116404,Felipe Augusto,de Almeida Monteiro,Felipe,,,,,,,730.0,51a3c4c8,7921.0,156501.0,445.0,
146,116535,Alisson,Ramses Becker,Alisson,,,468.0,189.0,252.0,231.0,281.0,7a2e46a8,1257.0,105470.0,291.0,
147,116643,Fabio Henrique,Tavares,Fabinho,,,255.0,197.0,253.0,232.0,282.0,7f3b388c,3420.0,225693.0,296.0,
148,118335,Abdul Rahman,Baba,Baba Rahman,80.0,,,,,,,e4086af3,684.0,224884.0,190.0,
149,118748,Mohamed,Salah,Salah,,234.0,253.0,191.0,254.0,233.0,283.0,e342ad68,1250.0,148455.0,308.0,
150,119471,Fabian,Schär,Schär,,,482.0,252.0,334.0,305.0,366.0,c8aa95da,76.0,135343.0,427.0,
151,120202,Wout,Weghorst,Weghorst,,,,,,700.0,701.0,c4e87b8b,7052.0,228645.0,183.0,
152,120250,André,Tavares Gomes,André Gomes,,,508.0,422.0,158.0,172.0,184.0,1961b2aa,2383.0,221025.0,244.0,
153,120721,Kevin,Mbabu,Mbabu,,,,,,,532.0,493924a7,983.0,183321.0,277.0,
154,121145,João,Cancelo,Cancelo,,,,518.0,277.0,256.0,306.0,bd6351cd,2379.0,182712.0,346.0,
155,121160,Ederson,Santana de Moraes,Ederson,,240.0,260.0,212.0,278.0,257.0,307.0,3bb7b8b4,6054.0,238223.0,352.0,
156,121599,Abdoulaye,Doucouré,A.Doucouré,482.0,414.0,390.0,368.0,512.0,173.0,185.0,02b29014,1726.0,127187.0,249.0,
157,122074,Marcus,Bettinelli,Bettinelli,,,178.0,,183.0,606.0,635.0,0d85a4e8,7076.0,116648.0,192.0,
158,122775,Morgan,Sanson,Sanson,,,,,647.0,34.0,36.0,6e7f1353,3696.0,174094.0,56.0,
