Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,19.0,Saka,85,85,Arsenal,84.0,5.962,84.0,5.259,84.0,5.744,84.0,5.167,84.0,5.463,84.0,5.679,84.0,5.675,84.0,4.397
F,8.0,Jesus,80,80,Arsenal,77.0,5.198,77.0,4.898,77.0,5.196,77.0,4.641,77.0,5.143,77.0,4.963,77.0,5.123,77.0,4.234
D,5.0,Gabriel,50,50,Arsenal,83.0,5.329,83.0,3.706,83.0,4.63,83.0,3.788,83.0,4.03,83.0,4.485,83.0,4.199,83.0,2.576
D,20.0,Saliba,50,50,Arsenal,80.0,5.159,80.0,3.541,80.0,4.449,80.0,3.586,80.0,3.853,80.0,4.274,80.0,4.024,80.0,2.411
M,6.0,Havertz,75,75,Arsenal,55.0,2.456,55.0,2.193,55.0,2.324,55.0,2.105,55.0,2.3,55.0,2.294,55.0,2.398,55.0,1.935
