Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,109,Veltman,4.6,4.6,Brighton,49,1.53,57,3.925,58,2.33,51,2.646,52,2.995,51,1.419
M,519,Eriksen,6.2,6.2,Man Utd,61,2.497,53,3.509,51,1.734,46,1.745,48,3.452,50,1.852
M,577,Onana,4.8,4.8,Everton,63,1.967,73,2.58,74,2.443,72,2.367,72,2.648,72,2.764
M,245,Roca,4.8,4.8,Leeds,79,2.77,74,2.622,75,2.208,72,2.347,72,2.408,70,2.397
D,410,Bednarek,4.2,4.2,Southampton,68,3.006,76,1.937,78,3.142,75,2.985,74,1.824,70,1.805
D,57,Smith,4.3,4.3,Bournemouth,82,2.624,80,2.68,79,2.365,77,2.399,77,1.954,77,2.574
D,730,Felipe,4.5,4.5,Nott'm Forest,86,2.133,81,2.215,81,3.339,80,2.296,78,1.916,78,2.668
M,6,Partey,4.7,4.7,Arsenal,71,2.271,71,2.633,68,2.327,67,2.283,65,2.483,66,2.502
M,293,Luis Díaz,7.8,7.8,Liverpool,19,1.493,32,4.302,39,2.095,42,2.155,45,2.08,44,2.276
D,409,Walker-Peters,4.4,4.4,Southampton,71,3.263,69,1.982,69,2.961,67,2.713,65,1.747,63,1.639
D,507,Niakhaté,4.3,4.3,Nott'm Forest,83,2.083,81,2.156,80,3.258,79,2.234,78,1.872,77,2.609
D,417,Perraud,4.1,4.1,Southampton,64,2.808,66,1.921,68,3.149,65,2.724,63,1.687,65,1.824
D,443,Romero,4.9,4.9,Spurs,86,2.128,81,1.582,80,3.082,77,2.214,77,2.477,77,2.516
D,510,Hickey,4.9,4.9,Brentford,77,2.623,74,3.704,74,1.725,67,2.512,63,1.858,66,1.553
D,71,Mepham,4.3,4.3,Bournemouth,73,2.566,71,2.575,73,2.339,71,2.372,67,1.76,67,2.348
M,160,Zaha,7.2,7.2,Crystal Palace,0,-0.047,1,0.947,28,1.416,66,3.476,77,3.974,75,4.184
M,400,Walcott,4.8,4.8,Southampton,66,2.946,63,2.31,62,2.576,61,2.402,60,1.852,59,1.813
F,227,Bamford,7.1,7.1,Leeds,45,1.878,51,2.076,64,2.507,62,2.451,61,2.497,59,2.355
M,159,J.Ayew,5.2,5.2,Crystal Palace,69,2.957,68,2.841,65,2.451,57,1.966,53,1.639,55,1.851
F,123,Undav,5.0,5.0,Brighton,36,2.05,22,3.155,17,1.456,15,2.831,14,2.792,15,1.388
M,321,Lavia,4.5,4.5,Southampton,75,2.512,73,2.136,74,2.454,73,2.39,72,2.078,68,2.029
M,369,Almirón,5.4,5.4,Newcastle,45,1.773,51,1.903,59,1.975,56,3.987,54,2.001,56,1.941
D,610,Akanji,5.0,5.0,Man City,72,2.914,54,3.508,50,1.529,50,1.438,50,2.657,51,1.412
F,166,Edouard,5.0,5.0,Crystal Palace,66,2.593,63,2.387,62,2.339,59,2.088,57,1.919,59,2.091
M,508,Sinisterra,6.5,6.5,Leeds,62,2.745,58,2.308,57,1.914,58,2.063,58,2.135,58,2.248
M,611,Gueye,4.8,4.8,Everton,73,2.321,69,2.309,70,2.153,68,2.039,66,2.224,67,2.342
M,562,Solomon,4.9,4.9,Fulham,33,1.91,37,3.584,36,2.007,32,1.912,35,1.963,37,1.84
D,230,Koch,4.5,4.5,Leeds,87,2.757,81,2.67,77,1.335,76,2.017,75,2.112,77,2.289
M,275,Henderson,5.3,5.3,Liverpool,56,1.687,60,4.173,61,2.108,57,1.793,55,1.575,53,1.659
F,262,Iheanacho,5.9,5.9,Leicester,54,2.468,47,2.34,47,2.251,45,1.928,44,1.902,46,2.094
M,720,McKennie,4.6,4.6,Leeds,77,2.61,72,2.421,71,2.033,69,2.153,67,2.024,61,1.696
M,161,Schlupp,4.7,4.7,Crystal Palace,64,2.465,62,2.237,62,2.21,61,2.206,58,1.828,58,1.929
F,701,Weghorst,5.4,5.4,Man Utd,38,1.619,35,3.044,31,1.563,31,1.643,32,3.234,31,1.654
F,356,Wilson,6.9,6.9,Newcastle,43,1.893,40,1.903,38,1.664,37,3.529,37,1.87,37,1.726
D,538,Young,4.3,4.3,Aston Villa,68,3.446,68,2.43,64,2.793,55,1.654,42,1.084,34,1.079
D,308,Aké,5.1,5.1,Man City,9,1.044,28,2.54,51,1.699,55,1.923,55,3.466,52,1.502
F,458,Antonio,7.0,7.0,West Ham,53,1.694,51,3.334,51,1.678,52,1.732,51,1.897,51,1.772
D,309,Laporte,5.6,5.6,Man City,54,1.754,48,3.172,41,1.495,41,1.482,40,2.752,41,1.411
D,341,Wan-Bissaka,4.3,4.3,Man Utd,43,1.482,44,2.796,47,1.527,47,1.597,46,3.077,46,1.584
D,457,Cresswell,4.7,4.7,West Ham,55,1.367,59,3.366,59,1.856,57,1.669,56,2.02,56,1.713
D,691,Wöber,4.4,4.4,Leeds,50,1.269,73,2.679,73,1.421,71,2.099,71,2.215,69,2.284
F,30,Ings,6.4,6.4,West Ham,52,1.622,53,3.464,50,1.622,50,1.677,48,1.811,49,1.739
M,365,Murphy,4.1,4.1,Newcastle,55,2.055,47,1.793,33,1.505,33,3.249,32,1.648,33,1.571
M,699,Mudryk,6.5,6.5,Chelsea,32,1.668,32,1.54,33,1.809,34,1.787,33,3.133,36,1.556
M,225,Rodrigo,6.3,6.3,Leeds,51,2.107,49,2.128,46,1.665,44,1.694,46,1.862,46,1.943
D,267,Söyüncü,4.2,4.2,Leicester,73,2.597,71,3.283,60,1.849,51,1.22,46,1.133,47,1.188
M,728,Sabitzer,4.7,4.7,Man Utd,48,1.488,38,2.639,32,1.356,33,1.441,32,2.869,32,1.454
M,693,Alcaraz,5.0,5.0,Southampton,58,2.15,59,1.893,55,2.018,55,1.898,53,1.564,54,1.656
M,212,Wilson,5.7,5.7,Fulham,54,1.79,47,2.86,52,1.76,46,1.699,44,1.565,45,1.503
D,114,Lamptey,4.2,4.2,Brighton,4,1.167,11,2.35,21,1.329,27,2.479,28,2.579,25,1.259
M,132,Kovacic,4.9,4.9,Chelsea,58,1.632,61,1.705,58,1.691,56,1.681,57,2.888,58,1.528
F,397,Awoniyi,5.6,5.6,Nott'm Forest,54,1.751,54,1.889,52,1.961,54,1.871,51,1.693,52,1.873
M,688,Schade,4.9,4.9,Brentford,50,1.468,51,1.768,55,1.63,58,1.954,59,2.024,61,2.118
D,108,Webster,4.5,4.5,Brighton,23,1.251,24,2.414,25,1.269,26,2.325,27,2.421,30,1.207
M,731,Kamaldeen,5.0,5.0,Southampton,57,2.222,50,1.566,51,1.891,52,1.863,52,1.59,50,1.604
M,705,Ouattara,5.0,5.0,Bournemouth,40,1.882,38,1.88,39,1.667,39,1.725,35,1.642,36,1.872
M,589,Matheus,4.8,4.8,Wolves,65,2.394,56,1.504,57,1.68,58,1.674,58,1.792,58,1.606
M,698,Lemina,4.5,4.5,Wolves,35,1.052,53,1.197,67,2.218,64,1.868,65,2.286,65,1.915
M,231,James,5.9,5.9,Fulham,56,1.87,49,2.947,50,1.714,15,1.363,15,1.289,16,1.253
M,111,Trossard,6.7,6.7,Arsenal,39,1.581,40,1.747,41,1.627,41,1.619,40,1.965,41,1.867
F,625,Diego Costa,5.3,5.3,Wolves,54,1.808,56,1.707,51,1.683,55,1.751,53,1.867,52,1.564
D,709,Kristiansen,4.5,4.5,Leicester,63,2.167,61,2.492,59,1.844,55,1.314,52,1.209,51,1.285
F,454,Richarlison,8.4,8.4,Spurs,39,1.662,45,1.59,44,1.729,43,1.68,45,1.721,46,1.884
