,id,orig_name,Pos,pP,gw,source
136,34.0,Bailey,M,2.698,1,spiros
137,304.0,Mac Allister,M,2.932,1,spiros
138,601.0,Danjuma,M,3.015,1,spiros
139,222.0,Clyne,D,3.342,1,spiros
140,346.0,Cancelo,D,3.071,1,spiros
141,534.0,Fornals,M,3.151,1,spiros
142,15.0,Partey,M,3.274,1,spiros
143,382.0,Garnacho,M,3.11,1,spiros
144,286.0,Tosin,D,3.001,1,spiros
145,51.0,Mings,D,2.133,1,spiros
146,281.0,Ream,D,2.965,1,spiros
147,497.0,Emerson Royal,D,2.574,1,spiros
148,78.0,Ouattara,M,3.069,1,spiros
149,50.0,McGinn,M,2.596,1,spiros
150,397.0,Sancho,M,3.023,1,spiros
151,257.0,Keane,D,2.958,1,spiros
152,554.0,Guedes,M,2.711,1,spiros
153,511.0,Romero,D,2.426,1,spiros
154,210.0,Mudryk,M,2.468,1,spiros
155,43.0,Douglas Luiz,M,2.531,1,spiros
156,283.0,Robinson,D,2.864,1,spiros
157,566.0,Matheus,M,2.641,1,spiros
158,285.0,Tete,D,2.836,1,spiros
159,499.0,Højbjerg,M,2.576,1,spiros
160,541.0,Scamacca,F,2.898,1,spiros
161,542.0,Soucek,M,2.85,1,spiros
162,126.0,Caicedo,M,3.028,1,spiros
163,177.0,Rodriguez,F,2.864,1,spiros
164,262.0,Patterson,D,2.779,1,spiros
165,305.0,Matip,D,2.449,1,spiros
166,421.0,S.Longstaff,M,2.586,1,spiros
167,221.0,J.Ayew,M,2.789,1,spiros
168,98.0,Damsgaard,M,2.616,1,spiros
169,451.0,Kouyaté,M,2.375,1,spiros
170,240.0,Schlupp,M,2.707,1,spiros
171,530.0,Cresswell,D,2.952,1,spiros
172,66.0,Cook,M,2.668,1,spiros
173,563.0,Kilman,D,2.155,1,spiros
174,280.0,Palhinha,M,2.509,1,spiros
175,310.0,Thiago,M,2.385,1,spiros
176,26.0,Trossard,M,2.669,1,spiros
177,572.0,Semedo,D,2.122,1,spiros
178,590.0,Cunha,F,2.352,1,spiros
179,528.0,Coufal,D,2.792,1,spiros
180,441.0,Cook,D,1.685,1,spiros
181,261.0,Onana,M,2.419,1,spiros
182,63.0,Billing,M,2.516,1,spiros
183,488.0,Norwood,M,2.423,1,spiros
184,480.0,Egan,D,2.664,1,spiros
185,523.0,Antonio,F,2.544,1,spiros
186,439.0,Boly,D,1.67,1,spiros
187,474.0,Basham,D,2.63,1,spiros
188,583.0,Solomon,M,2.032,1,spiros
189,598.0,Doherty,D,2.094,1,spiros
190,551.0,Dawson,D,2.044,1,spiros
191,436.0,Aurier,D,1.689,1,spiros
192,481.0,Fleck,M,2.315,1,spiros
193,467.0,N.Williams,D,1.588,1,spiros
194,254.0,Gueye,M,2.269,1,spiros
195,485.0,McBurnie,F,2.207,1,spiros
196,455.0,McKenna,D,1.508,1,spiros
197,493.0,Bissouma,M,2.084,1,spiros
198,600.0,Redmond,M,2.279,1,spiros
199,165.0,Cullen,M,2.269,1,spiros
200,225.0,Edouard,F,2.226,1,spiros
201,557.0,Hwang,M,2.005,1,spiros
202,548.0,Bueno,D,1.886,1,spiros
203,473.0,Baldock,D,2.312,1,spiros
204,41.0,Diego Carlos,D,1.708,1,spiros
205,357.0,Laporte,D,2.121,1,spiros
206,161.0,Brownhill,M,2.178,1,spiros
207,514.0,R.Sessegnon,D,1.853,1,spiros
208,507.0,Perišić,D,1.847,1,spiros
209,176.0,Roberts,D,1.639,1,spiros
210,84.0,Smith,D,2.406,1,spiros
211,163.0,Cork,M,2.114,1,spiros
212,558.0,Jiménez,F,2.037,1,spiros
213,486.0,Ndiaye,F,1.941,1,spiros
214,573.0,Toti,D,1.709,1,spiros
215,232.0,Mateta,F,2.024,1,spiros
216,178.0,Taylor,D,1.549,1,spiros
217,565.0,Lemina,M,1.856,1,spiros
218,52.0,Nakamba,M,1.968,1,spiros
219,412.0,Gordon,M,1.861,1,spiros
220,468.0,Wood,F,1.737,1,spiros
221,154.0,Welbeck,F,2.026,1,spiros
222,475.0,Berge,M,1.911,1,spiros
223,149.0,Undav,F,2.348,1,spiros
224,198.0,Cucurella,D,1.414,1,spiros
225,95.0,Canós,M,1.66,1,spiros
226,371.0,Amad,M,1.852,1,spiros
227,282.0,Reed,M,1.678,1,spiros
228,356.0,Kovacic,M,1.693,1,spiros
229,288.0,Wilson,M,1.683,1,spiros
230,87.0,H.Traorè,M,1.679,1,spiros
231,527.0,Cornet,M,1.759,1,spiros
232,208.0,Madueke,M,1.404,1,spiros
233,183.0,Weghorst,F,1.678,1,spiros
234,287.0,Vinícius,F,1.461,1,spiros
235,549.0,Chiquinho,M,1.439,1,spiros
236,64.0,Brooks,M,1.566,1,spiros
237,170.0,Gudmundsson,M,1.568,1,spiros
238,381.0,Fred,M,1.542,1,spiros
239,223.0,C.Doucouré,M,1.515,1,spiros
240,477.0,Brewster,F,1.399,1,spiros
241,113.0,Raya,G,1.367,1,spiros
242,59.0,Traoré,M,1.278,1,spiros
243,604.0,Aina,D,1.282,1,spiros
244,578.0,Nelson,M,1.757,1,spiros
245,532.0,Emerson,D,1.381,1,spiros
246,545.0,Aït-Nouri,D,1.255,1,spiros
247,543.0,Vlasic,M,1.375,1,spiros
248,99.0,Dasilva,M,1.298,1,spiros
249,76.0,Moore,F,1.274,1,spiros
250,260.0,Mykolenko,D,1.209,1,spiros
251,536.0,Johnson,D,1.266,1,spiros
252,96.0,Collins,D,1.189,1,spiros
253,378.0,Elanga,M,1.076,1,spiros
254,90.0,Ajer,D,1.147,1,spiros
255,465.0,Toffolo,D,1.09,1,spiros
256,203.0,Gusto,D,0.997,1,spiros
257,258.0,Maupay,F,1.105,1,spiros
258,196.0,Chukwuemeka,M,0.993,1,spiros
259,125.0,Buonanotte,M,1.269,1,spiros
260,229.0,Hughes,M,1.137,1,spiros
261,278.0,Mitrović,F,1.012,1,spiros
262,560.0,Jonny,D,1.015,1,spiros
263,270.0,De Cordova-Reid,M,1.073,1,spiros
264,358.0,Lewis,D,1.091,1,spiros
265,311.0,Tsimikas,D,1.013,1,spiros
266,392.0,McTominay,M,1.085,1,spiros
267,244.0,André Gomes,M,1.019,1,spiros
268,512.0,Sánchez,D,0.95,1,spiros
269,369.0,Walker,D,1.03,1,spiros
270,65.0,Christie,M,0.996,1,spiros
271,133.0,Gilmour,M,1.014,1,spiros
272,8.0,Jesus,F,0.946,1,spiros
273,194.0,Chalobah,D,0.862,1,spiros
274,446.0,Freuler,M,0.899,1,spiros
275,389.0,Malacia,D,0.996,1,spiros
276,4.0,Fábio Vieira,M,0.988,1,spiros
277,535.0,Ings,F,1.011,1,spiros
278,538.0,Mubama,F,0.921,1,spiros
279,517.0,Spence,D,0.876,1,spiros
280,387.0,Maguire,D,0.966,1,spiros
281,252.0,Godfrey,D,0.907,1,spiros
282,537.0,Kehrer,D,0.963,1,spiros
283,22.0,Smith Rowe,M,0.972,1,spiros
284,138.0,Lallana,M,1.013,1,spiros
285,300.0,Jones,M,0.846,1,spiros
286,362.0,Palmer,M,0.94,1,spiros
287,591.0,Willian,M,0.827,1,spiros
288,442.0,Danilo,M,0.772,1,spiros
289,492.0,Bentancur,M,0.783,1,spiros
290,318.0,Burke,D,0.857,1,spiros
291,360.0,McAtee,M,0.776,1,spiros
292,264.0,Simms,F,0.683,1,spiros
293,295.0,Elliott,M,0.735,1,spiros
294,142.0,Milner,M,0.849,1,spiros
295,204.0,Hall,D,0.678,1,spiros
296,82.0,Semenyo,F,0.774,1,spiros
297,191.0,Badiashile,D,0.674,1,spiros
298,105.0,Janelt,M,0.742,1,spiros
299,366.0,Sergio Gómez,D,0.816,1,spiros
300,197.0,Colwill,D,0.635,1,spiros
301,292.0,Bajcetic,M,0.708,1,spiros
302,200.0,D.D.Fofana,F,0.639,1,spiros
303,139.0,Lamptey,D,0.787,1,spiros
304,400.0,Van de Beek,M,0.752,1,spiros
305,146.0,Sarmiento,M,0.869,1,spiros
306,268.0,Cairney,M,0.711,1,spiros
307,495.0,Davies,D,0.65,1,spiros
308,505.0,Ndombele,M,0.64,1,spiros
309,67.0,Dembélé,M,0.702,1,spiros
310,42.0,Digne,D,0.608,1,spiros
311,245.0,Branthwaite,D,0.649,1,spiros
312,202.0,Gallagher,M,0.588,1,spiros
313,370.0,Telles,D,0.729,1,spiros
314,173.0,O'Shea,D,0.776,1,spiros
315,144.0,Moder,M,0.772,1,spiros
316,401.0,Wan-Bissaka,D,0.707,1,spiros
317,515.0,Skipp,M,0.61,1,spiros
318,241.0,Tomkins,D,0.689,1,spiros
319,72.0,Kluivert,M,0.664,1,spiros
320,111.0,Onyeka,M,0.612,1,spiros
321,124.0,Ayari,M,0.835,1,spiros
322,150.0,Van Hecke,D,0.734,1,spiros
323,40.0,Dendoncker,M,0.563,1,spiros
324,255.0,Holgate,D,0.608,1,spiros
325,25.0,Tomiyasu,D,0.642,1,spiros
326,83.0,Senesi,D,0.625,1,spiros
327,386.0,Lindelöf,D,0.641,1,spiros
328,606.0,Igor,D,0.651,1,spiros
329,394.0,Pellistri,M,0.622,1,spiros
330,428.0,Targett,D,0.568,1,spiros
331,174.0,Obafemi,F,0.603,1,spiros
332,79.0,Pearson,M,0.592,1,spiros
333,44.0,Durán,F,0.545,1,spiros
334,298.0,Gomez,D,0.542,1,spiros
335,277.0,Mbabu,D,0.549,1,spiros
336,92.0,Baptiste,M,0.534,1,spiros
337,494.0,Bryan,M,0.462,1,spiros
338,104.0,Hickey,D,0.479,1,spiros
339,193.0,Broja,F,0.404,1,spiros
340,56.0,Sanson,M,0.406,1,spiros
341,9.0,Jorginho,M,0.48,1,spiros
342,24.0,Tierney,D,0.498,1,spiros
343,410.0,Fraser,M,0.411,1,spiros
344,38.0,Coutinho,M,0.363,1,spiros
345,81.0,Rothwell,M,0.428,1,spiros
346,271.0,Diop,D,0.429,1,spiros
347,269.0,Cavaleiro,M,0.407,1,spiros
348,242.0,Ward,D,0.447,1,spiros
349,364.0,Phillips,M,0.429,1,spiros
350,45.0,Hause,D,0.341,1,spiros
351,37.0,Chambers,D,0.33,1,spiros
352,524.0,Areola,G,0.402,1,spiros
353,16.0,Pépé,M,0.423,1,spiros
354,123.0,Alzate,M,0.404,1,spiros
355,189.0,Azpilicueta,D,0.241,1,spiros
356,10.0,Kiwior,D,0.355,1,spiros
357,503.0,Lo Celso,M,0.231,1,spiros
358,248.0,Dele,M,0.253,1,spiros
359,7.0,Holding,D,0.313,1,spiros
360,128.0,Dahoud,M,0.421,1,spiros
361,21.0,Sambi,M,0.277,1,spiros
362,127.0,Connolly,F,0.387,1,spiros
363,61.0,Wesley,F,0.195,1,spiros
364,23.0,Tavares,D,0.26,1,spiros
365,62.0,Anthony,M,0.241,1,spiros
366,214.0,Sarr,D,0.15,1,spiros
367,121.0,Zanka,D,0.195,1,spiros
368,33.0,Archer,F,0.132,1,spiros
369,68.0,Fredericks,D,0.184,1,spiros
370,75.0,Mepham,D,0.182,1,spiros
371,3.0,Elneny,M,0.19,1,spiros
372,47.0,Kamara,M,0.119,1,spiros
373,361.0,Ortega,G,0.135,1,spiros
374,46.0,Iroegbunam,M,0.091,1,spiros
375,145.0,Sánchez,G,0.052,1,spiros
376,385.0,Henderson,G,0.088,1,spiros
377,53.0,Olsen,G,0.045,1,spiros
378,409.0,Dubravka,G,0.077,1,spiros
379,227.0,Guaita,G,0.085,1,spiros
380,498.0,Forster,G,0.061,1,spiros
381,301.0,Kelleher,G,0.054,1,spiros
382,448.0,Hennessey,G,0.038,1,spiros
383,284.0,Rodák,G,0.054,1,spiros
384,88.0,Travers,G,0.065,1,spiros
385,175.0,Peacock-Farrell,G,0.04,1,spiros
386,636.0,G.Shelvey,G,0.0,1,spiros
387,89.0,Zabarnyi,D,0.0,1,spiros
388,273.0,Knockaert,M,0.0,1,spiros
389,18.0,Rúnarsson,G,0.0,1,spiros
390,94.0,Bidstrup,M,0.0,1,spiros
391,576.0,Jack Robinson,D,0.0,1,spiros
392,11.0,Marquinhos,M,0.0,1,spiros
393,414.0,Hendrick,M,0.0,1,spiros
394,54.0,Philogene-Bidace,M,0.0,1,spiros
395,513.0,Sarr,M,0.0,1,spiros
396,363.0,Perrone,M,0.0,1,spiros
397,137.0,Kozłowski,M,0.0,1,spiros
398,482.0,Foderingham,G,0.0,1,spiros
399,574.0,Traoré,M,0.0,1,spiros
400,417.0,Krafth,D,0.0,1,spiros
401,224.0,Ebiowei,M,0.0,1,spiros
402,581.0,Dummett,D,0.0,1,spiros
403,622.0,Dodgson,D,0.0,1,spiros
404,422.0,Manquillo,D,0.0,1,spiros
405,69.0,Hill,D,0.0,1,spiros
406,274.0,Kongolo,D,0.0,1,spiros
407,383.0,Mejbri,M,0.0,1,spiros
408,179.0,Thomas,D,0.0,1,spiros
409,219.0,Ahamada,M,0.0,1,spiros
410,580.0,Karius,G,0.0,1,spiros
411,630.0,Barkley,M,0.0,1,spiros
412,323.0,Macey,G,0.0,1,spiros
413,411.0,Gillespie,G,0.0,1,spiros
414,237.0,Plange,F,0.0,1,spiros
415,399.0,Shoretire,F,0.0,1,spiros
416,359.0,Mahrez,M,0.0,1,spiros
417,624.0,Dobbin,M,0.0,1,spiros
418,619.0,Greenwood,D,0.0,1,spiros
419,419.0,Lascelles,D,0.0,1,spiros
420,207.0,Lukaku,F,0.0,1,spiros
421,243.0,Whitworth,G,0.0,1,spiros
422,577.0,Ogbonna,D,0.0,1,spiros
423,635.0,Miley,M,0.0,1,spiros
424,418.0,Kuol,M,0.0,1,spiros
425,118.0,Trevitt,M,0.0,1,spiros
426,435.0,Arter,M,0.0,1,spiros
427,156.0,Agyei,M,0.0,1,spiros
428,158.0,Bastien,M,0.0,1,spiros
429,159.0,Benson,M,0.0,1,spiros
430,162.0,Churlinov,M,0.0,1,spiros
431,168.0,Foster,F,0.0,1,spiros
432,212.0,Nkunku,F,0.0,1,spiros
433,546.0,Bentley,G,0.0,1,spiros
434,80.0,Randolph,G,0.0,1,spiros
435,384.0,Heaton,G,0.0,1,spiros
436,466.0,Ui-jo,F,0.0,1,spiros
437,471.0,Ahmedhodžić,D,0.0,1,spiros
438,519.0,Udogie,D,0.0,1,spiros
439,520.0,Vicario,G,0.0,1,spiros
440,588.0,Young,D,0.0,1,spiros
441,347.0,Carson,G,0.0,1,spiros
442,605.0,Koleosho,M,0.0,1,spiros
443,490.0,Osula,F,0.0,1,spiros
444,322.0,Freeman,M,0.0,1,spiros
445,463.0,Shelvey,M,0.0,1,spiros
446,186.0,Andrey Santos,M,0.0,1,spiros
447,500.0,Kane,F,0.0,1,spiros
448,640.0,Scarlett,F,0.0,1,spiros
449,627.0,Clark,M,0.0,1,spiros
450,445.0,Felipe,D,0.0,1,spiros
451,289.0,Adrián,G,0.0,1,spiros
452,628.0,Doak,M,0.0,1,spiros
453,620.0,Olakigbe,M,0.0,1,spiros
454,97.0,Cox,G,0.0,1,spiros
455,408.0,Darlow,G,0.0,1,spiros
456,2.0,Cédric,D,0.0,1,spiros
457,425.0,Ritchie,M,0.0,1,spiros
458,299.0,Henderson,M,0.0,1,spiros
459,115.0,Schade,M,0.0,1,spiros
460,380.0,Álvaro Fernández,D,0.0,1,spiros
461,388.0,Mainoo,M,0.0,1,spiros
462,188.0,Aubameyang,F,0.0,1,spiros
463,483.0,Jebbison,F,0.0,1,spiros
464,164.0,Costelloe,M,0.0,1,spiros
465,621.0,Hinshelwood,M,0.0,1,spiros
466,552.0,Fabio Silva,F,0.0,1,spiros
467,312.0,Van den Berg,D,0.0,1,spiros
468,296.0,Fabinho,M,0.0,1,spiros
469,460.0,Panzo,D,0.0,1,spiros
470,643.0,Aarons,D,0.0,1,spiros
471,91.0,Balcombe,G,0.0,1,spiros
472,70.0,Kelly,D,0.0,1,spiros
473,276.0,Lukic,M,0.0,1,spiros
474,555.0,Hodge,M,0.0,1,spiros
475,147.0,Scherpen,G,0.0,1,spiros
476,141.0,McGill,G,0.0,1,spiros
477,205.0,Hudson-Odoi,M,0.0,1,spiros
478,454.0,Mbe Soh,D,0.0,1,spiros
479,469.0,Worrall,D,0.0,1,spiros
480,456.0,Mighten,M,0.0,1,spiros
481,470.0,Yates,M,0.0,1,spiros
482,458.0,O'Brien,M,0.0,1,spiros
483,461.0,Richards,D,0.0,1,spiros
484,332.0,Pereira,M,0.0,1,spiros
485,155.0,Zeqiri,F,0.0,1,spiros
486,279.0,Muniz,F,0.0,1,spiros
487,185.0,Ampadu,D,0.0,1,spiros
488,518.0,Tanganga,D,0.0,1,spiros
489,508.0,Reguilón,D,0.0,1,spiros
490,431.0,Watts,D,0.0,1,spiros
491,374.0,B.Williams,D,0.0,1,spiros
492,250.0,Garner,M,0.0,1,spiros
493,172.0,Muric,G,0.0,1,spiros
494,586.0,Chong,M,0.0,1,spiros
495,266.0,Virgínia,G,0.0,1,spiros
496,529.0,Coventry,M,0.0,1,spiros
497,476.0,Bogle,D,0.0,1,spiros
498,452.0,Laryea,D,0.0,1,spiros
499,114.0,Roerslev,D,0.0,1,spiros
500,39.0,Davis,F,0.0,1,spiros
501,93.0,Bech,D,0.0,1,spiros
502,531.0,Downes,M,0.0,1,spiros
503,443.0,Dennis,F,0.0,1,spiros
504,351.0,Doyle,M,0.0,1,spiros
505,464.0,Surridge,F,0.0,1,spiros
506,1.0,Balogun,F,0.0,1,spiros
507,553.0,Giles,D,0.0,1,spiros
508,571.0,Šarkić,G,0.0,1,spiros
509,403.0,Anderson,M,0.0,1,spiros
510,491.0,Austin,G,0.0,1,spiros
511,510.0,Rodon,D,0.0,1,spiros
512,102.0,Goode,D,0.0,1,spiros
513,393.0,Mengi,D,0.0,1,spiros
514,457.0,Niakhaté,D,0.0,1,spiros
515,190.0,Baba Rahman,D,0.0,1,spiros
516,231.0,Lerma,M,0.0,1,spiros
517,367.0,Steffen,G,0.0,1,spiros
518,251.0,Gbamin,M,0.0,1,spiros
519,484.0,Lowe,D,0.0,1,spiros
520,404.0,Ashby,D,0.0,1,spiros
521,633.0,Livramento,D,0.0,1,spiros
522,413.0,Hayden,M,0.0,1,spiros
523,556.0,Hoever,D,0.0,1,spiros
524,626.0,Quansah,D,0.0,1,spiros
525,136.0,Karbownik,D,0.0,1,spiros
526,117.0,Toney,F,0.0,1,spiros
527,550.0,Cundle,M,0.0,1,spiros
528,71.0,Kilkenny,M,0.0,1,spiros
529,201.0,W.Fofana,D,0.0,1,spiros
530,28.0,Turner,G,0.0,1,spiros
531,116.0,Strakosha,G,0.0,1,spiros
532,74.0,Marcondes,M,0.0,1,spiros
533,73.0,Lowe,M,0.0,1,spiros
534,218.0,Ziyech,M,0.0,1,spiros
535,192.0,Bettinelli,G,0.0,1,spiros
536,559.0,João Gomes,M,0.0,1,spiros
537,489.0,Osborn,M,0.0,1,spiros
538,438.0,Biancone,D,0.0,1,spiros
539,233.0,Matthews,G,0.0,1,spiros
540,459.0,Ojeda,M,0.0,1,spiros
541,306.0,Phillips,D,0.0,1,spiros
542,57.0,Sinisalo,G,0.0,1,spiros
543,375.0,Bailly,D,0.0,1,spiros
544,107.0,Lewis-Potter,M,0.0,1,spiros
545,420.0,Lewis,D,0.0,1,spiros
546,238.0,Richards,D,0.0,1,spiros
547,462.0,Scarpa,M,0.0,1,spiros
548,561.0,Jordão,M,0.0,1,spiros
549,562.0,Kalajdžić,F,0.0,1,spiros
550,453.0,Mangala,M,0.0,1,spiros
551,213.0,Pulisic,M,0.0,1,spiros
552,166.0,Egan-Riley,D,0.0,1,spiros
553,521.0,Whiteman,G,0.0,1,spiros
554,596.0,Trafford,G,0.0,1,spiros
555,239.0,Riedewald,M,0.0,1,spiros
556,272.0,Francois,M,0.0,1,spiros
557,444.0,Dräger,D,0.0,1,spiros
558,100.0,Dervişoğlu,F,0.0,1,spiros
559,426.0,Saint-Maximin,M,0.0,1,spiros
560,579.0,Lonergan,G,0.0,1,spiros
561,308.0,Salah,M,7.276,2,spiros
562,355.0,Haaland,F,4.928,2,spiros
563,516.0,Son,M,5.355,2,spiros
564,373.0,Fernandes,M,5.337,2,spiros
565,19.0,Saka,M,5.288,2,spiros
566,396.0,Rashford,M,5.204,2,spiros
567,12.0,Martinelli,M,5.053,2,spiros
568,430.0,Trippier,D,3.462,2,spiros
569,14.0,Ødegaard,M,4.939,2,spiros
570,108.0,Mbeumo,M,4.908,2,spiros
571,504.0,Maddison,M,4.596,2,spiros
572,216.0,Sterling,M,4.599,2,spiros
573,226.0,Eze,M,4.252,2,spiros
574,143.0,Mitoma,M,5.063,2,spiros
575,290.0,Alexander-Arnold,D,5.809,2,spiros
576,599.0,Diaby,M,4.919,2,spiros
577,353.0,Foden,M,3.853,2,spiros
578,303.0,Luis Díaz,M,4.973,2,spiros
579,206.0,James,D,4.064,2,spiros
580,60.0,Watkins,F,4.82,2,spiros
581,211.0,N.Jackson,F,4.159,2,spiros
582,343.0,Álvarez,F,3.967,2,spiros
583,195.0,Chilwell,D,3.934,2,spiros
584,197.0,Colwill,D,3.773,2,spiros
585,307.0,Robertson,D,5.402,2,spiros
586,134.0,Groß,M,4.51,2,spiros
587,352.0,Ederson,G,3.503,2,spiros
588,424.0,Pope,G,3.047,2,spiros
589,13.0,Nketiah,F,4.088,2,spiros
590,17.0,Ramsdale,G,3.799,2,spiros
591,209.0,Mount,M,3.964,2,spiros
592,131.0,Estupiñán,D,4.471,2,spiros
