Pos,ID,Name,BV,SV,Team,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
M,308.0,Salah,133,133,Liverpool,85.0,7.385,85.0,6.086,85.0,6.862,85.0,6.675,85.0,5.606,85.0,7.693,85.0,6.314,85.0,8.829,85.0,7.198,85.0,5.674,85.0,6.662,85.0,6.784
M,19.0,Saka,90,90,Arsenal,85.0,5.452,85.0,5.291,85.0,5.536,85.0,5.486,85.0,4.583,85.0,5.217,85.0,5.581,85.0,4.599,85.0,5.752,85.0,5.165,85.0,5.036,85.0,4.169
M,689.0,Kudus,68,68,West Ham,80.0,4.133,80.0,4.883,80.0,6.436,80.0,5.277,80.0,4.78,80.0,4.29,80.0,5.375,80.0,4.802,80.0,4.889,80.0,5.595,80.0,4.501,80.0,4.213
M,14.0,Ødegaard,84,84,Arsenal,85.0,5.098,85.0,5.005,85.0,5.165,85.0,5.181,85.0,4.405,85.0,4.917,85.0,5.237,85.0,4.422,85.0,5.348,85.0,4.803,85.0,4.663,85.0,4.081
F,355.0,Haaland,139,139,Man City,0.0,0.0,10.0,2.052,96.0,4.778,96.0,6.939,96.0,5.428,96.0,5.965,96.0,5.635,96.0,6.039,96.0,5.864,96.0,4.804,96.0,5.608,96.0,5.116
D,290.0,Alexander-Arnold,83,83,Liverpool,85.0,5.316,85.0,4.174,85.0,4.913,85.0,4.622,85.0,3.617,85.0,6.371,85.0,4.244,85.0,6.678,85.0,5.291,85.0,3.407,85.0,4.781,85.0,4.796
M,43.0,Douglas Luiz,55,55,Aston Villa,84.0,4.26,84.0,5.289,84.0,4.528,84.0,4.119,84.0,5.228,84.0,4.582,84.0,4.651,84.0,5.191,84.0,5.179,84.0,4.61,84.0,4.578,84.0,5.135
M,526.0,Bowen,78,78,West Ham,85.0,4.01,85.0,4.651,85.0,6.098,85.0,5.067,85.0,4.622,85.0,4.113,85.0,5.179,85.0,4.625,85.0,4.803,85.0,5.375,85.0,4.356,85.0,4.067
M,353.0,Foden,76,76,Man City,72.0,4.735,72.0,5.441,72.0,4.252,72.0,5.279,72.0,4.497,72.0,4.885,72.0,4.585,72.0,4.829,72.0,4.745,72.0,4.243,72.0,4.51,72.0,4.322
M,134.0,Groß,64,64,Brighton,76.0,4.571,76.0,4.59,76.0,5.023,76.0,5.12,76.0,4.82,76.0,4.413,76.0,5.162,76.0,4.687,76.0,4.674,76.0,5.119,76.0,3.795,76.0,3.9
M,373.0,Fernandes,82,82,Man Utd,88.0,4.179,88.0,4.834,88.0,4.59,88.0,4.787,88.0,4.769,88.0,4.025,88.0,4.945,88.0,4.871,88.0,3.772,88.0,4.715,88.0,5.422,88.0,4.187
F,60.0,Watkins,88,88,Aston Villa,89.0,4.216,89.0,4.639,89.0,4.343,89.0,4.002,89.0,5.349,89.0,4.297,89.0,4.525,89.0,4.58,89.0,5.303,89.0,4.301,89.0,4.466,89.0,4.583
D,313.0,Van Dijk,62,62,Liverpool,85.0,4.969,85.0,3.73,85.0,4.581,85.0,4.377,85.0,3.218,85.0,6.019,85.0,3.976,85.0,6.319,85.0,4.929,85.0,3.012,85.0,4.476,85.0,4.532
M,509.0,Richarlison,67,67,Spurs,75.0,4.023,75.0,4.478,75.0,4.514,75.0,4.605,75.0,4.734,75.0,4.63,75.0,4.768,75.0,3.947,75.0,4.476,75.0,3.835,75.0,4.378,75.0,5.728
D,430.0,Trippier,69,69,Newcastle,85.0,5.849,85.0,3.302,85.0,3.131,85.0,3.485,85.0,6.157,85.0,4.897,85.0,5.254,85.0,3.265,85.0,5.521,85.0,3.696,85.0,4.496,85.0,5.011
M,412.0,Gordon,62,62,Newcastle,78.0,4.95,78.0,3.748,78.0,3.68,78.0,3.926,78.0,5.732,78.0,4.727,78.0,4.667,78.0,3.746,78.0,4.882,78.0,4.07,78.0,4.564,78.0,4.651
M,12.0,Martinelli,77,77,Arsenal,78.0,4.695,78.0,4.563,78.0,4.713,78.0,4.714,78.0,3.95,78.0,4.53,78.0,4.753,78.0,3.969,78.0,4.769,78.0,4.416,78.0,4.368,78.0,3.65
M,236.0,Olise,58,58,Crystal Palace,70.0,4.025,70.0,4.183,70.0,3.864,70.0,5.221,70.0,4.058,70.0,4.144,70.0,4.17,70.0,4.746,70.0,4.163,70.0,5.187,70.0,4.067,70.0,4.465
M,392.0,McTominay,49,49,Man Utd,75.0,3.903,75.0,4.382,75.0,4.157,75.0,4.354,75.0,4.352,75.0,3.824,75.0,5.368,75.0,4.379,75.0,3.528,75.0,4.253,75.0,5.566,75.0,3.94
M,516.0,Son,98,98,Spurs,84.0,5.86,84.0,6.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6.769,84.0,5.754,84.0,6.503,84.0,5.546,84.0,6.279,84.0,8.236
M,303.0,Luis Díaz,74,74,Liverpool,73.0,4.512,73.0,4.036,73.0,4.364,73.0,4.186,73.0,3.9,73.0,4.731,73.0,4.084,73.0,4.874,73.0,4.494,73.0,3.84,73.0,4.274,73.0,4.214
F,212.0,Nkunku,73,73,Chelsea,65.0,4.808,65.0,5.261,65.0,4.403,65.0,3.908,65.0,4.411,65.0,4.326,65.0,3.818,65.0,4.19,65.0,4.034,65.0,3.952,65.0,3.835,65.0,4.484
M,309.0,Szoboszlai,71,71,Liverpool,84.0,4.548,84.0,3.86,84.0,4.329,84.0,4.037,84.0,3.694,84.0,4.792,84.0,3.969,84.0,4.85,84.0,4.502,84.0,3.668,84.0,4.216,84.0,4.16
M,362.0,Palmer,56,56,Chelsea,0.0,0.0,75.0,5.489,75.0,4.877,75.0,4.048,75.0,5.091,75.0,4.689,75.0,3.839,75.0,4.678,75.0,4.396,75.0,4.199,75.0,3.978,75.0,5.256
G,291.0,Alisson,56,56,Liverpool,90.0,4.423,90.0,3.615,90.0,4.132,90.0,3.941,90.0,3.226,90.0,5.417,90.0,3.731,90.0,5.705,90.0,4.372,90.0,3.136,90.0,4.029,90.0,4.151
M,557.0,Hwang,57,57,Wolves,80.0,3.892,80.0,4.299,80.0,3.915,80.0,4.061,80.0,3.825,80.0,4.028,80.0,3.975,80.0,5.629,80.0,3.654,80.0,4.425,80.0,4.382,80.0,3.739
F,8.0,Jesus,80,80,Arsenal,75.0,4.247,75.0,4.277,75.0,4.298,75.0,4.355,75.0,3.756,75.0,4.222,75.0,4.42,75.0,3.756,75.0,4.471,75.0,4.034,75.0,3.978,75.0,3.619
M,501.0,Kulusevski,72,72,Spurs,78.0,3.826,78.0,4.264,78.0,3.914,78.0,3.95,78.0,4.014,78.0,3.966,78.0,4.486,78.0,3.724,78.0,4.312,78.0,3.64,78.0,4.178,78.0,4.618
