Pos,ID,Name,BV,SV,Team,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts
M,308.0,Salah,129,129,Liverpool,87.0,6.602,87.0,5.521,87.0,7.32,87.0,8.712,87.0,6.939,87.0,6.941,87.0,6.158,87.0,8.304,87.0,5.895,87.0,7.735,87.0,6.379,87.0,5.847
M,516.0,Son,97,97,Spurs,77.0,7.273,77.0,6.414,77.0,5.529,77.0,7.108,77.0,5.827,77.0,7.106,77.0,7.029,77.0,5.974,77.0,7.613,77.0,6.412,77.0,6.469,77.0,6.678
F,355.0,Haaland,140,140,Man City,88.0,5.335,88.0,5.375,88.0,5.776,88.0,5.685,88.0,7.754,88.0,6.563,0.0,0.0,88.0,6.222,88.0,8.096,88.0,4.957,88.0,7.929,88.0,5.557
M,108.0,Mbeumo,68,68,Brentford,83.0,4.781,83.0,5.019,83.0,7.35,83.0,4.887,83.0,7.089,83.0,5.336,0.0,0.0,83.0,6.213,83.0,5.538,83.0,6.21,83.0,5.038,83.0,4.678
M,526.0,Bowen,75,75,West Ham,84.0,5.386,84.0,6.137,84.0,5.132,84.0,4.538,84.0,5.107,84.0,5.285,84.0,4.852,84.0,4.285,84.0,4.435,84.0,6.145,84.0,5.379,84.0,4.74
M,362.0,Palmer,51,51,Chelsea,77.0,4.199,77.0,4.094,77.0,4.631,77.0,4.729,77.0,4.803,77.0,5.948,77.0,5.248,77.0,5.207,77.0,5.653,77.0,5.205,77.0,4.288,77.0,5.457
M,134.0,Groß,63,63,Brighton,78.0,5.524,78.0,5.063,78.0,4.35,78.0,4.564,78.0,5.427,78.0,4.349,78.0,4.854,78.0,4.578,78.0,4.875,78.0,5.272,78.0,5.218,78.0,5.014
M,143.0,Mitoma,65,65,Brighton,80.0,5.411,80.0,5.081,80.0,4.365,80.0,4.59,80.0,5.365,80.0,4.221,80.0,4.929,80.0,4.62,80.0,4.912,80.0,5.229,80.0,5.14,80.0,5.066
M,216.0,Sterling,69,69,Chelsea,80.0,4.16,80.0,4.099,80.0,4.515,80.0,4.795,80.0,4.889,80.0,5.609,80.0,5.203,80.0,5.218,80.0,5.338,80.0,5.242,80.0,4.23,80.0,5.376
D,430.0,Trippier,70,70,Newcastle,87.0,5.127,87.0,4.405,87.0,5.097,87.0,4.608,87.0,4.084,87.0,5.559,87.0,5.421,87.0,6.196,87.0,3.629,87.0,3.367,87.0,3.854,87.0,6.622
F,60.0,Watkins,84,84,Aston Villa,86.0,5.003,86.0,4.408,86.0,4.866,86.0,4.156,86.0,4.44,86.0,4.431,86.0,5.626,86.0,4.613,86.0,5.607,86.0,4.71,86.0,4.174,86.0,5.58
M,373.0,Fernandes,83,83,Man Utd,88.0,5.574,88.0,4.61,88.0,4.005,88.0,4.434,88.0,5.516,88.0,4.205,88.0,4.792,88.0,4.439,88.0,5.056,88.0,4.553,88.0,5.042,88.0,5.065
M,557.0,Hwang,55,55,Wolves,75.0,4.541,75.0,4.868,75.0,4.256,75.0,6.18,75.0,5.211,75.0,4.857,75.0,4.438,75.0,4.441,75.0,4.87,75.0,4.27,75.0,4.706,75.0,4.351
M,599.0,Diaby,68,68,Aston Villa,78.0,5.027,78.0,4.429,78.0,5.04,78.0,4.146,78.0,4.473,78.0,4.404,78.0,5.364,78.0,4.591,78.0,5.331,78.0,4.689,78.0,4.333,78.0,5.132
M,19.0,Saka,86,86,Arsenal,70.0,5.154,70.0,4.291,70.0,4.995,70.0,5.264,70.0,4.201,70.0,4.246,70.0,4.043,70.0,4.842,70.0,4.673,70.0,4.823,70.0,4.847,70.0,4.194
F,343.0,Álvarez,72,72,Man City,78.0,4.533,78.0,4.551,78.0,4.632,78.0,4.609,78.0,5.827,78.0,5.153,0.0,0.0,78.0,4.877,78.0,6.001,78.0,4.271,78.0,5.952,78.0,4.519
M,661.0,Harrison,55,55,Everton,76.0,4.686,76.0,4.579,76.0,4.844,76.0,3.947,76.0,4.316,76.0,4.955,76.0,4.255,76.0,3.882,76.0,4.816,76.0,4.354,76.0,4.711,76.0,4.387
M,353.0,Foden,75,75,Man City,74.0,4.469,74.0,4.319,74.0,4.788,74.0,4.552,74.0,5.325,74.0,5.219,0.0,0.0,74.0,4.903,74.0,5.574,74.0,4.069,74.0,5.426,74.0,4.59
