,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
191,D,465.0,Toffolo,44,44,Nott'm Forest,64.0,2.461,64.0,2.613,64.0,2.352,64.0,2.945,64.0,1.648,64.0,2.349,64.0,1.927,64.0,1.895,64.0,2.61,64.0,1.843,64.0,2.687,64.0,1.927
192,D,198.0,Cucurella,48,48,Chelsea,60.0,1.986,60.0,2.228,60.0,3.032,60.0,2.326,60.0,2.405,60.0,2.489,60.0,2.445,60.0,1.662,60.0,2.646,60.0,2.19,60.0,1.424,60.0,2.313
193,F,82.0,Semenyo,46,46,Bournemouth,60.0,2.282,60.0,2.184,60.0,2.536,60.0,2.377,60.0,2.297,60.0,2.129,60.0,2.084,60.0,2.271,60.0,2.384,60.0,2.299,60.0,2.069,60.0,2.012
194,M,453.0,Mangala,50,50,Nott'm Forest,68.0,2.274,68.0,2.334,68.0,2.237,68.0,2.42,68.0,2.077,68.0,2.247,68.0,2.137,68.0,2.146,68.0,2.332,68.0,2.131,68.0,2.331,68.0,2.137
195,M,72.0,Kluivert,46,46,Bournemouth,60.0,2.239,60.0,2.149,60.0,2.57,60.0,2.356,60.0,2.301,60.0,2.097,60.0,2.04,60.0,2.248,60.0,2.417,60.0,2.261,60.0,2.004,60.0,1.968
196,F,177.0,Rodriguez,53,53,Burnley,60.0,2.331,60.0,2.154,60.0,2.211,60.0,2.286,60.0,2.113,60.0,2.117,60.0,2.455,60.0,2.084,60.0,2.278,60.0,2.101,60.0,2.159,60.0,2.265
197,M,282.0,Reed,46,46,Fulham,64.0,2.308,64.0,2.203,64.0,1.98,64.0,2.332,64.0,2.216,64.0,2.034,64.0,2.006,64.0,2.194,64.0,2.257,64.0,2.292,64.0,2.083,64.0,2.078
198,D,576.0,Jack Robinson,44,44,Sheffield Utd,75.0,1.74,75.0,2.064,75.0,1.616,75.0,1.712,75.0,3.44,75.0,1.249,75.0,2.633,75.0,2.17,75.0,2.064,75.0,2.843,75.0,2.076,75.0,2.363
199,M,675.0,Ramsey,50,50,Burnley,62.0,2.251,62.0,2.083,62.0,2.237,62.0,2.207,62.0,2.062,62.0,2.071,62.0,2.449,62.0,1.991,62.0,2.248,62.0,2.033,62.0,2.067,62.0,2.185
200,D,471.0,Ahmedhodžić,43,43,Sheffield Utd,68.0,1.75,68.0,2.028,68.0,1.644,68.0,1.722,68.0,3.231,68.0,1.322,68.0,2.526,68.0,2.118,68.0,2.028,68.0,2.708,68.0,2.036,68.0,2.288
201,F,297.0,Gakpo,72,72,Liverpool,55.0,2.295,55.0,2.155,55.0,2.087,55.0,1.981,55.0,2.241,55.0,1.941,55.0,2.203,55.0,1.944,55.0,1.97,55.0,2.242,55.0,2.001,55.0,2.304
202,M,494.0,Bryan,49,49,Spurs,58.0,2.161,58.0,1.947,58.0,2.231,58.0,2.158,58.0,2.014,58.0,2.284,58.0,2.026,58.0,2.029,58.0,2.116,58.0,2.046,58.0,2.272,58.0,1.946
203,F,314.0,Adebayo,48,48,Luton,55.0,1.938,55.0,1.896,55.0,2.13,55.0,1.902,55.0,2.759,55.0,1.906,55.0,2.126,55.0,1.951,55.0,1.879,55.0,2.785,55.0,1.987,55.0,1.884
204,M,356.0,Kovacic,47,47,Man City,60.0,1.987,60.0,2.229,60.0,2.197,0.0,0.0,60.0,2.125,60.0,3.931,60.0,1.921,60.0,2.306,60.0,1.99,60.0,2.224,60.0,2.001,60.0,2.166
205,M,354.0,Grealish,72,72,Man City,55.0,1.899,55.0,2.358,55.0,2.154,0.0,0.0,55.0,2.07,55.0,3.939,55.0,1.815,55.0,2.338,55.0,1.902,55.0,2.137,55.0,1.887,55.0,2.236
206,F,558.0,Jiménez,52,52,Fulham,57.0,2.164,57.0,2.06,57.0,1.888,57.0,2.176,57.0,2.126,57.0,1.936,57.0,1.887,57.0,2.046,57.0,2.152,57.0,2.183,57.0,1.946,57.0,1.98
207,D,457.0,Niakhaté,45,45,Nott'm Forest,65.0,2.106,65.0,2.243,65.0,2.119,65.0,2.592,65.0,1.445,65.0,2.079,65.0,1.702,65.0,1.67,65.0,2.24,65.0,1.649,65.0,2.378,65.0,1.702
208,D,476.0,Bogle,45,45,Sheffield Utd,60.0,1.717,60.0,1.894,60.0,1.654,60.0,1.709,60.0,2.799,60.0,1.46,60.0,2.264,60.0,2.016,60.0,1.894,60.0,2.466,60.0,1.902,60.0,2.14
209,M,715.0,Bellegarde,49,49,Wolves,50.0,2.052,50.0,2.034,50.0,1.953,50.0,1.802,50.0,1.817,50.0,1.946,50.0,1.835,50.0,1.887,50.0,1.779,50.0,1.84,50.0,1.825,50.0,2.768
210,D,484.0,Lowe,43,43,Sheffield Utd,62.0,1.627,62.0,1.825,62.0,1.555,62.0,1.607,62.0,2.749,62.0,1.328,62.0,2.202,62.0,1.91,62.0,1.825,62.0,2.359,62.0,1.833,62.0,2.053
211,M,432.0,Willock,53,53,Newcastle,50.0,1.889,50.0,1.792,50.0,1.915,50.0,2.085,50.0,2.013,50.0,1.707,50.0,1.683,50.0,1.768,50.0,2.132,50.0,1.985,50.0,2.022,50.0,1.712
212,M,360.0,McAtee,44,44,Sheffield Utd,60.0,1.813,60.0,1.835,60.0,1.788,60.0,1.791,60.0,2.145,60.0,1.733,60.0,1.93,60.0,1.87,60.0,1.835,60.0,2.053,60.0,1.849,60.0,1.951
213,D,321.0,Doughty,44,44,Luton,55.0,1.717,55.0,1.602,55.0,1.997,55.0,1.707,55.0,2.194,55.0,1.77,55.0,2.045,55.0,1.86,55.0,1.625,55.0,2.387,55.0,1.932,55.0,1.633
214,F,328.0,Ogbene,49,49,Luton,55.0,1.815,55.0,1.773,55.0,1.935,55.0,1.815,55.0,2.014,55.0,1.821,55.0,1.927,55.0,1.843,55.0,1.793,55.0,2.042,55.0,1.852,55.0,1.799
215,F,258.0,Maupay,49,49,Brentford,55.0,1.84,55.0,2.081,55.0,1.81,0.0,0.0,55.0,1.996,55.0,3.24,55.0,2.004,55.0,1.813,55.0,1.706,55.0,1.988,55.0,1.762,55.0,1.956
216,F,486.0,Ndiaye,55,55,Sheffield Utd,55.0,1.765,55.0,1.794,55.0,1.744,55.0,1.773,55.0,2.056,55.0,1.727,55.0,1.862,55.0,1.841,55.0,1.794,55.0,2.019,55.0,1.807,55.0,1.932
217,M,635.0,Miley,45,45,Newcastle,50.0,1.804,50.0,1.788,50.0,1.883,50.0,1.942,50.0,1.942,50.0,1.702,50.0,1.684,50.0,1.77,50.0,1.989,50.0,1.915,50.0,1.935,50.0,1.696
218,M,565.0,Lemina,49,49,Wolves,60.0,1.987,60.0,1.971,60.0,1.818,60.0,1.677,60.0,1.68,60.0,1.82,60.0,1.713,60.0,1.794,60.0,1.648,60.0,1.713,60.0,1.709,60.0,2.137
219,M,470.0,Yates,49,49,Nott'm Forest,58.0,1.831,58.0,1.914,58.0,1.772,58.0,1.97,58.0,1.66,58.0,1.799,58.0,1.721,58.0,1.71,58.0,1.915,58.0,1.684,58.0,1.856,58.0,1.721
220,D,316.0,Bell,39,39,Luton,60.0,1.59,60.0,1.412,60.0,1.95,60.0,1.572,60.0,2.242,60.0,1.669,60.0,2.028,60.0,1.752,60.0,1.433,60.0,2.591,60.0,1.839,60.0,1.439
221,M,709.0,Amrabat,50,50,Man Utd,60.0,1.693,60.0,1.889,60.0,1.64,60.0,1.766,60.0,1.72,60.0,1.827,60.0,1.744,60.0,1.825,60.0,1.811,60.0,1.676,60.0,1.86,60.0,1.816
222,M,95.0,Canós,50,50,Brentford,55.0,1.694,55.0,1.996,55.0,1.717,0.0,0.0,55.0,1.903,55.0,2.987,55.0,1.913,55.0,1.709,55.0,1.635,55.0,1.866,55.0,1.665,55.0,1.778
223,D,204.0,Hall,43,43,Newcastle,40.0,1.722,40.0,1.671,40.0,1.744,40.0,1.888,40.0,1.787,40.0,1.613,40.0,1.59,40.0,1.652,40.0,1.924,40.0,1.768,40.0,1.802,40.0,1.59
224,M,6.0,Havertz,71,71,Arsenal,45.0,1.899,45.0,1.648,45.0,1.67,45.0,1.571,45.0,1.759,45.0,1.759,45.0,1.756,45.0,1.834,45.0,1.588,45.0,1.749,45.0,1.838,45.0,1.587
225,M,586.0,Chong,48,48,Luton,55.0,1.629,55.0,1.591,55.0,1.765,55.0,1.62,55.0,1.888,55.0,1.631,55.0,1.779,55.0,1.687,55.0,1.591,55.0,1.95,55.0,1.7,55.0,1.595
226,M,78.0,Ouattara,47,47,Bournemouth,35.0,1.674,35.0,1.582,35.0,1.994,35.0,1.775,35.0,1.686,35.0,1.589,35.0,1.527,35.0,1.677,35.0,1.782,35.0,1.687,35.0,1.517,35.0,1.465
227,M,209.0,Mount,68,68,Man Utd,45.0,1.526,45.0,1.738,45.0,1.509,45.0,1.652,45.0,1.584,45.0,1.709,45.0,1.592,45.0,1.712,45.0,1.661,45.0,1.574,45.0,1.79,45.0,1.661
228,F,232.0,Mateta,49,49,Crystal Palace,45.0,1.791,45.0,1.567,45.0,1.499,45.0,1.611,45.0,1.544,45.0,1.609,45.0,1.544,45.0,1.876,45.0,1.594,45.0,1.564,45.0,1.681,45.0,1.782
229,M,713.0,Sangaré,50,50,Nott'm Forest,60.0,1.644,60.0,1.689,60.0,1.607,60.0,1.75,60.0,1.513,60.0,1.615,60.0,1.551,60.0,1.555,60.0,1.687,60.0,1.54,60.0,1.675,60.0,1.551
230,M,170.0,Gudmundsson,48,48,Burnley,50.0,1.703,50.0,1.559,50.0,1.652,50.0,1.646,50.0,1.533,50.0,1.554,50.0,1.869,50.0,1.492,50.0,1.643,50.0,1.519,50.0,1.542,50.0,1.624
231,M,64.0,Brooks,48,48,Bournemouth,22.0,1.604,22.0,1.54,22.0,2.292,22.0,1.532,22.0,1.623,22.0,1.527,22.0,1.452,22.0,1.599,22.0,1.545,22.0,1.616,22.0,1.433,22.0,1.401
232,M,708.0,Gravenberch,50,50,Liverpool,35.0,1.745,35.0,1.591,35.0,1.549,35.0,1.505,35.0,1.656,35.0,1.502,35.0,1.632,35.0,1.514,35.0,1.494,35.0,1.655,35.0,1.53,35.0,1.756
233,F,13.0,Nketiah,56,56,Arsenal,25.0,2.068,25.0,1.503,25.0,1.537,25.0,1.459,25.0,1.59,25.0,1.602,25.0,1.596,25.0,1.594,25.0,1.471,25.0,1.585,25.0,1.599,25.0,1.471
234,G,152.0,Verbruggen,44,44,Brighton,50.0,1.528,50.0,1.646,50.0,1.56,50.0,1.565,50.0,1.534,50.0,1.583,50.0,1.646,50.0,1.622,50.0,1.6,50.0,1.552,50.0,1.634,50.0,1.582
235,M,58.0,Tielemans,56,56,Aston Villa,50.0,1.443,50.0,1.485,50.0,1.492,50.0,1.736,50.0,1.503,50.0,1.708,50.0,1.571,50.0,1.481,50.0,1.692,50.0,1.533,50.0,1.583,50.0,1.681
236,D,153.0,Webster,43,43,Brighton,52.0,1.478,52.0,1.74,52.0,1.351,52.0,1.514,52.0,1.521,52.0,1.524,52.0,1.687,52.0,1.644,52.0,1.576,52.0,1.449,52.0,1.661,52.0,1.615
237,M,288.0,Wilson,53,53,Fulham,40.0,1.613,40.0,1.517,40.0,1.361,40.0,1.623,40.0,1.609,40.0,1.373,40.0,1.366,40.0,1.516,40.0,1.626,40.0,1.631,40.0,1.407,40.0,1.406
238,D,398.0,Shaw,52,52,Man Utd,50.0,1.397,50.0,1.643,50.0,1.331,50.0,1.496,50.0,1.432,50.0,1.584,50.0,1.459,50.0,1.579,50.0,1.54,50.0,1.387,50.0,1.616,50.0,1.546
239,M,489.0,Osborn,48,48,Sheffield Utd,55.0,1.457,55.0,1.458,55.0,1.435,55.0,1.426,55.0,1.64,55.0,1.414,55.0,1.534,55.0,1.493,55.0,1.458,55.0,1.575,55.0,1.472,55.0,1.549
240,F,562.0,Kalajdžić,49,49,Wolves,10.0,1.845,10.0,1.557,10.0,1.288,10.0,1.325,10.0,1.337,10.0,1.427,10.0,1.267,10.0,1.266,10.0,1.314,10.0,1.348,10.0,1.349,10.0,2.547
241,D,508.0,Reguilón,44,44,Man Utd,48.0,1.347,48.0,1.631,48.0,1.312,48.0,1.489,48.0,1.385,48.0,1.591,48.0,1.405,48.0,1.577,48.0,1.515,48.0,1.359,48.0,1.701,48.0,1.536
242,F,552.0,Fabio Silva,53,53,Wolves,35.0,1.539,35.0,1.528,35.0,1.45,35.0,1.399,35.0,1.41,35.0,1.449,35.0,1.415,35.0,1.429,35.0,1.391,35.0,1.418,35.0,1.416,35.0,1.606
243,M,657.0,Rak-Sakyi,45,45,Crystal Palace,30.0,1.539,30.0,1.361,30.0,1.332,30.0,1.416,30.0,1.353,30.0,1.41,30.0,1.357,30.0,1.639,30.0,1.408,30.0,1.361,30.0,1.443,30.0,1.53
244,D,29.0,White,57,57,Arsenal,45.0,1.482,45.0,1.291,45.0,1.333,45.0,1.273,45.0,1.411,45.0,1.415,45.0,1.415,45.0,1.453,45.0,1.289,45.0,1.396,45.0,1.476,45.0,1.286
245,G,148.0,Steele,43,43,Brighton,40.0,1.314,40.0,1.301,40.0,1.307,40.0,1.309,40.0,1.301,40.0,1.326,40.0,1.322,40.0,1.324,40.0,1.312,40.0,1.305,40.0,1.333,40.0,1.313
246,D,298.0,Gomez,45,45,Liverpool,40.0,1.387,40.0,1.309,40.0,1.288,40.0,1.252,40.0,1.382,40.0,1.243,40.0,1.356,40.0,1.245,40.0,1.24,40.0,1.386,40.0,1.25,40.0,1.403
247,M,475.0,Berge,48,48,Burnley,50.0,1.387,50.0,1.284,50.0,1.326,50.0,1.342,50.0,1.257,50.0,1.265,50.0,1.438,50.0,1.231,50.0,1.349,50.0,1.247,50.0,1.274,50.0,1.329
248,D,139.0,Lamptey,40,40,Brighton,40.0,1.229,40.0,1.399,40.0,1.19,40.0,1.287,40.0,1.241,40.0,1.291,40.0,1.38,40.0,1.393,40.0,1.298,40.0,1.23,40.0,1.409,40.0,1.3
249,M,138.0,Lallana,49,49,Brighton,30.0,1.252,30.0,1.347,30.0,1.216,30.0,1.28,30.0,1.259,30.0,1.283,30.0,1.335,30.0,1.41,30.0,1.288,30.0,1.251,30.0,1.425,30.0,1.289
250,D,109.0,Mee,48,48,Brentford,35.0,1.267,35.0,1.498,35.0,1.252,0.0,0.0,35.0,1.385,35.0,2.247,35.0,1.391,35.0,1.252,35.0,1.223,35.0,1.38,35.0,1.228,35.0,1.329
251,M,9.0,Jorginho,53,53,Arsenal,30.0,1.28,30.0,1.185,30.0,1.204,30.0,1.174,30.0,1.238,30.0,1.238,30.0,1.233,30.0,1.272,30.0,1.185,30.0,1.232,30.0,1.289,30.0,1.184
252,M,515.0,Skipp,46,46,Spurs,30.0,1.232,30.0,1.176,30.0,1.268,30.0,1.23,30.0,1.189,30.0,1.291,30.0,1.193,30.0,1.19,30.0,1.222,30.0,1.197,30.0,1.279,30.0,1.17
253,M,59.0,Traoré,50,50,Aston Villa,10.0,1.019,10.0,1.055,10.0,1.06,10.0,1.729,10.0,1.073,10.0,1.216,10.0,1.156,10.0,1.05,10.0,1.708,10.0,1.084,10.0,1.122,10.0,1.219
254,D,395.0,Varane,50,50,Man Utd,20.0,1.144,20.0,1.268,20.0,1.138,20.0,1.216,20.0,1.159,20.0,1.254,20.0,1.16,20.0,1.249,20.0,1.222,20.0,1.154,20.0,1.293,20.0,1.231
255,M,229.0,Hughes,49,49,Crystal Palace,45.0,1.289,45.0,1.147,45.0,1.13,45.0,1.168,45.0,1.139,45.0,1.163,45.0,1.141,45.0,1.306,45.0,1.159,45.0,1.148,45.0,1.212,45.0,1.281
256,M,499.0,Højbjerg,52,52,Spurs,45.0,1.193,45.0,1.139,45.0,1.238,45.0,1.192,45.0,1.148,45.0,1.257,45.0,1.154,45.0,1.153,45.0,1.183,45.0,1.157,45.0,1.249,45.0,1.131
257,M,701.0,Ghoddos,45,45,Brentford,15.0,1.064,15.0,1.833,15.0,1.068,0.0,0.0,15.0,1.323,15.0,1.877,15.0,1.323,15.0,1.075,15.0,1.026,15.0,1.316,15.0,1.053,15.0,1.117
258,M,525.0,Benrahma,56,56,West Ham,20.0,1.109,20.0,1.151,20.0,1.239,20.0,1.122,20.0,1.074,20.0,1.129,20.0,1.406,20.0,1.289,20.0,1.101,20.0,1.096,20.0,1.206,20.0,1.128
259,F,287.0,Vinícius,47,47,Fulham,20.0,1.223,20.0,1.162,20.0,1.062,20.0,1.239,20.0,1.235,20.0,1.086,20.0,1.066,20.0,1.139,20.0,1.242,20.0,1.257,20.0,1.099,20.0,1.121
260,F,691.0,Beto,57,57,Everton,20.0,1.089,20.0,1.094,20.0,1.197,20.0,1.13,20.0,1.132,20.0,1.208,20.0,1.128,20.0,1.165,20.0,1.135,20.0,1.12,20.0,1.158,20.0,1.126
261,M,268.0,Cairney,49,49,Fulham,25.0,1.173,25.0,1.138,25.0,1.072,25.0,1.182,25.0,1.178,25.0,1.085,25.0,1.077,25.0,1.139,25.0,1.185,25.0,1.2,25.0,1.098,25.0,1.097
262,M,244.0,André Gomes,44,44,Everton,24.0,1.068,24.0,1.07,24.0,1.16,24.0,1.082,24.0,1.03,24.0,1.154,24.0,1.083,24.0,1.127,24.0,1.087,24.0,1.018,24.0,1.122,24.0,1.083
263,M,4.0,Fábio Vieira,54,54,Arsenal,20.0,1.256,20.0,1.026,20.0,1.054,20.0,0.995,20.0,1.073,20.0,1.067,20.0,1.07,20.0,1.116,20.0,1.018,20.0,1.056,20.0,1.172,20.0,1.014
264,M,451.0,Kouyaté,48,48,Nott'm Forest,26.0,1.087,26.0,1.108,26.0,1.056,26.0,1.144,26.0,1.026,26.0,1.053,26.0,1.041,26.0,1.035,26.0,1.122,26.0,1.034,26.0,1.085,26.0,1.041
265,M,125.0,Buonanotte,47,47,Brighton,20.0,0.986,20.0,1.14,20.0,0.954,20.0,1.035,20.0,0.996,20.0,1.038,20.0,1.113,20.0,1.226,20.0,1.046,20.0,0.986,20.0,1.243,20.0,1.03
266,M,383.0,Mejbri,44,44,Man Utd,15.0,0.962,15.0,1.056,15.0,0.954,15.0,1.013,15.0,0.969,15.0,1.028,15.0,0.973,15.0,1.031,15.0,1.021,15.0,0.961,15.0,1.534,15.0,1.021
267,D,358.0,Lewis,43,43,Man City,24.0,0.971,24.0,1.066,24.0,1.023,0.0,0.0,24.0,1.02,24.0,1.835,24.0,0.96,24.0,1.072,24.0,0.973,24.0,1.03,24.0,0.974,24.0,1.058
268,M,226.0,Eze,61,61,Crystal Palace,17.0,1.097,17.0,0.951,17.0,0.916,17.0,0.956,17.0,0.92,17.0,0.958,17.0,0.927,17.0,1.291,17.0,0.946,17.0,0.942,17.0,0.972,17.0,1.083
269,F,714.0,Origi,50,50,Nott'm Forest,20.0,0.995,20.0,1.038,20.0,0.979,20.0,1.094,20.0,0.924,20.0,0.976,20.0,0.953,20.0,0.944,20.0,1.063,20.0,0.941,20.0,1.001,20.0,0.953
270,D,389.0,Malacia,43,43,Man Utd,23.0,0.928,23.0,1.038,23.0,0.92,23.0,0.978,23.0,0.942,23.0,1.013,23.0,0.947,23.0,1.014,23.0,0.986,23.0,0.934,23.0,1.024,23.0,0.986
271,D,252.0,Godfrey,43,43,Everton,22.0,0.918,22.0,0.919,22.0,1.005,22.0,0.932,22.0,0.896,22.0,0.998,22.0,0.933,22.0,0.974,22.0,0.938,22.0,0.885,22.0,0.969,22.0,0.931
272,M,666.0,Davies,50,50,Sheffield Utd,17.0,0.886,17.0,0.888,17.0,0.866,17.0,0.869,17.0,0.992,17.0,0.855,17.0,0.923,17.0,0.901,17.0,0.888,17.0,0.955,17.0,0.892,17.0,0.93
273,F,193.0,Broja,49,49,Chelsea,10.0,0.826,10.0,0.868,10.0,1.193,10.0,0.798,10.0,0.863,10.0,1.164,10.0,0.866,10.0,0.787,10.0,0.803,10.0,0.857,10.0,0.767,10.0,0.832
274,M,295.0,Elliott,48,48,Liverpool,13.0,1.033,13.0,0.829,13.0,0.828,13.0,0.78,13.0,0.921,13.0,0.777,13.0,0.903,13.0,0.782,13.0,0.758,13.0,0.929,13.0,0.798,13.0,1.052
275,D,83.0,Senesi,43,43,Bournemouth,22.0,0.851,22.0,0.823,22.0,0.926,22.0,0.891,22.0,0.864,22.0,0.818,22.0,0.807,22.0,0.856,22.0,0.898,22.0,0.862,22.0,0.797,22.0,0.784
276,M,381.0,Fred,50,50,Man Utd,15.0,0.796,15.0,0.897,15.0,0.788,15.0,0.835,15.0,0.809,15.0,0.866,15.0,0.813,15.0,0.867,15.0,0.843,15.0,0.801,15.0,0.989,15.0,0.844
277,M,38.0,Coutinho,58,58,Aston Villa,15.0,0.752,15.0,0.775,15.0,0.77,15.0,0.971,15.0,0.785,15.0,0.881,15.0,0.79,15.0,0.768,15.0,0.95,15.0,0.796,15.0,0.809,15.0,0.861
278,D,203.0,Gusto,41,41,Chelsea,15.0,0.772,15.0,0.781,15.0,0.91,15.0,0.865,15.0,0.807,15.0,0.881,15.0,0.811,15.0,0.716,15.0,0.871,15.0,0.799,15.0,0.707,15.0,0.759
279,D,553.0,Giles,43,43,Luton,17.0,0.765,17.0,0.753,17.0,0.804,17.0,0.759,17.0,0.809,17.0,0.764,17.0,0.801,17.0,0.757,17.0,0.738,17.0,0.84,17.0,0.763,17.0,0.743
280,M,706.0,M.Trésor,54,54,Burnley,12.0,0.782,12.0,0.733,12.0,0.766,12.0,0.77,12.0,0.707,12.0,0.729,12.0,0.935,12.0,0.69,12.0,0.767,12.0,0.701,12.0,0.706,12.0,0.759
281,M,67.0,Dembélé,45,45,Bournemouth,12.0,0.731,12.0,0.714,12.0,0.941,12.0,0.757,12.0,0.742,12.0,0.713,12.0,0.705,12.0,0.734,12.0,0.764,12.0,0.744,12.0,0.692,12.0,0.699
282,M,310.0,Thiago,48,48,Liverpool,15.0,0.861,15.0,0.716,15.0,0.705,15.0,0.684,15.0,0.791,15.0,0.68,15.0,0.776,15.0,0.682,15.0,0.673,15.0,0.791,15.0,0.683,15.0,0.872
283,D,560.0,Jonny,43,43,Wolves,15.0,0.798,15.0,0.79,15.0,0.75,15.0,0.704,15.0,0.707,15.0,0.755,15.0,0.713,15.0,0.727,15.0,0.696,15.0,0.715,15.0,0.712,15.0,0.823
284,M,578.0,Nelson,49,49,Arsenal,11.0,0.892,11.0,0.695,11.0,0.72,11.0,0.688,11.0,0.737,11.0,0.731,11.0,0.736,11.0,0.792,11.0,0.708,11.0,0.722,11.0,0.812,11.0,0.622
285,M,146.0,Sarmiento,45,45,Brighton,12.0,0.673,12.0,0.794,12.0,0.646,12.0,0.696,12.0,0.679,12.0,0.699,12.0,0.765,12.0,0.878,12.0,0.706,12.0,0.67,12.0,0.894,12.0,0.707
286,F,174.0,Obafemi,49,49,Burnley,11.0,0.736,11.0,0.668,11.0,0.716,11.0,0.715,11.0,0.655,11.0,0.666,11.0,1.219,11.0,0.628,11.0,0.717,11.0,0.646,11.0,0.657,11.0,0.707
287,M,87.0,H.Traorè,47,47,Bournemouth,12.0,0.713,12.0,0.692,12.0,0.916,12.0,0.761,12.0,0.726,12.0,0.69,12.0,0.673,12.0,0.716,12.0,0.77,12.0,0.726,12.0,0.658,12.0,0.66
288,M,600.0,Redmond,48,48,Burnley,15.0,0.743,15.0,0.663,15.0,0.698,15.0,0.7,15.0,0.653,15.0,0.659,15.0,0.903,15.0,0.636,15.0,0.697,15.0,0.647,15.0,0.652,15.0,0.69
289,M,549.0,Chiquinho,45,45,Wolves,4.0,0.754,4.0,0.729,4.0,0.665,4.0,0.59,4.0,0.604,4.0,0.651,4.0,0.646,4.0,0.656,4.0,0.58,4.0,0.614,4.0,0.607,4.0,0.849
290,M,111.0,Onyeka,49,49,Brentford,12.0,0.608,12.0,0.818,12.0,0.622,0.0,0.0,12.0,0.702,12.0,1.066,12.0,0.7,12.0,0.609,12.0,0.594,12.0,0.686,12.0,0.608,12.0,0.636
291,D,255.0,Holgate,40,40,Everton,13.0,0.612,13.0,0.613,13.0,0.694,13.0,0.626,13.0,0.604,13.0,0.686,13.0,0.627,13.0,0.665,13.0,0.632,13.0,0.592,13.0,0.659,13.0,0.625
292,D,370.0,Telles,45,45,Man Utd,12.0,0.561,12.0,0.701,12.0,0.553,12.0,0.611,12.0,0.576,12.0,0.669,12.0,0.581,12.0,0.673,12.0,0.619,12.0,0.568,12.0,0.686,12.0,0.619
293,D,277.0,Mbabu,40,40,Fulham,12.0,0.648,12.0,0.613,12.0,0.55,12.0,0.658,12.0,0.657,12.0,0.562,12.0,0.556,12.0,0.616,12.0,0.661,12.0,0.679,12.0,0.576,12.0,0.574
294,M,163.0,Cork,48,48,Burnley,15.0,0.646,15.0,0.589,15.0,0.628,15.0,0.625,15.0,0.586,15.0,0.589,15.0,0.684,15.0,0.574,15.0,0.626,15.0,0.58,15.0,0.586,15.0,0.617
295,D,84.0,Smith,44,44,Bournemouth,12.0,0.604,12.0,0.577,12.0,0.742,12.0,0.655,12.0,0.617,12.0,0.577,12.0,0.557,12.0,0.607,12.0,0.664,12.0,0.617,12.0,0.541,12.0,0.544
296,D,679.0,G.Montiel,44,44,Nott'm Forest,12.0,0.61,12.0,0.663,12.0,0.576,12.0,0.699,12.0,0.545,12.0,0.578,12.0,0.563,12.0,0.557,12.0,0.677,12.0,0.553,12.0,0.608,12.0,0.563
297,M,527.0,Cornet,52,52,West Ham,10.0,0.561,10.0,0.6,10.0,0.656,10.0,0.575,10.0,0.51,10.0,0.569,10.0,0.729,10.0,0.65,10.0,0.567,10.0,0.518,10.0,0.645,10.0,0.562
298,D,10.0,Kiwior,43,43,Arsenal,10.0,0.632,10.0,0.556,10.0,0.569,10.0,0.525,10.0,0.604,10.0,0.603,10.0,0.599,10.0,0.624,10.0,0.537,10.0,0.598,10.0,0.64,10.0,0.538
299,M,208.0,Madueke,53,53,Chelsea,10.0,0.515,10.0,0.542,10.0,0.72,10.0,0.569,10.0,0.544,10.0,0.691,10.0,0.547,10.0,0.494,10.0,0.574,10.0,0.538,10.0,0.484,10.0,0.521
300,M,609.0,Maatsen,51,51,Chelsea,5.0,0.497,5.0,0.497,5.0,0.644,5.0,0.528,5.0,0.506,5.0,0.615,5.0,0.51,5.0,0.427,5.0,0.533,5.0,0.5,5.0,0.415,5.0,0.498
301,F,264.0,Simms,45,45,Everton,3.0,0.439,3.0,0.441,3.0,0.515,3.0,0.478,3.0,0.413,3.0,0.523,3.0,0.482,3.0,0.506,3.0,0.483,3.0,0.402,3.0,0.502,3.0,0.478
302,M,231.0,Lerma,47,47,Crystal Palace,10.0,0.547,10.0,0.432,10.0,0.411,10.0,0.454,10.0,0.424,10.0,0.442,10.0,0.43,10.0,0.589,10.0,0.446,10.0,0.432,10.0,0.467,10.0,0.526
303,D,75.0,Mepham,43,43,Bournemouth,10.0,0.456,10.0,0.432,10.0,0.524,10.0,0.492,10.0,0.468,10.0,0.43,10.0,0.42,10.0,0.461,10.0,0.499,10.0,0.467,10.0,0.412,10.0,0.414
304,M,410.0,Fraser,49,49,Newcastle,8.0,0.412,8.0,0.39,8.0,0.421,8.0,0.604,8.0,0.471,8.0,0.368,8.0,0.38,8.0,0.38,8.0,0.629,8.0,0.463,8.0,0.508,8.0,0.374
305,M,534.0,Fornals,47,47,West Ham,7.0,0.416,7.0,0.445,7.0,0.474,7.0,0.424,7.0,0.381,7.0,0.423,7.0,0.596,7.0,0.498,7.0,0.416,7.0,0.389,7.0,0.466,7.0,0.418
