,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
108,D,31.0,Zinchenko,51,51,Arsenal,65.0,3.744,65.0,2.688,65.0,3.159,65.0,2.439,65.0,3.706,65.0,3.293,65.0,3.687,65.0,3.47,65.0,2.701,65.0,3.241,65.0,3.567,65.0,2.635
109,M,372.0,Antony,68,68,Man Utd,70.0,3.02,70.0,3.369,70.0,2.902,70.0,3.155,70.0,3.073,70.0,3.263,70.0,3.12,70.0,3.249,70.0,3.258,70.0,2.974,70.0,3.397,70.0,3.277
110,D,387.0,Maguire,43,43,Man Utd,75.0,2.805,75.0,3.787,75.0,2.247,75.0,3.104,75.0,2.976,75.0,3.349,75.0,3.181,75.0,3.289,75.0,3.511,75.0,2.558,75.0,3.575,75.0,3.55
111,M,402.0,Almirón,62,62,Newcastle,68.0,3.062,68.0,2.952,68.0,3.282,68.0,3.492,68.0,3.449,68.0,2.791,68.0,2.723,68.0,2.883,68.0,3.724,68.0,3.239,68.0,3.398,68.0,2.824
112,M,199.0,Enzo,48,48,Chelsea,85.0,2.963,85.0,3.038,85.0,3.583,85.0,3.229,85.0,3.244,85.0,3.297,85.0,3.282,85.0,2.746,85.0,3.404,85.0,3.112,85.0,2.62,85.0,3.065
113,D,386.0,Lindelöf,45,45,Man Utd,68.0,2.791,68.0,3.677,68.0,2.304,68.0,3.074,68.0,2.94,68.0,3.295,68.0,3.12,68.0,3.241,68.0,3.429,68.0,2.576,68.0,3.49,68.0,3.46
114,D,495.0,Davies,43,43,Spurs,70.0,3.461,70.0,2.673,70.0,3.318,70.0,3.518,70.0,2.641,70.0,3.695,70.0,2.739,70.0,2.962,70.0,3.09,70.0,2.975,70.0,3.706,70.0,2.616
115,G,614.0,Kaminski,45,45,Luton,89.0,2.917,89.0,2.643,89.0,3.255,89.0,2.905,89.0,3.632,89.0,2.95,89.0,3.355,89.0,3.056,89.0,2.608,89.0,4.23,89.0,3.201,89.0,2.625
116,M,259.0,McNeil,54,54,Everton,75.0,2.976,75.0,3.035,75.0,3.34,75.0,3.067,75.0,2.835,75.0,3.282,75.0,3.111,75.0,3.197,75.0,3.158,75.0,2.771,75.0,3.261,75.0,3.032
117,D,25.0,Tomiyasu,45,45,Arsenal,65.0,3.631,65.0,2.581,65.0,3.063,65.0,2.339,65.0,3.601,65.0,3.171,65.0,3.578,65.0,3.344,65.0,2.616,65.0,3.121,65.0,3.434,65.0,2.556
