Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts
M,308.0,Salah,133,133,Liverpool,85.0,6.152,85.0,6.859,85.0,6.611,85.0,5.669,85.0,8.846,85.0,8.73,85.0,2.807,85.0,7.172,85.0,5.601,85.0,6.642,85.0,6.719,85.0,8.834
M,526.0,Bowen,79,79,West Ham,85.0,5.02,85.0,6.436,85.0,5.392,85.0,5.008,85.0,4.561,85.0,5.515,85.0,5.038,85.0,5.122,85.0,5.737,85.0,4.829,85.0,4.515,85.0,5.242
M,353.0,Foden,76,76,Man City,75.0,5.746,75.0,4.627,75.0,5.593,75.0,4.791,75.0,5.113,75.0,8.174,75.0,5.068,75.0,5.051,75.0,4.311,75.0,4.772,75.0,4.426,75.0,4.687
D,290.0,Alexander-Arnold,84,84,Liverpool,85.0,4.444,85.0,5.068,85.0,4.836,85.0,3.805,85.0,7.552,85.0,6.33,85.0,2.215,85.0,5.44,85.0,3.618,85.0,4.909,85.0,4.956,85.0,6.968
M,19.0,Saka,90,90,Arsenal,85.0,5.03,85.0,5.274,85.0,5.178,85.0,4.481,85.0,4.941,85.0,5.353,85.0,4.673,85.0,5.543,85.0,4.909,85.0,4.745,85.0,4.072,85.0,5.875
M,14.0,Ødegaard,84,84,Arsenal,85.0,4.989,85.0,5.188,85.0,5.136,85.0,4.387,85.0,4.893,85.0,5.23,85.0,4.502,85.0,5.348,85.0,4.814,85.0,4.645,85.0,4.075,85.0,5.61
M,689.0,Kudus,68,68,West Ham,80.0,4.649,80.0,6.344,80.0,5.017,80.0,4.635,80.0,4.131,80.0,5.321,80.0,4.601,80.0,4.654,80.0,5.5,80.0,4.391,80.0,4.141,80.0,4.821
M,134.0,Groß,64,64,Brighton,76.0,4.812,76.0,5.105,76.0,5.259,76.0,5.039,76.0,4.655,76.0,5.309,76.0,4.813,76.0,4.903,76.0,5.221,76.0,4.064,76.0,4.158,76.0,4.571
F,355.0,Haaland,139,139,Man City,0.0,0.0,0.0,0.0,30.0,3.495,70.0,5.316,96.0,5.984,96.0,9.655,96.0,6.105,96.0,5.966,96.0,4.949,96.0,5.623,96.0,5.243,96.0,5.523
M,236.0,Olise,58,58,Crystal Palace,78.0,4.541,78.0,4.075,78.0,5.308,78.0,4.345,78.0,4.415,78.0,4.431,78.0,5.152,78.0,4.413,78.0,5.263,78.0,4.323,78.0,4.781,78.0,4.534
M,557.0,Hwang,57,57,Wolves,80.0,4.624,80.0,4.342,80.0,4.48,80.0,4.214,80.0,4.447,80.0,4.481,80.0,6.087,80.0,3.901,80.0,4.863,80.0,4.764,80.0,4.154,80.0,4.835
M,43.0,Douglas Luiz,55,55,Aston Villa,84.0,5.15,84.0,4.325,84.0,4.005,84.0,5.137,84.0,4.455,84.0,4.541,84.0,5.021,84.0,5.07,84.0,4.495,84.0,4.438,84.0,4.799,84.0,3.525
F,60.0,Watkins,88,88,Aston Villa,89.0,4.689,89.0,4.275,89.0,4.022,89.0,5.406,89.0,4.28,89.0,4.509,89.0,4.635,89.0,5.355,89.0,4.345,89.0,4.379,89.0,4.577,89.0,3.822
M,344.0,Bernardo,64,64,Man City,74.0,4.95,74.0,4.107,74.0,4.786,74.0,4.072,74.0,4.399,74.0,6.997,74.0,4.332,74.0,4.33,74.0,3.863,74.0,4.051,74.0,3.991,74.0,4.087
D,430.0,Trippier,68,68,Newcastle,85.0,3.379,85.0,3.17,85.0,3.688,85.0,6.089,85.0,4.932,85.0,5.055,85.0,3.39,85.0,5.41,85.0,3.768,85.0,4.607,85.0,4.984,85.0,4.871
F,85.0,Solanke,70,70,Bournemouth,88.0,4.041,88.0,3.755,88.0,4.121,88.0,5.224,88.0,4.909,88.0,4.323,88.0,4.154,88.0,4.583,88.0,5.377,88.0,4.28,88.0,4.139,88.0,4.363
M,373.0,Fernandes,82,82,Man Utd,88.0,4.652,88.0,4.472,88.0,4.412,88.0,4.572,88.0,3.947,88.0,4.803,88.0,3.837,88.0,3.639,88.0,4.538,88.0,5.301,88.0,4.055,88.0,3.968
M,362.0,Palmer,56,56,Chelsea,75.0,5.515,75.0,4.958,75.0,4.01,75.0,5.019,75.0,4.669,75.0,3.8,75.0,0.937,75.0,4.392,75.0,4.402,75.0,3.96,75.0,5.335,75.0,4.7
D,313.0,Van Dijk,62,62,Liverpool,85.0,3.724,85.0,4.342,85.0,4.116,85.0,3.25,85.0,6.596,85.0,5.455,85.0,1.939,85.0,4.682,85.0,2.968,85.0,4.195,85.0,4.222,85.0,6.115
M,303.0,Luis Díaz,73,73,Liverpool,73.0,3.986,73.0,4.288,73.0,4.124,73.0,3.836,73.0,5.335,73.0,5.325,73.0,1.538,73.0,4.43,73.0,3.776,73.0,4.245,73.0,4.136,73.0,4.812
F,8.0,Jesus,80,80,Arsenal,75.0,4.268,75.0,4.294,75.0,4.346,75.0,3.751,75.0,4.203,75.0,4.412,75.0,3.781,75.0,4.463,75.0,4.057,75.0,3.973,75.0,3.603,75.0,4.438
M,309.0,Szoboszlai,71,71,Liverpool,84.0,3.867,84.0,4.276,84.0,4.012,84.0,3.748,84.0,5.425,84.0,5.28,84.0,1.539,84.0,4.464,84.0,3.661,84.0,4.135,84.0,4.118,84.0,4.839
M,509.0,Richarlison,68,68,Spurs,75.0,4.266,75.0,4.288,75.0,4.422,75.0,4.495,75.0,4.411,75.0,4.36,75.0,0.763,75.0,4.314,75.0,3.732,75.0,4.208,75.0,5.512,75.0,4.103
G,352.0,Ederson,55,55,Man City,89.0,5.304,89.0,3.288,89.0,4.959,89.0,3.325,89.0,4.334,89.0,6.317,89.0,3.793,89.0,4.071,89.0,3.003,89.0,3.212,89.0,3.407,89.0,3.515
G,291.0,Alisson,56,56,Liverpool,90.0,3.524,90.0,4.045,90.0,3.855,90.0,3.248,90.0,6.046,90.0,5.124,90.0,1.787,90.0,4.273,90.0,3.031,90.0,3.909,90.0,3.975,90.0,5.632
F,117.0,Toney,79,79,Brentford,0.0,0.0,0.0,0.0,80.0,4.699,80.0,4.1,80.0,4.74,80.0,6.962,80.0,4.642,80.0,4.578,80.0,4.089,80.0,5.088,80.0,4.686,80.0,4.584
M,226.0,Eze,60,60,Crystal Palace,80.0,3.874,80.0,3.456,80.0,4.515,80.0,3.765,80.0,3.859,80.0,3.981,80.0,4.41,80.0,3.986,80.0,4.492,80.0,3.623,80.0,4.185,80.0,4.004
D,29.0,White,56,56,Arsenal,80.0,3.985,80.0,4.679,80.0,4.277,80.0,3.132,80.0,3.861,80.0,4.324,80.0,3.401,80.0,4.602,80.0,4.116,80.0,3.761,80.0,2.269,80.0,5.674
M,12.0,Martinelli,77,77,Arsenal,70.0,4.054,70.0,4.197,70.0,4.195,70.0,3.604,70.0,4.017,70.0,4.239,70.0,3.654,70.0,4.337,70.0,3.933,70.0,3.887,70.0,3.368,70.0,4.547
G,77.0,Neto,46,46,Bournemouth,90.0,3.576,90.0,3.245,90.0,3.74,90.0,5.002,90.0,4.377,90.0,3.668,90.0,3.411,90.0,4.008,90.0,4.753,90.0,3.91,90.0,3.943,90.0,4.156
M,539.0,Paquetá,60,60,West Ham,86.0,3.885,86.0,4.379,86.0,4.221,86.0,3.759,86.0,3.642,86.0,4.078,86.0,3.896,86.0,3.884,86.0,4.525,86.0,3.767,86.0,3.505,86.0,4.021
M,106.0,Jensen,54,54,Brentford,75.0,3.91,75.0,4.315,75.0,3.713,75.0,3.362,75.0,3.948,75.0,5.774,75.0,3.838,75.0,3.628,75.0,3.473,75.0,4.066,75.0,3.809,75.0,3.721
M,382.0,Garnacho,47,47,Man Utd,75.0,4.213,75.0,4.102,75.0,4.105,75.0,4.138,75.0,3.676,75.0,4.339,75.0,3.39,75.0,3.292,75.0,4.1,75.0,4.525,75.0,3.813,75.0,3.785
M,365.0,Rodri,56,56,Man City,85.0,4.437,85.0,3.395,85.0,4.354,85.0,3.574,85.0,3.928,85.0,6.172,85.0,3.885,85.0,3.871,85.0,3.174,85.0,3.568,85.0,3.379,85.0,3.552
F,468.0,Wood,49,49,Nott'm Forest,65.0,3.847,65.0,3.763,65.0,3.644,65.0,3.958,65.0,3.71,65.0,3.923,65.0,3.73,65.0,3.697,65.0,3.788,65.0,5.083,65.0,4.035,65.0,4.034
G,49.0,Martínez,52,52,Aston Villa,89.0,4.734,89.0,3.606,89.0,3.335,89.0,4.202,89.0,3.984,89.0,3.815,89.0,4.643,89.0,4.136,89.0,3.934,89.0,3.71,89.0,4.399,89.0,2.705
M,412.0,Gordon,62,62,Newcastle,78.0,3.483,78.0,3.447,78.0,3.633,78.0,4.515,78.0,4.204,78.0,4.136,78.0,3.537,78.0,4.303,78.0,3.625,78.0,4.061,78.0,4.141,78.0,4.012
