Pos,ID,Name,BV,SV,Team,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
M,308.0,Salah,125,125,Liverpool,85.0,6.402,85.0,6.461,85.0,5.925,85.0,5.163,85.0,6.549,85.0,6.636,85.0,6.613,85.0,6.058,85.0,4.977,85.0,6.529,85.0,6.637,85.0,5.819
F,355.0,Haaland,141,141,Man City,86.0,6.206,86.0,6.942,86.0,6.833,86.0,4.907,86.0,5.119,86.0,5.56,86.0,6.915,86.0,5.999,86.0,5.434,86.0,6.092,86.0,5.862,86.0,7.743
M,19.0,Saka,87,87,Arsenal,85.0,5.926,85.0,5.903,85.0,6.011,85.0,4.793,85.0,5.617,85.0,6.493,85.0,4.802,85.0,6.486,85.0,5.505,85.0,6.245,85.0,6.309,85.0,5.577
M,516.0,Son,91,91,Spurs,82.0,6.24,82.0,4.688,82.0,4.909,82.0,6.08,82.0,5.899,82.0,5.4,82.0,5.528,82.0,5.825,82.0,5.516,82.0,4.555,82.0,5.733,82.0,4.788
M,108.0,Mbeumo,68,68,Brentford,83.0,4.695,83.0,5.824,83.0,5.737,83.0,5.014,83.0,6.13,83.0,5.272,83.0,5.656,83.0,4.809,83.0,4.82,83.0,6.157,83.0,4.713,83.0,5.929
M,216.0,Sterling,72,72,Chelsea,82.0,5.955,82.0,5.454,82.0,5.714,82.0,6.894,82.0,4.824,82.0,5.383,82.0,5.432,82.0,4.63,82.0,4.688,82.0,4.859,82.0,5.09,82.0,5.737
M,140.0,March,66,66,Brighton,75.0,4.771,75.0,5.629,75.0,4.97,75.0,4.682,75.0,4.308,75.0,5.513,75.0,5.331,75.0,6.654,75.0,5.448,75.0,4.99,75.0,5.088,75.0,6.566
M,526.0,Bowen,71,71,West Ham,82.0,4.37,82.0,4.437,82.0,6.684,82.0,4.528,82.0,5.007,82.0,5.62,82.0,4.938,82.0,5.746,82.0,6.426,82.0,5.196,82.0,5.109,82.0,5.39
M,504.0,Maddison,78,78,Spurs,84.0,6.034,84.0,4.48,84.0,4.864,84.0,5.798,84.0,5.744,84.0,5.15,84.0,5.476,84.0,5.677,84.0,5.329,84.0,4.308,84.0,5.64,84.0,4.645
M,373.0,Fernandes,84,84,Man Utd,88.0,4.664,88.0,5.713,88.0,5.226,88.0,5.146,88.0,5.714,88.0,4.498,88.0,5.313,88.0,5.989,88.0,5.368,88.0,4.437,88.0,5.349,88.0,5.678
M,599.0,Diaby,66,66,Aston Villa,75.0,5.129,75.0,5.009,75.0,4.553,75.0,5.505,75.0,5.287,75.0,6.743,75.0,5.501,75.0,5.478,75.0,5.078,75.0,5.467,75.0,4.327,75.0,4.519
M,365.0,Rodri,57,57,Man City,84.0,4.96,84.0,5.62,84.0,5.318,84.0,4.349,84.0,4.608,84.0,4.531,84.0,5.592,84.0,4.793,84.0,4.633,84.0,5.198,84.0,4.77,84.0,6.323
F,437.0,Awoniyi,66,66,Nott'm Forest,75.0,6.184,75.0,4.519,75.0,4.846,75.0,4.82,75.0,6.254,75.0,4.404,75.0,4.899,75.0,4.869,75.0,4.466,75.0,5.083,75.0,5.0,75.0,5.192
F,119.0,Wissa,62,62,Brentford,75.0,4.286,75.0,5.25,75.0,5.268,75.0,4.541,75.0,6.073,75.0,4.749,75.0,4.944,75.0,4.333,75.0,4.379,75.0,6.145,75.0,4.281,75.0,6.066
M,14.0,Ødegaard,85,85,Arsenal,82.0,5.132,82.0,5.088,82.0,5.234,82.0,4.146,82.0,4.844,82.0,5.596,82.0,4.187,82.0,5.59,82.0,4.747,82.0,5.461,82.0,5.376,82.0,4.819
F,415.0,Isak,77,77,Newcastle,75.0,4.64,75.0,5.858,75.0,5.788,75.0,4.733,75.0,4.698,75.0,5.07,75.0,4.236,75.0,5.03,75.0,4.705,75.0,4.51,75.0,4.874,75.0,4.64
D,430.0,Trippier,65,65,Newcastle,87.0,4.543,87.0,5.167,87.0,6.233,87.0,4.405,87.0,4.847,87.0,4.782,87.0,3.96,87.0,4.762,87.0,4.853,87.0,4.505,87.0,4.655,87.0,4.348
M,143.0,Mitoma,65,65,Brighton,77.0,4.363,77.0,5.161,77.0,4.599,77.0,4.142,77.0,3.818,77.0,5.033,77.0,4.908,77.0,5.315,77.0,5.035,77.0,4.622,77.0,4.665,77.0,5.309
D,131.0,Estupiñán,53,53,Brighton,80.0,3.87,80.0,5.534,80.0,4.211,80.0,3.886,80.0,2.902,80.0,5.303,80.0,4.831,80.0,6.159,80.0,4.952,80.0,4.271,80.0,4.568,80.0,6.132
M,353.0,Foden,76,76,Man City,70.0,4.796,70.0,5.165,70.0,5.009,70.0,4.188,70.0,4.312,70.0,4.431,70.0,5.15,70.0,4.61,70.0,4.31,70.0,4.841,70.0,4.584,70.0,5.164
F,293.0,Darwin,74,74,Liverpool,62.0,4.711,62.0,4.587,62.0,4.454,62.0,4.236,62.0,4.618,62.0,4.731,62.0,5.524,62.0,4.454,62.0,4.181,62.0,4.56,62.0,5.524,62.0,4.396
M,134.0,Groß,63,63,Brighton,83.0,4.184,83.0,4.955,83.0,4.425,83.0,4.262,83.0,3.865,83.0,4.892,83.0,4.729,83.0,5.163,83.0,4.805,83.0,4.444,83.0,4.559,83.0,5.157
M,379.0,Eriksen,59,59,Man Utd,63.0,4.023,63.0,5.44,63.0,4.278,63.0,4.222,63.0,5.532,63.0,3.867,63.0,4.472,63.0,5.675,63.0,4.583,63.0,3.904,63.0,4.295,63.0,4.761
D,36.0,Cash,47,47,Aston Villa,70.0,4.441,70.0,4.064,70.0,3.908,70.0,4.791,70.0,4.607,70.0,6.714,70.0,4.805,70.0,4.962,70.0,4.22,70.0,4.776,70.0,3.226,70.0,3.763
D,220.0,Andersen,46,46,Crystal Palace,85.0,3.981,85.0,4.984,85.0,3.683,85.0,5.279,85.0,3.326,85.0,4.675,85.0,4.861,85.0,5.142,85.0,4.888,85.0,4.275,85.0,5.18,85.0,3.765
M,267.0,Andreas,55,55,Fulham,80.0,5.703,80.0,4.104,80.0,4.205,80.0,5.676,80.0,4.232,80.0,3.915,80.0,4.12,80.0,4.074,80.0,4.741,80.0,3.944,80.0,4.751,80.0,4.354
M,309.0,Szoboszlai,70,70,Liverpool,78.0,4.649,78.0,4.594,78.0,4.305,78.0,3.845,78.0,4.742,78.0,4.866,78.0,4.74,78.0,4.306,78.0,3.662,78.0,4.7,78.0,4.735,78.0,4.233
F,523.0,Antonio,61,61,West Ham,75.0,3.819,75.0,3.799,75.0,5.559,75.0,3.87,75.0,4.192,75.0,4.659,75.0,4.135,75.0,4.854,75.0,5.403,75.0,4.297,75.0,4.198,75.0,4.554
M,303.0,Luis Díaz,77,77,Liverpool,67.0,4.535,67.0,4.337,67.0,4.174,67.0,3.781,67.0,4.578,67.0,4.665,67.0,5.409,67.0,4.147,67.0,3.613,67.0,4.531,67.0,5.405,67.0,4.082
M,226.0,Eze,63,63,Crystal Palace,85.0,4.038,85.0,4.601,85.0,3.976,85.0,4.778,85.0,3.855,85.0,4.431,85.0,4.666,85.0,4.639,85.0,4.671,85.0,4.263,85.0,4.747,85.0,3.995
M,12.0,Martinelli,79,79,Arsenal,75.0,4.446,75.0,4.424,75.0,4.546,75.0,3.645,75.0,4.182,75.0,4.945,75.0,3.714,75.0,4.851,75.0,4.132,75.0,4.724,75.0,4.739,75.0,4.16
D,307.0,Robertson,65,65,Liverpool,80.0,4.392,80.0,4.697,80.0,3.961,80.0,3.213,80.0,5.153,80.0,5.249,80.0,4.807,80.0,4.131,80.0,2.516,80.0,4.94,80.0,4.783,80.0,3.707
M,396.0,Rashford,89,89,Man Utd,84.0,3.808,84.0,4.59,84.0,4.278,84.0,4.232,84.0,4.591,84.0,3.639,84.0,4.419,84.0,4.799,84.0,4.437,84.0,3.682,84.0,4.286,84.0,4.659
G,275.0,Leno,46,46,Fulham,89.0,5.13,89.0,3.945,89.0,4.265,89.0,5.045,89.0,4.025,89.0,3.366,89.0,3.972,89.0,3.853,89.0,4.734,89.0,3.437,89.0,4.791,89.0,4.372
D,511.0,Romero,47,47,Spurs,77.0,6.365,77.0,3.211,77.0,3.534,77.0,5.774,77.0,4.704,77.0,3.834,77.0,4.169,77.0,4.406,77.0,4.115,77.0,2.758,77.0,4.37,77.0,3.514
G,291.0,Alisson,55,55,Liverpool,89.0,4.209,89.0,4.508,89.0,3.85,89.0,3.229,89.0,4.871,89.0,4.962,89.0,4.559,89.0,4.048,89.0,2.838,89.0,4.779,89.0,4.534,89.0,3.731
G,424.0,Pope,55,55,Newcastle,89.0,3.984,89.0,4.38,89.0,5.366,89.0,3.793,89.0,4.203,89.0,4.047,89.0,3.542,89.0,4.034,89.0,4.222,89.0,3.95,89.0,3.995,89.0,3.78
G,352.0,Ederson,56,56,Man City,88.0,4.008,88.0,5.018,88.0,4.193,88.0,3.193,88.0,3.665,88.0,3.517,88.0,5.014,88.0,3.706,88.0,3.574,88.0,4.647,88.0,3.645,88.0,4.482
M,34.0,Bailey,55,55,Aston Villa,67.0,4.007,67.0,3.931,67.0,3.722,67.0,4.264,67.0,4.141,67.0,4.573,67.0,4.259,67.0,4.223,67.0,3.978,67.0,4.243,67.0,3.517,67.0,3.692
D,519.0,Udogie,47,47,Spurs,80.0,5.422,80.0,3.02,80.0,3.488,80.0,4.75,80.0,4.735,80.0,3.812,80.0,4.226,80.0,4.436,80.0,4.18,80.0,2.561,80.0,4.508,80.0,3.406
M,513.0,Sarr,46,46,Spurs,75.0,5.377,75.0,3.467,75.0,3.549,75.0,5.253,75.0,4.161,75.0,3.786,75.0,3.855,75.0,4.243,75.0,3.845,75.0,3.328,75.0,3.972,75.0,3.535
F,343.0,Álvarez,67,67,Man City,72.0,4.093,72.0,4.236,72.0,4.237,72.0,3.717,72.0,3.749,72.0,3.881,72.0,4.216,72.0,4.036,72.0,3.785,72.0,4.02,72.0,4.021,72.0,4.318
F,85.0,Solanke,65,65,Bournemouth,85.0,4.087,85.0,3.639,85.0,3.728,85.0,4.261,85.0,4.472,85.0,4.478,85.0,3.575,85.0,3.728,85.0,4.343,85.0,4.11,85.0,4.043,85.0,3.81
D,350.0,Dias,55,55,Man City,75.0,3.985,75.0,5.063,75.0,4.276,75.0,2.945,75.0,3.522,75.0,3.337,75.0,5.057,75.0,3.647,75.0,3.443,75.0,4.661,75.0,3.576,75.0,4.55
M,603.0,Barnes,64,64,Newcastle,55.0,3.703,55.0,5.1,55.0,5.124,55.0,3.726,55.0,3.735,55.0,3.958,55.0,3.536,55.0,3.941,55.0,3.746,55.0,3.645,55.0,3.869,55.0,3.666
G,49.0,Martínez,49,49,Aston Villa,89.0,4.021,89.0,3.72,89.0,3.518,89.0,4.119,89.0,4.17,89.0,5.028,89.0,4.089,89.0,4.496,89.0,3.849,89.0,4.086,89.0,3.075,89.0,3.385
F,225.0,Edouard,55,55,Crystal Palace,68.0,3.849,68.0,4.061,68.0,3.711,68.0,4.151,68.0,3.615,68.0,3.932,68.0,4.067,68.0,4.067,68.0,4.135,68.0,3.928,68.0,4.13,68.0,3.717
G,569.0,Sá,50,50,Wolves,89.0,3.348,89.0,4.441,89.0,3.093,89.0,3.982,89.0,4.041,89.0,3.332,89.0,4.268,89.0,4.092,89.0,4.008,89.0,3.227,89.0,4.76,89.0,4.491
D,20.0,Saliba,52,52,Arsenal,82.0,3.897,82.0,4.16,82.0,3.985,82.0,2.409,82.0,3.417,82.0,5.343,82.0,2.642,82.0,5.315,82.0,3.184,82.0,4.74,82.0,4.443,82.0,3.361
G,524.0,Areola,41,41,West Ham,89.0,3.05,89.0,3.105,89.0,4.843,89.0,3.346,89.0,3.659,89.0,4.429,89.0,3.519,89.0,4.559,89.0,4.308,89.0,4.036,89.0,3.813,89.0,4.078
F,8.0,Jesus,79,79,Arsenal,65.0,3.835,65.0,3.731,65.0,3.815,65.0,3.373,65.0,3.665,65.0,4.473,65.0,3.404,65.0,4.414,65.0,3.602,65.0,3.921,65.0,4.418,65.0,3.644
M,6.0,Havertz,73,73,Arsenal,75.0,3.891,75.0,3.866,75.0,3.985,75.0,3.229,75.0,3.677,75.0,4.353,75.0,3.277,75.0,4.263,75.0,3.627,75.0,4.152,75.0,4.155,75.0,3.655
M,376.0,Casemiro,54,54,Man Utd,82.0,3.597,82.0,4.019,82.0,3.786,82.0,3.74,82.0,4.02,82.0,3.426,82.0,3.888,82.0,4.226,82.0,3.902,82.0,3.473,82.0,3.794,82.0,4.083
G,520.0,Vicario,51,51,Spurs,89.0,4.796,89.0,3.091,89.0,3.35,89.0,4.292,89.0,4.366,89.0,3.721,89.0,3.973,89.0,4.035,89.0,3.93,89.0,2.904,89.0,4.106,89.0,3.335
D,427.0,Schär,50,50,Newcastle,85.0,3.628,85.0,4.218,85.0,5.258,85.0,3.453,85.0,3.932,85.0,3.835,85.0,3.018,85.0,3.813,85.0,3.935,85.0,3.589,85.0,3.69,85.0,3.394
G,101.0,Flekken,45,45,Brentford,89.0,3.066,89.0,4.349,89.0,3.907,89.0,3.349,89.0,4.786,89.0,3.507,89.0,4.02,89.0,3.077,89.0,3.366,89.0,4.913,89.0,3.147,89.0,4.147
M,50.0,McGinn,55,55,Aston Villa,76.0,3.817,76.0,3.705,76.0,3.515,76.0,3.942,76.0,3.897,76.0,4.2,76.0,3.938,76.0,3.988,76.0,3.736,76.0,3.908,76.0,3.336,76.0,3.488
D,150.0,Van Hecke,40,40,Brighton,76.0,3.088,76.0,4.495,76.0,3.249,76.0,3.108,76.0,2.222,76.0,4.261,76.0,3.785,76.0,5.155,76.0,3.899,76.0,3.309,76.0,3.642,76.0,5.056
D,29.0,White,55,55,Arsenal,84.0,3.738,84.0,4.035,84.0,3.83,84.0,2.325,84.0,3.212,84.0,5.17,84.0,2.547,84.0,5.141,84.0,3.013,84.0,4.573,84.0,4.259,84.0,3.146
G,17.0,Ramsdale,50,50,Arsenal,75.0,3.687,75.0,3.935,75.0,3.723,75.0,2.702,75.0,3.378,75.0,4.881,75.0,2.869,75.0,4.854,75.0,3.203,75.0,4.297,75.0,4.073,75.0,3.327
M,542.0,Soucek,49,49,West Ham,77.0,3.292,77.0,3.351,77.0,4.125,77.0,3.42,77.0,3.676,77.0,3.98,77.0,3.61,77.0,4.059,77.0,3.981,77.0,3.781,77.0,3.693,77.0,3.842
M,501.0,Kulusevski,70,70,Spurs,77.0,4.21,77.0,3.376,77.0,3.491,77.0,4.073,77.0,3.945,77.0,3.594,77.0,3.685,77.0,3.964,77.0,3.665,77.0,3.213,77.0,3.858,77.0,3.438
F,60.0,Watkins,80,80,Aston Villa,84.0,3.668,84.0,3.604,84.0,3.377,84.0,3.92,84.0,3.805,84.0,3.955,84.0,3.913,84.0,3.86,84.0,3.68,84.0,3.896,84.0,3.323,84.0,3.378
M,447.0,Gibbs-White,59,59,Nott'm Forest,80.0,4.166,80.0,3.15,80.0,3.609,80.0,3.527,80.0,4.262,80.0,3.341,80.0,3.648,80.0,3.634,80.0,3.443,80.0,3.89,80.0,3.753,80.0,3.871
D,544.0,Zouma,45,45,West Ham,84.0,2.447,84.0,2.633,84.0,4.924,84.0,2.958,84.0,3.394,84.0,4.392,84.0,3.249,84.0,4.592,84.0,4.288,84.0,3.82,84.0,3.63,84.0,3.81
M,115.0,Schade,54,54,Brentford,65.0,3.128,65.0,3.733,65.0,3.743,65.0,3.23,65.0,4.601,65.0,3.38,65.0,3.555,65.0,3.135,65.0,3.172,65.0,4.711,65.0,3.14,65.0,4.586
D,195.0,Chilwell,58,58,Chelsea,80.0,4.27,80.0,3.98,80.0,4.074,80.0,4.57,80.0,3.228,80.0,3.833,80.0,3.858,80.0,2.612,80.0,2.866,80.0,3.388,80.0,3.233,80.0,4.177
F,132.0,Ferguson,60,60,Brighton,60.0,3.281,60.0,3.88,60.0,3.406,60.0,3.311,60.0,3.02,60.0,3.646,60.0,3.672,60.0,4.56,60.0,3.856,60.0,3.426,60.0,3.424,60.0,4.487
F,211.0,N.Jackson,72,72,Chelsea,78.0,4.087,78.0,3.792,78.0,3.949,78.0,4.096,78.0,3.276,78.0,3.782,78.0,3.777,78.0,3.078,78.0,3.186,78.0,3.281,78.0,3.6,78.0,3.999
M,567.0,Neto,55,55,Wolves,75.0,3.262,75.0,4.073,75.0,3.103,75.0,3.574,75.0,3.802,75.0,3.221,75.0,4.036,75.0,3.646,75.0,3.693,75.0,3.181,75.0,4.031,75.0,3.949
M,402.0,Almirón,63,63,Newcastle,75.0,3.526,75.0,3.898,75.0,4.04,75.0,3.549,75.0,3.592,75.0,3.726,75.0,3.216,75.0,3.711,75.0,3.597,75.0,3.495,75.0,3.627,75.0,3.492
D,203.0,Gusto,42,42,Chelsea,74.0,4.18,74.0,3.893,74.0,3.985,74.0,4.446,74.0,3.22,74.0,3.747,74.0,3.781,74.0,2.62,74.0,2.868,74.0,3.375,74.0,3.22,74.0,4.085
D,129.0,Dunk,50,50,Brighton,87.0,2.91,87.0,4.364,87.0,3.08,87.0,2.95,87.0,2.031,87.0,4.122,87.0,3.627,87.0,4.978,87.0,3.751,87.0,3.142,87.0,3.487,87.0,4.95
M,412.0,Gordon,55,55,Newcastle,69.0,3.36,69.0,4.53,69.0,4.649,69.0,3.411,69.0,3.463,69.0,3.668,69.0,3.06,69.0,3.647,69.0,3.467,69.0,3.262,69.0,3.555,69.0,3.318
D,234.0,Mitchell,45,45,Crystal Palace,77.0,3.104,77.0,4.018,77.0,2.817,77.0,4.342,77.0,2.493,77.0,3.718,77.0,4.006,77.0,4.17,77.0,4.032,77.0,3.396,77.0,4.244,77.0,2.819
D,407.0,Burn,45,45,Newcastle,82.0,3.411,82.0,3.951,82.0,4.984,82.0,3.231,82.0,3.714,82.0,3.569,82.0,2.845,82.0,3.552,82.0,3.717,82.0,3.372,82.0,3.466,82.0,3.171
M,64.0,Brooks,49,49,Bournemouth,65.0,3.572,65.0,3.291,65.0,3.34,65.0,3.691,65.0,3.882,65.0,3.956,65.0,3.178,65.0,3.306,65.0,3.958,65.0,3.562,65.0,3.511,65.0,3.362
F,433.0,Wilson,78,78,Newcastle,55.0,3.31,55.0,4.542,55.0,4.457,55.0,3.355,55.0,3.329,55.0,3.559,55.0,3.151,55.0,3.535,55.0,3.334,55.0,3.248,55.0,3.467,55.0,3.297
D,241.0,Tomkins,40,40,Crystal Palace,68.0,3.085,68.0,3.872,68.0,2.99,68.0,4.139,68.0,2.706,68.0,3.644,68.0,3.856,68.0,4.006,68.0,3.878,68.0,3.339,68.0,4.07,68.0,2.985
D,112.0,Pinnock,45,45,Brentford,85.0,2.583,85.0,4.244,85.0,3.79,85.0,2.94,85.0,4.775,85.0,3.189,85.0,3.829,85.0,2.597,85.0,2.944,85.0,4.902,85.0,2.722,85.0,4.034
D,401.0,Wan-Bissaka,46,46,Man Utd,76.0,2.902,76.0,4.003,76.0,3.608,76.0,3.403,76.0,4.008,76.0,2.232,76.0,3.534,76.0,4.866,76.0,3.635,76.0,2.443,76.0,3.613,76.0,4.268
