Pos,ID,Name,BV,SV,Team,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts
M,308.0,Salah,130,130,Liverpool,87.0,5.368,87.0,7.281,87.0,8.444,87.0,6.987,87.0,6.913,87.0,6.048,87.0,8.203,87.0,5.868,87.0,7.607,87.0,6.092,87.0,5.701,87.0,8.546
M,516.0,Son,97,97,Spurs,77.0,6.161,77.0,5.411,77.0,6.93,77.0,5.691,77.0,6.964,77.0,6.871,77.0,5.916,77.0,7.356,77.0,6.282,77.0,6.24,77.0,6.612,77.0,6.043
F,355.0,Haaland,140,140,Man City,88.0,5.448,88.0,6.168,88.0,5.707,88.0,7.768,88.0,6.675,0.0,0.0,88.0,6.277,88.0,12.548,88.0,5.034,88.0,7.871,88.0,5.754,88.0,6.416
M,108.0,Mbeumo,69,69,Brentford,83.0,4.922,83.0,6.386,83.0,4.805,83.0,6.182,83.0,5.168,0.0,0.0,83.0,5.832,83.0,8.688,83.0,5.945,83.0,5.016,83.0,4.564,83.0,5.544
M,19.0,Saka,87,87,Arsenal,85.0,4.867,85.0,5.598,85.0,5.941,85.0,4.722,85.0,4.844,85.0,4.437,85.0,5.631,85.0,5.333,85.0,5.538,85.0,5.5,85.0,4.621,85.0,5.451
M,353.0,Foden,75,75,Man City,74.0,4.719,74.0,5.234,74.0,4.92,74.0,5.639,74.0,5.608,0.0,0.0,74.0,5.301,74.0,9.757,74.0,4.537,74.0,5.791,74.0,4.961,74.0,5.51
F,415.0,Isak,74,74,Newcastle,75.0,4.599,75.0,4.998,75.0,4.915,75.0,4.674,75.0,5.162,75.0,6.365,75.0,5.465,75.0,4.323,75.0,4.386,75.0,4.579,75.0,6.481,75.0,5.344
M,362.0,Palmer,52,52,Chelsea,77.0,4.205,77.0,4.714,77.0,4.78,77.0,4.825,77.0,5.929,77.0,5.133,77.0,5.271,77.0,5.758,77.0,5.278,77.0,4.307,77.0,5.349,77.0,5.056
D,430.0,Trippier,70,70,Newcastle,87.0,4.21,87.0,5.085,87.0,4.633,87.0,4.157,87.0,5.668,87.0,5.382,87.0,6.146,87.0,3.522,87.0,3.302,87.0,3.774,87.0,6.618,87.0,4.977
M,373.0,Fernandes,83,83,Man Utd,88.0,4.79,88.0,4.148,88.0,4.461,88.0,5.63,88.0,4.263,88.0,5.078,88.0,4.52,88.0,5.107,88.0,4.776,88.0,4.955,88.0,5.303,88.0,4.365
M,216.0,Sterling,69,69,Chelsea,80.0,4.0,80.0,4.383,80.0,4.618,80.0,4.766,80.0,5.39,80.0,4.943,80.0,5.021,80.0,5.138,80.0,5.071,80.0,4.04,80.0,5.118,80.0,4.881
