Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts
M,308.0,Salah,126,126,Liverpool,87.0,6.969,87.0,7.41,87.0,7.309,87.0,6.608,87.0,5.341,87.0,7.141,87.0,7.527,87.0,6.285,87.0,6.766,87.0,5.926,87.0,7.284,87.0,5.722
M,516.0,Son,94,94,Spurs,75.0,6.41,75.0,5.926,75.0,5.687,75.0,6.729,75.0,5.855,75.0,5.068,75.0,6.118,75.0,5.199,75.0,6.784,75.0,6.34,75.0,5.238,75.0,7.123
F,355.0,Haaland,141,141,Man City,88.0,5.015,88.0,5.727,88.0,7.019,88.0,5.277,88.0,5.093,88.0,5.435,88.0,5.519,88.0,7.636,88.0,5.929,0.0,0.0,88.0,6.041,88.0,7.901
M,526.0,Bowen,73,73,West Ham,84.0,5.112,84.0,5.699,84.0,5.113,84.0,6.062,84.0,6.098,84.0,5.471,84.0,4.922,84.0,5.583,84.0,5.993,84.0,5.296,84.0,4.714,84.0,4.75
M,19.0,Saka,86,86,Arsenal,75.0,4.821,75.0,6.354,75.0,4.703,75.0,6.202,75.0,4.96,75.0,6.002,75.0,5.851,75.0,4.95,75.0,4.816,75.0,4.875,75.0,5.823,75.0,5.422
M,504.0,Maddison,80,80,Spurs,85.0,5.712,85.0,5.294,85.0,4.994,85.0,5.699,85.0,5.339,85.0,4.551,85.0,5.546,85.0,4.727,85.0,5.74,85.0,5.519,85.0,4.873,85.0,5.915
M,373.0,Fernandes,84,84,Man Utd,88.0,5.608,88.0,4.355,88.0,5.347,88.0,5.98,88.0,4.93,88.0,4.219,88.0,4.592,88.0,5.876,88.0,4.51,88.0,5.165,88.0,4.923,88.0,5.342
D,430.0,Trippier,68,68,Newcastle,87.0,5.618,87.0,5.215,87.0,4.299,87.0,5.272,87.0,4.442,87.0,5.162,87.0,4.778,87.0,4.118,87.0,5.772,87.0,5.533,87.0,6.365,87.0,3.711
F,415.0,Isak,75,75,Newcastle,70.0,4.954,70.0,5.253,70.0,4.706,70.0,5.262,70.0,4.81,70.0,4.944,70.0,4.901,70.0,4.631,70.0,5.157,70.0,5.832,70.0,5.165,70.0,4.497
M,134.0,Groß,63,63,Brighton,75.0,4.242,75.0,5.233,75.0,4.919,75.0,6.472,75.0,5.241,75.0,4.45,75.0,4.808,75.0,5.546,75.0,4.436,75.0,4.883,75.0,4.646,75.0,4.904
M,14.0,Ødegaard,85,85,Arsenal,84.0,4.35,84.0,5.653,84.0,4.318,84.0,5.478,84.0,4.527,84.0,5.394,84.0,5.255,84.0,4.496,84.0,4.35,84.0,4.475,84.0,5.111,84.0,5.05
F,60.0,Watkins,81,81,Aston Villa,86.0,4.722,86.0,5.664,86.0,4.964,86.0,4.958,86.0,4.28,86.0,4.958,86.0,4.088,86.0,4.295,86.0,4.481,86.0,5.73,86.0,4.537,86.0,5.168
D,290.0,Alexander-Arnold,79,79,Liverpool,85.0,5.317,85.0,5.896,85.0,5.207,85.0,4.646,85.0,2.779,85.0,5.312,85.0,5.276,85.0,4.414,85.0,4.717,85.0,3.848,85.0,5.108,85.0,3.584
F,225.0,Edouard,55,55,Crystal Palace,75.0,4.133,75.0,4.451,75.0,5.153,75.0,4.844,75.0,5.811,75.0,4.7,75.0,5.103,75.0,4.3,75.0,4.189,75.0,4.243,75.0,4.456,75.0,4.628
M,143.0,Mitoma,66,66,Brighton,73.0,3.896,73.0,4.897,73.0,4.635,73.0,6.053,73.0,4.869,73.0,4.223,73.0,4.466,73.0,5.241,73.0,4.058,73.0,4.562,73.0,4.412,73.0,4.55
M,216.0,Sterling,70,70,Chelsea,75.0,4.303,75.0,4.698,75.0,4.421,75.0,4.066,75.0,4.036,75.0,4.238,75.0,4.64,75.0,4.767,75.0,5.445,75.0,5.088,75.0,4.923,75.0,5.186
D,307.0,Robertson,66,66,Liverpool,80.0,5.311,80.0,5.806,80.0,5.149,80.0,4.612,80.0,2.814,80.0,5.237,80.0,5.182,80.0,4.357,80.0,4.698,80.0,3.836,80.0,5.016,80.0,3.69
M,599.0,Diaby,67,67,Aston Villa,75.0,4.699,75.0,5.163,75.0,4.779,75.0,4.786,75.0,4.32,75.0,4.79,75.0,3.879,75.0,4.072,75.0,4.336,75.0,5.179,75.0,4.394,75.0,5.042
D,36.0,Cash,50,50,Aston Villa,80.0,4.657,80.0,5.937,80.0,4.783,80.0,4.909,80.0,3.817,80.0,4.808,80.0,3.107,80.0,3.804,80.0,3.861,80.0,5.934,80.0,3.937,80.0,5.733
M,108.0,Mbeumo,68,68,Brentford,83.0,5.655,83.0,4.503,83.0,5.181,83.0,4.277,83.0,4.499,83.0,5.854,83.0,4.306,83.0,5.491,83.0,4.79,0.0,0.0,83.0,5.763,83.0,4.892
M,353.0,Foden,76,76,Man City,74.0,4.606,74.0,4.846,74.0,5.546,74.0,4.648,74.0,4.625,74.0,4.789,74.0,4.783,74.0,5.398,74.0,5.229,0.0,0.0,74.0,4.989,74.0,5.686
D,29.0,White,56,56,Arsenal,84.0,3.548,84.0,6.231,84.0,3.239,84.0,5.995,84.0,3.904,84.0,5.544,84.0,5.047,84.0,3.767,84.0,3.835,84.0,3.357,84.0,4.952,84.0,4.516
F,468.0,Wood,49,49,Nott'm Forest,67.0,5.505,67.0,4.203,67.0,4.335,67.0,4.523,67.0,4.226,67.0,4.479,67.0,4.543,67.0,4.604,67.0,4.263,67.0,4.646,67.0,4.138,67.0,4.365
D,395.0,Varane,50,50,Man Utd,80.0,5.093,80.0,3.153,80.0,4.65,80.0,5.888,80.0,4.507,80.0,3.383,80.0,4.227,80.0,5.58,80.0,3.395,80.0,4.386,80.0,4.427,80.0,4.854
F,343.0,Álvarez,70,70,Man City,75.0,4.315,75.0,4.584,75.0,5.204,75.0,4.425,75.0,4.351,75.0,4.5,75.0,4.544,75.0,5.816,75.0,4.807,0.0,0.0,75.0,4.685,75.0,6.0
D,220.0,Andersen,48,48,Crystal Palace,85.0,3.464,85.0,4.37,85.0,5.219,85.0,5.05,85.0,5.109,85.0,4.438,85.0,5.643,85.0,4.016,85.0,3.136,85.0,4.146,85.0,3.812,85.0,4.535
M,396.0,Rashford,88,88,Man Utd,84.0,4.722,84.0,3.642,84.0,4.567,84.0,4.907,84.0,4.489,84.0,3.673,84.0,4.132,84.0,4.855,84.0,3.838,84.0,4.43,84.0,4.342,84.0,4.686
M,365.0,Rodri,56,56,Man City,85.0,4.192,85.0,4.388,85.0,5.177,85.0,4.166,85.0,4.226,85.0,4.327,85.0,4.323,85.0,5.711,85.0,4.809,0.0,0.0,85.0,4.575,85.0,6.063
D,313.0,Van Dijk,60,60,Liverpool,85.0,4.961,85.0,5.502,85.0,4.818,85.0,4.29,85.0,2.447,85.0,4.884,85.0,4.859,85.0,3.993,85.0,4.376,85.0,3.511,85.0,4.692,85.0,3.364
G,291.0,Alisson,55,55,Liverpool,89.0,4.706,89.0,5.155,89.0,4.525,89.0,4.204,89.0,3.012,89.0,4.661,89.0,4.533,89.0,3.918,89.0,4.264,89.0,3.679,89.0,4.41,89.0,3.505
M,501.0,Kulusevski,70,70,Spurs,78.0,4.453,78.0,4.215,78.0,3.958,78.0,4.451,78.0,4.099,78.0,3.591,78.0,4.3,78.0,3.832,78.0,4.485,78.0,4.331,78.0,3.831,78.0,4.635
M,664.0,Ward-Prowse,63,63,West Ham,83.0,3.926,83.0,4.281,83.0,3.931,83.0,4.628,83.0,4.5,83.0,4.346,83.0,3.739,83.0,4.361,83.0,4.573,83.0,4.142,83.0,3.823,83.0,3.812
F,85.0,Solanke,64,64,Bournemouth,88.0,4.296,88.0,4.421,88.0,3.589,88.0,3.762,88.0,4.784,88.0,4.007,88.0,4.006,88.0,3.93,88.0,4.937,88.0,4.25,88.0,4.22,88.0,3.851
M,140.0,March,64,64,Brighton,63.0,3.56,63.0,4.265,63.0,4.084,63.0,5.263,63.0,4.206,63.0,3.745,63.0,3.945,63.0,4.644,63.0,3.68,63.0,4.006,63.0,3.911,63.0,4.124
M,309.0,Szoboszlai,70,70,Liverpool,78.0,4.29,78.0,4.525,78.0,4.337,78.0,3.973,78.0,3.447,78.0,4.33,78.0,4.373,78.0,3.99,78.0,4.035,78.0,3.714,78.0,4.34,78.0,3.67
G,113.0,Raya,48,48,Arsenal,85.0,3.308,85.0,5.576,85.0,3.117,85.0,5.34,85.0,3.596,85.0,4.886,85.0,4.487,85.0,3.458,85.0,3.531,85.0,3.081,85.0,4.344,85.0,4.054
F,8.0,Jesus,80,80,Arsenal,75.0,3.73,75.0,4.899,75.0,3.414,75.0,4.361,75.0,3.855,75.0,4.235,75.0,4.816,75.0,3.869,75.0,3.544,75.0,3.552,75.0,3.975,75.0,4.173
D,407.0,Burn,46,46,Newcastle,84.0,4.503,84.0,4.147,84.0,3.203,84.0,4.203,84.0,3.599,84.0,4.149,84.0,3.979,84.0,3.431,84.0,4.663,84.0,4.483,84.0,5.245,84.0,2.793
D,31.0,Zinchenko,49,49,Arsenal,76.0,3.116,76.0,5.657,76.0,2.9,76.0,5.424,76.0,3.428,76.0,4.994,76.0,4.536,76.0,3.308,76.0,3.472,76.0,2.934,76.0,4.415,76.0,3.992
M,362.0,Palmer,49,49,Chelsea,68.0,3.784,68.0,3.993,68.0,3.69,68.0,3.593,68.0,3.531,68.0,3.811,68.0,3.795,68.0,3.994,68.0,4.814,68.0,4.444,68.0,4.139,68.0,4.582
M,249.0,A.Doucouré,55,55,Everton,83.0,3.695,83.0,4.072,83.0,3.854,83.0,4.111,83.0,4.162,83.0,4.293,83.0,3.777,83.0,4.01,83.0,4.328,83.0,3.945,83.0,3.65,83.0,4.225
G,424.0,Pope,55,55,Newcastle,89.0,4.249,89.0,3.939,89.0,3.393,89.0,3.972,89.0,3.484,89.0,3.94,89.0,3.778,89.0,3.405,89.0,4.403,89.0,4.195,89.0,4.908,89.0,2.973
G,275.0,Leno,47,47,Fulham,89.0,3.453,89.0,3.232,89.0,3.963,89.0,3.576,89.0,4.489,89.0,3.314,89.0,4.616,89.0,4.094,89.0,3.227,89.0,4.813,89.0,4.198,89.0,3.586
M,557.0,Hwang,54,54,Wolves,62.0,4.092,62.0,3.42,62.0,4.976,62.0,3.579,62.0,3.83,62.0,3.393,62.0,4.405,62.0,4.072,62.0,3.8,62.0,3.533,62.0,3.539,62.0,3.893
F,168.0,Foster,50,50,Burnley,75.0,3.705,75.0,4.167,75.0,3.924,75.0,3.352,75.0,3.869,75.0,4.999,75.0,4.168,75.0,3.219,75.0,3.901,75.0,4.038,75.0,3.293,75.0,3.717
G,49.0,Martínez,49,49,Aston Villa,89.0,3.901,89.0,4.957,89.0,3.875,89.0,4.052,89.0,3.204,89.0,3.931,89.0,2.776,89.0,3.279,89.0,3.27,89.0,4.918,89.0,3.327,89.0,4.716
D,350.0,Dias,55,55,Man City,78.0,3.689,78.0,3.547,78.0,5.358,78.0,3.298,78.0,3.523,78.0,4.204,78.0,3.4,78.0,4.507,78.0,4.709,0.0,0.0,78.0,4.14,78.0,5.636
M,12.0,Martinelli,77,77,Arsenal,73.0,3.533,73.0,4.392,73.0,3.402,73.0,4.25,73.0,3.611,73.0,4.177,73.0,4.129,73.0,3.63,73.0,3.575,73.0,3.448,73.0,3.959,73.0,3.89
D,197.0,Colwill,46,46,Chelsea,82.0,3.36,82.0,3.975,82.0,3.377,82.0,2.675,82.0,2.851,82.0,3.434,82.0,3.515,82.0,3.958,82.0,5.481,82.0,4.272,82.0,4.354,82.0,4.553
G,520.0,Vicario,51,51,Spurs,89.0,4.278,89.0,3.835,89.0,3.586,89.0,4.017,89.0,3.77,89.0,2.859,89.0,3.979,89.0,3.328,89.0,4.041,89.0,4.14,89.0,3.265,89.0,4.645
M,34.0,Bailey,55,55,Aston Villa,55.0,3.751,55.0,4.833,55.0,3.753,55.0,3.728,55.0,3.361,55.0,3.937,55.0,3.193,55.0,3.285,55.0,3.385,55.0,4.855,55.0,3.421,55.0,4.161
D,584.0,Pau,45,45,Aston Villa,78.0,3.839,78.0,5.076,78.0,3.92,78.0,4.092,78.0,3.039,78.0,3.956,78.0,2.357,78.0,3.016,78.0,3.087,78.0,5.065,78.0,3.16,78.0,4.862
D,511.0,Romero,48,48,Spurs,84.0,4.339,84.0,3.744,84.0,3.528,84.0,4.056,84.0,3.717,84.0,2.409,84.0,4.064,84.0,3.195,84.0,4.11,84.0,4.333,84.0,3.137,84.0,4.806
M,106.0,Jensen,54,54,Brentford,75.0,4.727,75.0,3.698,75.0,4.244,75.0,3.653,75.0,3.854,75.0,4.646,75.0,3.613,75.0,4.462,75.0,3.98,0.0,0.0,75.0,4.486,75.0,4.025
G,524.0,Areola,42,42,West Ham,89.0,3.299,89.0,4.099,89.0,3.42,89.0,4.381,89.0,4.064,89.0,3.942,89.0,3.401,89.0,3.81,89.0,4.335,89.0,3.785,89.0,3.107,89.0,3.454
M,567.0,Neto,57,57,Wolves,84.0,4.008,84.0,3.244,84.0,4.168,84.0,3.447,84.0,3.896,84.0,3.342,84.0,4.273,84.0,4.199,84.0,3.716,84.0,3.448,84.0,3.514,84.0,3.809
M,542.0,Soucek,49,49,West Ham,82.0,3.525,82.0,3.833,82.0,3.541,82.0,4.191,82.0,4.06,82.0,3.905,82.0,3.463,82.0,3.911,82.0,4.102,82.0,3.734,82.0,3.258,82.0,3.32
D,369.0,Walker,53,53,Man City,76.0,3.577,76.0,3.442,76.0,5.279,76.0,3.154,76.0,3.413,76.0,4.059,76.0,3.277,76.0,4.435,76.0,4.621,0.0,0.0,76.0,4.025,76.0,5.552
F,326.0,Morris,56,56,Luton,75.0,4.011,75.0,3.668,75.0,3.492,75.0,3.709,75.0,3.841,75.0,3.679,75.0,3.532,75.0,3.415,75.0,4.053,75.0,3.357,75.0,4.192,75.0,3.597
D,20.0,Saliba,52,52,Arsenal,85.0,2.799,85.0,5.372,85.0,2.58,85.0,5.133,85.0,3.109,85.0,4.698,85.0,4.231,85.0,2.984,85.0,3.164,85.0,2.611,85.0,4.126,85.0,3.684
G,569.0,Sá,50,50,Wolves,89.0,3.816,89.0,3.182,89.0,4.149,89.0,3.531,89.0,3.693,89.0,2.988,89.0,4.53,89.0,4.332,89.0,3.443,89.0,3.306,89.0,3.264,89.0,3.901
D,506.0,Pedro Porro,51,51,Spurs,76.0,4.233,76.0,3.653,76.0,3.36,76.0,4.02,76.0,3.552,76.0,2.234,76.0,3.974,76.0,3.019,76.0,4.083,76.0,4.239,76.0,2.969,76.0,4.755
D,427.0,Schär,51,51,Newcastle,85.0,4.134,85.0,3.774,85.0,2.994,85.0,3.83,85.0,3.183,85.0,3.777,85.0,3.556,85.0,3.014,85.0,4.284,85.0,4.111,85.0,4.869,85.0,2.558
M,43.0,Douglas Luiz,54,54,Aston Villa,80.0,3.661,80.0,4.285,80.0,3.748,80.0,3.866,80.0,3.033,80.0,4.031,80.0,3.003,80.0,3.245,80.0,3.251,80.0,4.313,80.0,3.28,80.0,4.128
G,230.0,Johnstone,45,45,Crystal Palace,85.0,2.958,85.0,3.584,85.0,4.155,85.0,4.053,85.0,4.215,85.0,3.702,85.0,4.6,85.0,3.26,85.0,2.875,85.0,3.425,85.0,3.237,85.0,3.777
G,145.0,Sánchez,46,46,Chelsea,89.0,3.37,89.0,3.773,89.0,3.289,89.0,2.867,89.0,2.932,89.0,3.355,89.0,3.405,89.0,3.616,89.0,5.029,89.0,3.921,89.0,4.111,89.0,4.164
F,119.0,Wissa,59,59,Brentford,75.0,4.288,75.0,3.793,75.0,4.028,75.0,3.589,75.0,3.707,75.0,4.312,75.0,3.534,75.0,4.342,75.0,3.907,0.0,0.0,75.0,4.277,75.0,4.05
D,5.0,Gabriel,47,47,Arsenal,77.0,2.759,77.0,5.273,77.0,2.514,77.0,5.035,77.0,3.062,77.0,4.619,77.0,4.163,77.0,2.938,77.0,3.081,77.0,2.543,77.0,4.057,77.0,3.623
M,402.0,Almirón,64,64,Newcastle,71.0,3.696,71.0,3.737,71.0,3.4,71.0,3.747,71.0,3.448,71.0,3.625,71.0,3.576,71.0,3.4,71.0,3.802,71.0,3.887,71.0,3.977,71.0,3.285
D,305.0,Matip,49,49,Liverpool,75.0,4.263,75.0,4.593,75.0,3.967,75.0,3.604,75.0,2.03,75.0,4.065,75.0,4.001,75.0,3.251,75.0,3.639,75.0,2.89,75.0,3.838,75.0,2.837
D,112.0,Pinnock,45,45,Brentford,85.0,4.986,85.0,3.245,85.0,4.131,85.0,2.746,85.0,3.109,85.0,5.185,85.0,3.002,85.0,4.364,85.0,3.791,0.0,0.0,85.0,4.631,85.0,3.744
G,352.0,Ederson,56,56,Man City,89.0,3.474,89.0,3.303,89.0,5.008,89.0,3.095,89.0,3.254,89.0,3.859,89.0,3.222,89.0,4.15,89.0,4.372,0.0,0.0,89.0,3.812,89.0,5.267
G,77.0,Neto,45,45,Bournemouth,89.0,4.07,89.0,4.403,89.0,2.494,89.0,2.955,89.0,3.979,89.0,3.3,89.0,3.368,89.0,3.148,89.0,4.61,89.0,3.684,89.0,3.913,89.0,2.856
D,528.0,Coufal,45,45,West Ham,77.0,2.936,77.0,4.008,77.0,3.058,77.0,4.495,77.0,4.128,77.0,3.906,77.0,3.005,77.0,3.702,77.0,4.396,77.0,3.501,77.0,2.54,77.0,3.039
M,447.0,Gibbs-White,58,58,Nott'm Forest,80.0,4.092,80.0,3.193,80.0,3.486,80.0,3.493,80.0,3.353,80.0,3.709,80.0,3.606,80.0,3.693,80.0,3.46,80.0,3.926,80.0,3.168,80.0,3.516
M,267.0,Andreas,55,55,Fulham,83.0,3.369,83.0,3.26,83.0,3.503,83.0,3.394,83.0,3.884,83.0,3.227,83.0,3.962,83.0,3.616,83.0,3.2,83.0,4.012,83.0,3.682,83.0,3.352
D,519.0,Udogie,49,49,Spurs,80.0,4.134,80.0,3.543,80.0,3.21,80.0,3.916,80.0,3.399,80.0,2.061,80.0,3.821,80.0,2.837,80.0,3.976,80.0,4.086,80.0,2.768,80.0,4.666
D,544.0,Zouma,45,45,West Ham,86.0,2.897,86.0,3.919,86.0,3.024,86.0,4.395,86.0,4.02,86.0,3.808,86.0,2.977,86.0,3.603,86.0,4.278,86.0,3.478,86.0,2.489,86.0,2.99
D,522.0,Aguerd,45,45,West Ham,85.0,2.941,85.0,4.023,85.0,3.047,85.0,4.314,85.0,3.936,85.0,3.733,85.0,3.073,85.0,3.541,85.0,4.209,85.0,3.465,85.0,2.492,85.0,3.092
M,270.0,De Cordova-Reid,55,55,Fulham,75.0,3.256,75.0,3.192,75.0,3.462,75.0,3.286,75.0,3.74,75.0,3.164,75.0,3.761,75.0,3.496,75.0,3.143,75.0,3.821,75.0,3.644,75.0,3.287
G,597.0,Onana,49,49,Man Utd,89.0,3.798,89.0,2.634,89.0,3.434,89.0,4.552,89.0,3.394,89.0,2.734,89.0,3.233,89.0,4.227,89.0,2.698,89.0,3.365,89.0,3.334,89.0,3.545
M,429.0,Tonali,54,54,Newcastle,70.0,3.482,70.0,3.49,70.0,3.18,70.0,3.5,70.0,3.234,70.0,3.359,70.0,3.393,70.0,3.191,70.0,3.566,70.0,3.729,70.0,3.721,70.0,3.097
F,293.0,Darwin,74,74,Liverpool,55.0,3.313,55.0,3.563,55.0,4.354,55.0,3.127,55.0,2.879,55.0,3.32,55.0,4.387,55.0,3.133,55.0,3.151,55.0,2.965,55.0,3.806,55.0,2.932
M,199.0,Enzo,49,49,Chelsea,85.0,3.233,85.0,3.414,85.0,3.21,85.0,3.052,85.0,3.064,85.0,3.277,85.0,3.256,85.0,3.453,85.0,3.982,85.0,3.659,85.0,3.523,85.0,3.725
M,406.0,Bruno Guimarães,58,58,Newcastle,85.0,3.516,85.0,3.532,85.0,3.121,85.0,3.543,85.0,3.154,85.0,3.357,85.0,3.371,85.0,3.082,85.0,3.64,85.0,3.602,85.0,3.833,85.0,2.982
D,42.0,Digne,46,46,Aston Villa,75.0,3.513,75.0,4.669,75.0,3.509,75.0,3.668,75.0,2.685,75.0,3.566,75.0,1.989,75.0,2.58,75.0,2.679,75.0,4.633,75.0,2.741,75.0,4.435
G,482.0,Foderingham,45,45,Sheffield Utd,89.0,3.426,89.0,2.824,89.0,3.964,89.0,2.932,89.0,4.072,89.0,3.783,89.0,3.095,89.0,3.391,89.0,2.905,89.0,3.031,89.0,4.494,89.0,2.608
M,539.0,Paquetá,60,60,West Ham,86.0,3.108,86.0,3.619,86.0,3.129,86.0,3.771,86.0,3.633,86.0,3.396,86.0,3.094,86.0,3.491,86.0,3.758,86.0,3.275,86.0,2.907,86.0,3.105
M,376.0,Casemiro,54,54,Man Utd,82.0,3.593,82.0,2.993,82.0,3.406,82.0,3.754,82.0,3.351,82.0,3.029,82.0,3.22,82.0,3.682,82.0,3.05,82.0,3.299,82.0,3.278,82.0,3.534
D,342.0,Aké,51,51,Man City,63.0,3.255,63.0,3.196,63.0,4.466,63.0,3.001,63.0,3.145,63.0,3.601,63.0,3.102,63.0,3.995,63.0,3.971,0.0,0.0,63.0,3.614,63.0,4.753
F,246.0,Calvert-Lewin,58,58,Everton,72.0,3.148,72.0,3.287,72.0,3.208,72.0,3.232,72.0,3.315,72.0,3.717,72.0,3.156,72.0,3.249,72.0,3.7,72.0,3.238,72.0,3.123,72.0,3.675
D,48.0,Konsa,45,45,Aston Villa,77.0,3.421,77.0,4.543,77.0,3.376,77.0,3.561,77.0,2.678,77.0,3.426,77.0,2.018,77.0,2.586,77.0,2.652,77.0,4.508,77.0,2.687,77.0,4.307
D,228.0,Guéhi,45,45,Crystal Palace,85.0,2.456,85.0,3.228,85.0,3.973,85.0,3.863,85.0,4.014,85.0,3.338,85.0,4.444,85.0,2.875,85.0,2.119,85.0,3.007,85.0,2.8,85.0,3.387
M,86.0,Tavernier,54,54,Bournemouth,72.0,3.512,72.0,3.58,72.0,2.801,72.0,2.996,72.0,3.556,72.0,3.166,72.0,3.181,72.0,3.044,72.0,3.731,72.0,3.354,72.0,3.408,72.0,3.046
D,265.0,Tarkowski,45,45,Everton,82.0,2.5,82.0,3.391,82.0,3.122,82.0,3.514,82.0,3.609,82.0,3.851,82.0,2.853,82.0,3.198,82.0,4.138,82.0,3.059,82.0,2.357,82.0,3.767
M,540.0,Rice,54,54,Arsenal,85.0,2.951,85.0,3.767,85.0,2.906,85.0,3.714,85.0,3.078,85.0,3.595,85.0,3.474,85.0,3.07,85.0,3.066,85.0,2.929,85.0,3.34,85.0,3.353
F,33.0,Archer,45,45,Sheffield Utd,78.0,3.326,78.0,3.177,78.0,3.504,78.0,2.981,78.0,3.49,78.0,3.472,78.0,3.12,78.0,3.263,78.0,3.078,78.0,3.207,78.0,3.485,78.0,2.991
D,217.0,Thiago Silva,50,50,Chelsea,87.0,2.814,87.0,3.415,87.0,2.872,87.0,2.205,87.0,2.373,87.0,2.949,87.0,2.937,87.0,3.383,87.0,4.805,87.0,3.591,87.0,3.696,87.0,3.875
D,377.0,Dalot,49,49,Man Utd,82.0,3.759,82.0,2.14,82.0,3.296,82.0,4.587,82.0,3.293,82.0,2.366,82.0,3.009,82.0,4.257,82.0,2.39,82.0,3.122,82.0,3.181,82.0,3.516
M,416.0,Joelinton,58,58,Newcastle,75.0,3.303,75.0,3.341,75.0,3.016,75.0,3.355,75.0,3.077,75.0,3.219,75.0,3.23,75.0,3.017,75.0,3.421,75.0,3.466,75.0,3.556,75.0,2.908
