Pos,ID,Name,BV,SV,Team,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts
M,308.0,Salah,132,132,Liverpool,85.0,6.162,85.0,7.46,85.0,6.166,85.0,7.121,85.0,6.795,85.0,5.81,85.0,7.774,85.0,6.406,85.0,8.889,85.0,7.248,85.0,5.793,85.0,6.794
M,19.0,Saka,90,90,Arsenal,85.0,4.268,85.0,5.425,85.0,5.198,85.0,5.416,85.0,5.386,85.0,4.461,85.0,5.206,85.0,5.497,85.0,4.465,85.0,5.666,85.0,5.047,85.0,4.96
F,355.0,Haaland,139,139,Man City,0.0,0.0,20.0,2.009,70.0,7.316,96.0,4.825,96.0,7.071,96.0,5.429,96.0,6.004,96.0,5.638,96.0,6.149,96.0,5.86,96.0,4.851,96.0,5.439
D,290.0,Alexander-Arnold,82,82,Liverpool,85.0,4.228,85.0,5.375,85.0,4.223,85.0,4.973,85.0,4.794,85.0,3.723,85.0,6.527,85.0,4.277,85.0,6.814,85.0,5.336,85.0,3.49,85.0,4.852
M,43.0,Douglas Luiz,55,55,Aston Villa,84.0,5.563,84.0,4.245,84.0,5.31,84.0,4.525,84.0,4.089,84.0,5.221,84.0,4.575,84.0,4.634,84.0,5.172,84.0,5.169,84.0,4.602,84.0,4.663
M,373.0,Fernandes,82,82,Man Utd,88.0,4.735,88.0,4.317,88.0,4.999,88.0,4.765,88.0,4.977,88.0,5.057,88.0,4.164,88.0,5.161,88.0,5.039,88.0,3.925,88.0,4.925,88.0,5.649
D,430.0,Trippier,69,69,Newcastle,85.0,5.402,85.0,6.129,85.0,3.54,85.0,3.36,85.0,3.731,85.0,6.446,85.0,5.108,85.0,5.547,85.0,3.577,85.0,5.794,85.0,3.991,85.0,4.74
F,60.0,Watkins,87,87,Aston Villa,89.0,5.485,89.0,4.394,89.0,4.813,89.0,4.566,89.0,4.054,89.0,5.436,89.0,4.472,89.0,4.702,89.0,4.754,89.0,5.386,89.0,4.489,89.0,4.664
M,526.0,Bowen,78,78,West Ham,85.0,4.696,85.0,4.036,85.0,4.584,85.0,6.022,85.0,5.053,85.0,4.583,85.0,4.141,85.0,5.107,85.0,4.59,85.0,4.793,85.0,5.323,85.0,4.164
M,14.0,Ødegaard,84,84,Arsenal,80.0,4.12,80.0,5.024,80.0,4.863,80.0,5.017,80.0,5.036,80.0,4.261,80.0,4.839,80.0,5.091,80.0,4.268,80.0,5.212,80.0,4.657,80.0,4.575
M,509.0,Richarlison,67,67,Spurs,75.0,4.659,75.0,4.277,75.0,4.818,75.0,4.789,75.0,4.877,75.0,5.006,75.0,4.87,75.0,4.721,75.0,4.267,75.0,4.76,75.0,3.974,75.0,4.664
M,236.0,Olise,58,58,Crystal Palace,70.0,4.46,70.0,4.298,70.0,4.474,70.0,4.143,70.0,5.441,70.0,4.319,70.0,4.445,70.0,4.461,70.0,5.032,70.0,4.436,70.0,5.404,70.0,4.329
M,362.0,Palmer,56,56,Chelsea,75.0,4.712,75.0,4.719,75.0,5.363,75.0,4.711,75.0,4.048,75.0,4.924,75.0,4.503,75.0,3.866,75.0,4.511,75.0,4.242,75.0,4.168,75.0,4.03
M,134.0,Groß,64,64,Brighton,75.0,4.359,75.0,4.3,75.0,4.368,75.0,4.71,75.0,4.851,75.0,4.506,75.0,4.158,75.0,4.895,75.0,4.417,75.0,4.388,75.0,4.799,75.0,3.583
M,12.0,Martinelli,77,77,Arsenal,78.0,3.825,78.0,4.696,78.0,4.53,78.0,4.684,78.0,4.699,78.0,3.941,78.0,4.521,78.0,4.73,78.0,3.955,78.0,4.766,78.0,4.389,78.0,4.349
D,313.0,Van Dijk,62,62,Liverpool,85.0,3.666,85.0,4.94,85.0,3.627,85.0,4.576,85.0,4.393,85.0,3.245,85.0,6.008,85.0,3.928,85.0,6.265,85.0,4.888,85.0,3.01,85.0,4.431
M,392.0,McTominay,49,49,Man Utd,75.0,4.296,75.0,3.781,75.0,4.443,75.0,4.188,75.0,4.416,75.0,4.398,75.0,3.701,75.0,5.422,75.0,4.444,75.0,3.54,75.0,4.295,75.0,5.636
M,353.0,Foden,76,76,Man City,0.0,0.0,72.0,4.744,72.0,5.443,72.0,4.245,72.0,5.281,72.0,4.497,72.0,4.894,72.0,4.607,72.0,4.868,72.0,4.742,72.0,4.243,72.0,4.483
M,557.0,Hwang,58,58,Wolves,80.0,4.07,80.0,3.996,80.0,4.404,80.0,3.994,80.0,4.174,80.0,3.945,80.0,4.132,80.0,4.057,80.0,5.9,80.0,3.742,80.0,4.53,80.0,4.644
M,309.0,Szoboszlai,71,71,Liverpool,84.0,3.939,84.0,4.631,84.0,3.925,84.0,4.452,84.0,4.185,84.0,3.824,84.0,4.88,84.0,4.048,84.0,4.929,84.0,4.594,84.0,3.736,84.0,4.308
M,303.0,Luis Díaz,74,74,Liverpool,73.0,3.98,73.0,4.493,73.0,4.019,73.0,4.347,73.0,4.175,73.0,3.892,73.0,4.716,73.0,4.064,73.0,4.851,73.0,4.484,73.0,3.833,73.0,4.283
G,291.0,Alisson,56,56,Liverpool,90.0,3.805,90.0,4.55,90.0,3.709,90.0,4.241,90.0,4.132,90.0,3.472,90.0,5.563,90.0,3.851,90.0,5.808,90.0,4.485,90.0,3.236,90.0,4.17
D,286.0,Tosin,43,43,Fulham,76.0,5.266,76.0,4.331,76.0,3.475,76.0,3.513,76.0,4.6,76.0,4.674,76.0,4.766,76.0,3.619,76.0,3.821,76.0,3.952,76.0,4.495,76.0,4.343
D,311.0,Tsimikas,49,49,Liverpool,75.0,3.525,75.0,4.707,75.0,3.524,75.0,4.348,75.0,4.053,75.0,3.143,75.0,5.722,75.0,3.656,75.0,5.99,75.0,4.649,75.0,2.892,75.0,4.184
M,689.0,Kudus,67,67,West Ham,75.0,4.141,75.0,3.75,75.0,4.052,75.0,4.612,75.0,4.371,75.0,3.999,75.0,3.885,75.0,4.394,75.0,4.057,75.0,4.102,75.0,4.632,75.0,3.882
G,49.0,Martínez,51,51,Aston Villa,89.0,5.234,89.0,3.592,89.0,4.918,89.0,3.694,89.0,3.294,89.0,4.304,89.0,4.053,89.0,3.846,89.0,4.859,89.0,4.236,89.0,3.928,89.0,3.798
F,8.0,Jesus,80,80,Arsenal,75.0,3.751,75.0,4.254,75.0,4.291,75.0,4.3,75.0,4.363,75.0,3.769,75.0,4.241,75.0,4.423,75.0,3.769,75.0,4.475,75.0,4.039,75.0,4.013
M,501.0,Kulusevski,72,72,Spurs,78.0,4.181,78.0,3.827,78.0,4.308,78.0,3.935,78.0,3.949,78.0,4.048,78.0,3.942,78.0,4.486,78.0,3.808,78.0,4.309,78.0,3.664,78.0,4.2
M,382.0,Garnacho,48,48,Man Utd,74.0,4.084,74.0,3.644,74.0,4.242,74.0,4.145,74.0,4.206,74.0,4.186,74.0,3.564,74.0,4.335,74.0,4.19,74.0,3.324,74.0,4.14,74.0,4.509
M,412.0,Gordon,62,62,Newcastle,59.0,3.506,70.0,4.337,75.0,3.483,75.0,3.394,75.0,3.525,75.0,5.461,75.0,4.392,75.0,4.366,75.0,3.506,75.0,4.519,75.0,3.82,75.0,4.228
F,590.0,Cunha,57,57,Wolves,78.0,3.988,78.0,3.844,78.0,4.074,78.0,3.853,78.0,4.078,78.0,3.923,78.0,3.912,78.0,4.024,78.0,4.424,78.0,3.544,78.0,4.271,78.0,4.311
G,275.0,Leno,48,48,Fulham,89.0,4.806,89.0,3.958,89.0,3.545,89.0,3.48,89.0,4.179,89.0,4.298,89.0,4.288,89.0,3.627,89.0,3.806,89.0,3.872,89.0,4.169,89.0,4.017
G,409.0,Dubravka,42,42,Newcastle,89.0,4.413,89.0,5.018,89.0,3.139,89.0,3.01,89.0,3.348,89.0,5.324,89.0,4.14,89.0,4.48,89.0,3.178,89.0,4.666,89.0,3.443,89.0,3.85
M,216.0,Sterling,71,71,Chelsea,70.0,4.251,70.0,4.209,70.0,4.458,70.0,4.22,70.0,3.63,70.0,4.389,70.0,4.104,70.0,3.478,70.0,4.107,70.0,3.809,70.0,3.721,70.0,3.611
M,516.0,Son,98,98,Spurs,84.0,6.146,84.0,5.599,84.0,6.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6.574,84.0,5.526,84.0,6.246,84.0,5.253,84.0,6.066
M,539.0,Paquetá,60,60,West Ham,84.0,3.884,84.0,3.519,84.0,3.859,84.0,4.314,84.0,4.351,84.0,3.752,84.0,3.653,84.0,4.136,84.0,3.865,84.0,3.919,84.0,4.54,84.0,3.646
D,42.0,Digne,47,47,Aston Villa,78.0,5.134,78.0,3.137,78.0,4.802,78.0,3.514,78.0,2.928,78.0,4.15,78.0,3.718,78.0,3.58,78.0,4.791,78.0,4.107,78.0,3.929,78.0,3.571
F,85.0,Solanke,68,68,Bournemouth,88.0,4.136,88.0,4.007,88.0,3.628,88.0,3.433,88.0,3.928,88.0,4.288,88.0,3.928,88.0,3.325,88.0,3.354,88.0,4.237,88.0,4.903,88.0,4.131
F,343.0,Álvarez,69,69,Man City,0.0,0.0,75.0,4.612,75.0,4.738,75.0,3.877,75.0,4.461,75.0,4.044,75.0,4.203,75.0,4.038,75.0,4.286,75.0,4.157,75.0,3.876,75.0,4.053
M,50.0,McGinn,55,55,Aston Villa,83.0,4.258,83.0,3.608,83.0,4.18,83.0,3.645,83.0,3.454,83.0,4.017,83.0,3.767,83.0,3.807,83.0,4.142,83.0,3.966,83.0,3.714,83.0,3.754
D,20.0,Saliba,55,55,Arsenal,88.0,2.738,88.0,4.508,88.0,3.856,88.0,4.43,88.0,4.182,88.0,3.131,88.0,3.848,88.0,4.212,88.0,3.186,88.0,4.481,88.0,3.967,88.0,3.738
D,511.0,Romero,49,49,Spurs,86.0,4.255,86.0,3.347,86.0,4.432,86.0,3.599,86.0,3.803,86.0,3.812,86.0,3.718,86.0,4.678,86.0,3.261,86.0,4.301,86.0,3.042,86.0,3.936
D,519.0,Udogie,48,48,Spurs,85.0,4.303,85.0,3.311,85.0,4.512,85.0,3.594,85.0,3.781,85.0,3.847,85.0,3.696,85.0,4.744,85.0,3.265,85.0,4.342,85.0,2.816,85.0,3.963
D,29.0,White,56,56,Arsenal,75.0,2.76,75.0,4.433,75.0,3.855,75.0,4.404,75.0,4.179,75.0,3.126,75.0,3.808,75.0,4.225,75.0,3.173,75.0,4.489,75.0,3.91,75.0,3.673
M,249.0,A.Doucouré,56,56,Everton,85.0,3.862,85.0,3.407,85.0,4.221,85.0,3.566,85.0,4.097,85.0,3.984,85.0,3.316,85.0,4.214,85.0,3.773,85.0,4.193,85.0,3.866,85.0,3.534
D,31.0,Zinchenko,52,52,Arsenal,70.0,2.844,70.0,4.379,70.0,3.849,70.0,4.358,70.0,4.158,70.0,3.185,70.0,3.8,70.0,4.182,70.0,3.228,70.0,4.444,70.0,3.911,70.0,3.688
D,506.0,Pedro Porro,55,55,Spurs,85.0,4.269,85.0,3.262,85.0,4.478,85.0,3.528,85.0,3.734,85.0,3.811,85.0,3.649,85.0,4.786,85.0,3.193,85.0,4.343,85.0,2.929,85.0,3.961
M,226.0,Eze,60,60,Crystal Palace,80.0,3.66,80.0,3.529,80.0,3.676,80.0,3.401,80.0,4.522,80.0,3.542,80.0,3.656,80.0,3.745,80.0,4.303,80.0,3.771,80.0,4.503,80.0,3.554
M,86.0,Tavernier,54,54,Bournemouth,75.0,4.036,75.0,3.985,75.0,3.75,75.0,3.304,75.0,3.876,75.0,4.164,75.0,3.877,75.0,3.241,75.0,3.148,75.0,4.068,75.0,4.358,75.0,4.004
G,533.0,Fabianski,42,42,West Ham,89.0,3.933,89.0,3.184,89.0,3.7,89.0,4.202,89.0,4.144,89.0,3.653,89.0,3.374,89.0,3.995,89.0,3.781,89.0,3.708,89.0,4.598,89.0,3.497
