Pos,ID,Name,BV,SV,Team,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts
M,308.0,Salah,131,131,Liverpool,83.0,7.419,83.0,6.945,83.0,6.11,83.0,7.297,83.0,5.988,83.0,7.191,83.0,6.684,83.0,5.814,83.0,7.574,83.0,6.311,83.0,8.832,83.0,7.277
M,516.0,Son,96,96,Spurs,77.0,5.436,77.0,6.525,77.0,6.347,77.0,5.741,77.0,6.793,77.0,5.796,77.0,5.755,77.0,6.11,77.0,5.885,77.0,6.732,77.0,5.684,77.0,6.641
F,355.0,Haaland,140,140,Man City,96.0,7.389,96.0,6.4,0.0,0.0,96.0,5.617,96.0,8.419,96.0,4.648,96.0,6.736,96.0,5.042,96.0,5.807,96.0,5.328,96.0,6.114,96.0,5.713
M,362.0,Palmer,54,54,Chelsea,77.0,5.154,77.0,6.123,77.0,5.382,77.0,5.768,77.0,5.967,77.0,5.448,77.0,4.651,77.0,5.637,77.0,5.463,77.0,4.385,77.0,5.387,77.0,4.764
M,19.0,Saka,89,89,Arsenal,85.0,4.649,85.0,5.141,85.0,4.564,85.0,5.431,85.0,5.293,85.0,5.737,85.0,5.491,85.0,4.772,85.0,5.209,85.0,5.503,85.0,4.684,85.0,5.851
D,430.0,Trippier,70,70,Newcastle,80.0,4.448,80.0,5.559,80.0,5.419,80.0,6.255,80.0,3.58,80.0,3.375,80.0,3.769,80.0,6.628,80.0,5.101,80.0,5.998,80.0,3.65,80.0,5.923
D,290.0,Alexander-Arnold,80,80,Liverpool,85.0,4.919,85.0,5.014,85.0,4.165,85.0,5.258,85.0,4.024,85.0,4.992,85.0,4.633,85.0,3.73,85.0,6.328,85.0,3.962,85.0,6.682,85.0,5.269
M,526.0,Bowen,76,76,West Ham,85.0,4.992,85.0,5.292,85.0,4.732,85.0,4.119,85.0,4.642,85.0,6.114,85.0,5.109,85.0,4.615,85.0,4.228,85.0,5.178,85.0,4.504,85.0,4.844
M,373.0,Fernandes,83,83,Man Utd,88.0,5.277,88.0,4.281,88.0,4.744,88.0,4.45,88.0,5.122,88.0,4.908,88.0,5.078,88.0,5.075,88.0,4.294,88.0,5.265,88.0,5.179,88.0,4.05
F,60.0,Watkins,84,84,Aston Villa,86.0,4.21,86.0,4.266,86.0,5.418,86.0,4.453,86.0,4.718,86.0,4.616,86.0,4.077,86.0,5.374,86.0,4.522,86.0,4.747,86.0,4.713,86.0,5.319
M,412.0,Gordon,61,61,Newcastle,80.0,4.385,80.0,4.897,80.0,5.78,80.0,5.118,80.0,3.759,80.0,3.688,80.0,3.934,80.0,6.053,80.0,4.856,80.0,4.905,80.0,3.879,80.0,5.048
M,689.0,Kudus,66,66,West Ham,75.0,4.737,75.0,4.971,75.0,4.486,75.0,4.005,75.0,4.421,75.0,5.95,75.0,4.858,75.0,4.4,75.0,4.083,75.0,4.888,75.0,4.315,75.0,4.609
M,14.0,Ødegaard,83,83,Arsenal,80.0,4.109,80.0,4.554,80.0,4.031,80.0,4.851,80.0,4.747,80.0,5.039,80.0,4.916,80.0,4.202,80.0,4.655,80.0,4.926,80.0,4.146,80.0,5.143
M,557.0,Hwang,57,57,Wolves,80.0,5.149,80.0,4.662,80.0,4.427,80.0,4.229,80.0,4.792,80.0,4.361,80.0,4.558,80.0,4.301,80.0,4.364,80.0,4.39,80.0,6.202,80.0,3.874
M,353.0,Foden,75,75,Man City,70.0,5.201,70.0,5.109,0.0,0.0,70.0,4.831,70.0,6.181,70.0,4.263,70.0,5.309,70.0,4.509,70.0,4.99,70.0,4.657,70.0,4.931,70.0,4.786
M,303.0,Luis Díaz,74,74,Liverpool,73.0,4.506,73.0,4.436,73.0,4.124,73.0,4.672,73.0,4.109,73.0,4.548,73.0,4.345,73.0,4.026,73.0,4.901,73.0,4.211,73.0,5.042,73.0,4.658
M,216.0,Sterling,70,70,Chelsea,73.0,4.379,73.0,5.03,73.0,4.613,73.0,4.628,73.0,4.809,73.0,4.593,73.0,3.892,73.0,4.754,73.0,4.512,73.0,3.722,73.0,4.401,73.0,4.089
M,43.0,Douglas Luiz,56,56,Aston Villa,85.0,3.952,85.0,3.664,85.0,5.13,85.0,3.861,85.0,4.714,85.0,4.111,85.0,3.821,85.0,4.802,85.0,4.18,85.0,4.221,85.0,4.715,85.0,4.738
D,313.0,Van Dijk,61,61,Liverpool,85.0,4.281,85.0,4.454,85.0,3.624,85.0,4.57,85.0,3.478,85.0,4.333,85.0,4.041,85.0,3.183,85.0,5.643,85.0,3.363,85.0,5.977,85.0,4.57
M,134.0,Groß,63,63,Brighton,75.0,4.488,75.0,3.582,75.0,4.19,75.0,4.014,75.0,3.989,75.0,4.383,75.0,4.595,75.0,4.361,75.0,3.846,75.0,4.652,75.0,4.135,75.0,4.088
M,309.0,Szoboszlai,71,71,Liverpool,84.0,4.265,84.0,4.188,84.0,3.865,84.0,4.431,84.0,3.76,84.0,4.297,84.0,4.004,84.0,3.74,84.0,4.694,84.0,3.787,84.0,4.769,84.0,4.416
