Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts
M,6.0,Havertz,73,73,Arsenal,75.0,3.911,75.0,4.16,75.0,4.132,75.0,4.259,75.0,3.402,75.0,3.942,75.0,4.617,75.0,3.467
M,140.0,March,66,66,Brighton,80.0,3.669,80.0,3.841,80.0,4.55,80.0,3.926,80.0,3.726,80.0,3.391,80.0,4.397,80.0,4.247
M,509.0,Richarlison,69,69,Spurs,77.0,4.214,77.0,4.39,77.0,3.304,77.0,3.435,77.0,4.243,77.0,4.173,77.0,3.793,77.0,3.897
D,197.0,Colwill,45,45,Chelsea,84.0,4.756,84.0,4.117,84.0,3.742,84.0,3.906,84.0,4.313,84.0,3.114,84.0,3.678,84.0,3.674
M,501.0,Kulusevski,70,70,Spurs,77.0,4.158,77.0,4.354,77.0,3.378,77.0,3.498,77.0,4.213,77.0,4.09,77.0,3.732,77.0,3.831
F,437.0,Awoniyi,65,65,Nott'm Forest,75.0,3.822,75.0,4.175,75.0,3.333,75.0,3.848,75.0,3.825,75.0,4.94,75.0,3.404,75.0,3.9
F,119.0,Wissa,62,62,Brentford,75.0,4.054,75.0,3.405,75.0,3.98,75.0,4.048,75.0,3.631,75.0,4.09,75.0,3.774,75.0,3.935
D,131.0,Estupiñán,53,53,Brighton,80.0,3.393,80.0,3.408,80.0,5.281,80.0,3.614,80.0,3.44,80.0,2.51,80.0,4.885,80.0,4.383
M,267.0,Andreas,55,55,Fulham,80.0,3.379,80.0,4.403,80.0,3.741,80.0,3.842,80.0,4.387,80.0,3.865,80.0,3.544,80.0,3.731
M,447.0,Gibbs-White,59,59,Nott'm Forest,80.0,3.741,80.0,4.398,80.0,3.331,80.0,3.806,80.0,3.734,80.0,4.491,80.0,3.521,80.0,3.826
M,402.0,Almirón,64,64,Newcastle,75.0,3.369,75.0,3.772,75.0,4.16,75.0,4.263,75.0,3.824,75.0,3.847,75.0,3.993,75.0,3.44
D,42.0,Digne,45,45,Aston Villa,78.0,2.703,78.0,3.848,78.0,3.387,78.0,3.247,78.0,4.098,78.0,4.098,78.0,5.129,78.0,4.104
G,49.0,Martínez,50,50,Aston Villa,89.0,3.019,89.0,3.891,89.0,3.525,89.0,3.422,89.0,3.926,89.0,4.031,89.0,4.866,89.0,3.932
D,427.0,Schär,50,50,Newcastle,85.0,2.785,85.0,3.658,85.0,4.31,85.0,5.192,85.0,3.584,85.0,4.014,85.0,3.956,85.0,3.051
M,539.0,Paquetá,60,60,West Ham,86.0,4.217,86.0,3.361,86.0,3.414,86.0,4.386,86.0,3.494,86.0,3.698,86.0,4.197,86.0,3.686
D,112.0,Pinnock,45,45,Brentford,85.0,4.494,85.0,2.667,85.0,4.329,85.0,3.882,85.0,3.032,85.0,4.737,85.0,3.26,85.0,3.925
G,101.0,Flekken,45,45,Brentford,89.0,4.267,89.0,2.84,89.0,4.197,89.0,3.761,89.0,3.13,89.0,4.505,89.0,3.345,89.0,3.865
M,379.0,Eriksen,59,59,Man Utd,73.0,3.408,73.0,3.527,73.0,4.073,73.0,3.797,73.0,3.715,73.0,4.187,73.0,3.316,73.0,3.888
F,85.0,Solanke,65,65,Bournemouth,85.0,3.686,85.0,3.804,85.0,3.375,85.0,3.466,85.0,3.951,85.0,4.075,85.0,4.158,85.0,3.311
D,29.0,White,55,55,Arsenal,84.0,3.644,84.0,3.909,84.0,4.199,84.0,4.041,84.0,2.477,84.0,3.376,84.0,5.329,84.0,2.711
G,145.0,Sánchez,45,45,Chelsea,89.0,4.274,89.0,3.762,89.0,3.592,89.0,3.722,89.0,3.888,89.0,3.138,89.0,3.572,89.0,3.505
D,20.0,Saliba,52,52,Arsenal,82.0,3.551,82.0,3.887,82.0,4.142,82.0,4.016,82.0,2.403,82.0,3.401,82.0,5.314,82.0,2.634
M,605.0,Koleosho,50,50,Burnley,65.0,3.576,65.0,4.023,65.0,3.463,65.0,3.316,65.0,3.611,65.0,3.541,65.0,4.018,65.0,3.555
D,407.0,Burn,45,45,Newcastle,82.0,2.661,82.0,3.472,82.0,4.075,82.0,4.949,82.0,3.392,82.0,3.827,82.0,3.721,82.0,2.922
M,304.0,Mac Allister,60,60,Liverpool,72.0,3.505,72.0,3.657,72.0,3.667,72.0,3.443,72.0,3.191,72.0,3.775,72.0,3.887,72.0,3.853
M,429.0,Tonali,55,55,Newcastle,79.0,3.177,79.0,3.53,79.0,3.848,79.0,4.055,79.0,3.591,79.0,3.611,79.0,3.763,79.0,3.267
M,43.0,Douglas Luiz,55,55,Aston Villa,80.0,3.212,80.0,3.553,80.0,3.329,80.0,3.397,80.0,3.759,80.0,3.7,80.0,4.14,80.0,3.753
D,203.0,Gusto,41,41,Chelsea,74.0,4.357,74.0,3.809,74.0,3.392,74.0,3.596,74.0,3.956,74.0,2.917,74.0,3.376,74.0,3.406
G,275.0,Leno,45,45,Fulham,89.0,2.593,89.0,4.542,89.0,3.389,89.0,3.674,89.0,4.461,89.0,3.554,89.0,3.02,89.0,3.439
G,520.0,Vicario,50,50,Spurs,89.0,3.753,89.0,4.348,89.0,2.741,89.0,3.009,89.0,3.826,89.0,4.006,89.0,3.289,89.0,3.573
F,293.0,Darwin,73,73,Liverpool,65.0,3.391,65.0,3.599,65.0,3.502,65.0,3.431,65.0,3.214,65.0,3.58,65.0,3.599,65.0,4.201
M,450.0,Johnson,59,59,Nott'm Forest,77.0,3.5,77.0,4.015,77.0,3.055,77.0,3.505,77.0,3.51,77.0,4.073,77.0,3.181,77.0,3.562
M,406.0,Bruno Guimarães,59,59,Newcastle,85.0,3.059,85.0,3.448,85.0,3.807,85.0,4.014,85.0,3.548,85.0,3.526,85.0,3.729,85.0,3.154
M,249.0,A.Doucouré,55,55,Everton,83.0,3.765,83.0,3.238,83.0,3.361,83.0,3.94,83.0,3.832,83.0,3.151,83.0,3.54,83.0,3.264
M,259.0,McNeil,54,54,Everton,75.0,3.817,75.0,3.26,75.0,3.336,75.0,3.97,75.0,3.732,75.0,3.2,75.0,3.453,75.0,3.292
G,263.0,Pickford,45,45,Everton,89.0,3.843,89.0,3.037,89.0,3.16,89.0,4.489,89.0,4.071,89.0,2.848,89.0,3.45,89.0,3.146
F,558.0,Jiménez,54,54,Fulham,75.0,3.086,75.0,3.886,75.0,3.533,75.0,3.56,75.0,3.886,75.0,3.553,75.0,3.131,75.0,3.36
D,103.0,Henry,46,46,Brentford,79.0,4.187,79.0,2.431,79.0,4.02,79.0,3.573,79.0,2.763,79.0,4.416,79.0,2.967,79.0,3.619
M,525.0,Benrahma,59,59,West Ham,65.0,3.949,65.0,3.041,65.0,3.181,65.0,4.066,65.0,3.177,65.0,3.351,65.0,3.77,65.0,3.345
M,344.0,Bernardo,64,64,Man City,68.0,3.711,68.0,3.49,68.0,3.833,68.0,3.629,68.0,3.049,68.0,3.186,68.0,3.17,68.0,3.802
D,584.0,Pau,45,45,Aston Villa,78.0,2.458,78.0,3.538,78.0,3.083,78.0,2.984,78.0,3.678,78.0,3.728,78.0,4.712,78.0,3.684
M,288.0,Wilson,54,54,Fulham,74.0,3.034,74.0,3.959,74.0,3.405,74.0,3.486,74.0,3.943,74.0,3.46,74.0,3.175,74.0,3.363
M,365.0,Rodri,57,57,Man City,84.0,3.734,84.0,3.436,84.0,3.869,84.0,3.599,84.0,2.989,84.0,3.168,84.0,3.116,84.0,3.829
F,523.0,Antonio,60,60,West Ham,75.0,3.798,75.0,3.125,75.0,3.169,75.0,3.817,75.0,3.183,75.0,3.486,75.0,3.672,75.0,3.485
G,597.0,Onana,50,50,Man Utd,89.0,2.83,89.0,3.256,89.0,3.894,89.0,3.707,89.0,3.538,89.0,3.973,89.0,2.736,89.0,3.727
G,524.0,Areola,41,41,West Ham,89.0,3.916,89.0,2.796,89.0,2.949,89.0,4.449,89.0,3.078,89.0,3.176,89.0,4.072,89.0,3.135
D,217.0,Thiago Silva,50,50,Chelsea,87.0,4.181,87.0,3.567,87.0,3.244,87.0,3.376,87.0,3.737,87.0,2.697,87.0,3.229,87.0,3.176
M,376.0,Casemiro,54,54,Man Utd,82.0,3.032,82.0,3.174,82.0,3.737,82.0,3.472,82.0,3.43,82.0,3.76,82.0,2.98,82.0,3.579
M,416.0,Joelinton,59,59,Newcastle,75.0,3.038,75.0,3.294,75.0,3.682,75.0,3.789,75.0,3.34,75.0,3.369,75.0,3.504,75.0,3.113
M,603.0,Barnes,65,65,Newcastle,62.0,2.893,62.0,3.158,62.0,4.375,62.0,3.678,62.0,3.262,62.0,3.201,62.0,3.504,62.0,2.931
D,341.0,Akanji,51,51,Man City,65.0,3.951,65.0,3.228,65.0,4.217,65.0,3.415,65.0,2.417,65.0,2.909,65.0,2.724,65.0,4.138
M,664.0,Ward-Prowse,60,60,West Ham,80.0,3.715,80.0,2.961,80.0,3.033,80.0,3.869,80.0,3.107,80.0,3.257,80.0,3.721,80.0,3.247
M,412.0,Gordon,55,55,Newcastle,69.0,2.986,69.0,3.296,69.0,3.645,69.0,3.729,69.0,3.331,69.0,3.361,69.0,3.488,69.0,3.054
G,77.0,Neto,45,45,Bournemouth,89.0,3.109,89.0,3.553,89.0,2.94,89.0,2.977,89.0,3.527,89.0,3.993,89.0,4.256,89.0,2.508
M,202.0,Gallagher,55,55,Chelsea,77.0,3.646,77.0,3.49,77.0,3.244,77.0,3.389,77.0,3.536,77.0,2.967,77.0,3.239,77.0,3.247
G,569.0,Sá,50,50,Wolves,89.0,3.257,89.0,3.027,89.0,3.948,89.0,2.716,89.0,3.379,89.0,3.572,89.0,3.011,89.0,3.794
G,17.0,Ramsdale,50,50,Arsenal,65.0,3.241,65.0,3.401,65.0,3.573,65.0,3.468,65.0,2.623,65.0,3.182,65.0,4.299,65.0,2.759
M,221.0,J.Ayew,55,55,Crystal Palace,77.0,3.585,77.0,3.111,77.0,3.475,77.0,2.988,77.0,3.583,77.0,2.904,77.0,3.351,77.0,3.483
D,401.0,Wan-Bissaka,46,46,Man Utd,76.0,2.524,76.0,3.061,76.0,3.92,76.0,3.612,76.0,3.438,76.0,4.006,76.0,2.315,76.0,3.559
D,96.0,Collins,45,45,Brentford,78.0,3.979,78.0,2.219,78.0,3.812,78.0,3.366,78.0,2.546,78.0,4.207,78.0,2.764,78.0,3.412
M,199.0,Enzo,50,50,Chelsea,85.0,3.605,85.0,3.45,85.0,3.171,85.0,3.269,85.0,3.455,85.0,3.046,85.0,3.153,85.0,3.139
D,342.0,Aké,51,51,Man City,63.0,3.812,63.0,3.167,63.0,4.049,63.0,3.338,63.0,2.401,63.0,2.839,63.0,2.688,63.0,3.981
D,257.0,Keane,45,45,Everton,80.0,3.813,80.0,2.666,80.0,2.828,80.0,4.543,80.0,4.07,80.0,2.279,80.0,3.213,80.0,2.832
D,220.0,Andersen,46,46,Crystal Palace,85.0,3.994,85.0,2.671,85.0,3.71,85.0,2.595,85.0,4.013,85.0,2.276,85.0,3.408,85.0,3.576
F,390.0,Martial,65,65,Man Utd,65.0,2.978,65.0,2.991,65.0,3.421,65.0,3.211,65.0,3.171,65.0,4.079,65.0,2.93,65.0,3.406
D,234.0,Mitchell,45,45,Crystal Palace,77.0,3.965,77.0,2.679,77.0,3.692,77.0,2.61,77.0,3.984,77.0,2.297,77.0,3.396,77.0,3.561
D,305.0,Matip,49,49,Liverpool,65.0,3.046,65.0,3.207,65.0,3.425,65.0,2.848,65.0,2.36,65.0,3.749,65.0,3.96,65.0,3.476
D,36.0,Cash,46,46,Aston Villa,77.0,2.293,77.0,3.288,77.0,2.839,77.0,2.812,77.0,3.434,77.0,3.476,77.0,4.46,77.0,3.439
D,242.0,Ward,45,45,Crystal Palace,77.0,3.933,77.0,2.644,77.0,3.66,77.0,2.575,77.0,3.952,77.0,2.265,77.0,3.362,77.0,3.529
