Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts
F,355.0,Haaland,141,141,Man City,86.0,7.476,86.0,7.634,86.0,5.885,86.0,6.394,86.0,6.65,86.0,7.811,86.0,6.328,86.0,6.308,86.0,7.073,86.0,6.92,86.0,8.554,86.0,6.62
M,308.0,Salah,125,125,Liverpool,85.0,6.941,85.0,6.661,85.0,5.959,85.0,7.132,85.0,7.392,85.0,8.246,85.0,6.507,85.0,5.443,85.0,7.55,85.0,8.424,85.0,6.255,85.0,6.692
M,516.0,Son,91,91,Spurs,79.0,5.385,79.0,5.526,79.0,7.988,79.0,6.756,79.0,5.831,79.0,5.879,79.0,6.495,79.0,5.992,79.0,5.126,79.0,6.241,79.0,5.541,79.0,6.569
M,19.0,Saka,87,87,Arsenal,85.0,6.005,85.0,6.586,85.0,4.968,85.0,5.444,85.0,6.953,85.0,5.17,85.0,6.637,85.0,5.522,85.0,6.658,85.0,6.453,85.0,5.675,85.0,5.324
M,108.0,Mbeumo,69,69,Brentford,83.0,5.801,83.0,5.894,83.0,5.169,83.0,7.164,83.0,5.066,83.0,5.711,83.0,4.873,83.0,5.031,83.0,7.192,83.0,4.859,83.0,7.276,83.0,5.483
M,526.0,Bowen,71,71,West Ham,78.0,4.479,78.0,6.636,78.0,4.601,78.0,4.866,78.0,5.362,78.0,4.808,78.0,5.679,78.0,6.466,78.0,5.007,78.0,5.046,78.0,5.449,78.0,5.554
F,433.0,Wilson,78,78,Newcastle,70.0,6.633,70.0,6.449,70.0,4.907,70.0,4.841,70.0,5.561,70.0,4.707,70.0,5.661,70.0,4.792,70.0,4.892,70.0,5.019,70.0,4.916,70.0,5.47
M,373.0,Fernandes,84,84,Man Utd,88.0,5.809,88.0,4.992,88.0,4.961,88.0,5.97,88.0,4.251,88.0,5.437,88.0,6.214,88.0,5.099,88.0,4.321,88.0,4.883,88.0,6.076,88.0,4.443
M,504.0,Maddison,79,79,Spurs,85.0,4.496,85.0,4.708,85.0,6.882,85.0,5.74,85.0,4.93,85.0,4.943,85.0,5.586,85.0,5.152,85.0,4.207,85.0,5.439,85.0,4.616,85.0,5.709
M,134.0,Groß,63,63,Brighton,80.0,5.584,80.0,4.722,80.0,4.723,80.0,4.22,80.0,5.447,80.0,4.896,80.0,5.759,80.0,5.211,80.0,4.569,80.0,4.848,80.0,5.644,80.0,4.497
M,226.0,Eze,63,63,Crystal Palace,85.0,5.226,85.0,4.636,85.0,5.407,85.0,4.281,85.0,5.1,85.0,5.368,85.0,5.184,85.0,5.373,85.0,4.828,85.0,5.572,85.0,4.461,85.0,4.077
M,216.0,Sterling,72,72,Chelsea,79.0,4.762,79.0,5.22,79.0,6.248,79.0,4.422,79.0,4.72,79.0,4.832,79.0,4.107,79.0,4.283,79.0,4.278,79.0,4.625,79.0,4.994,79.0,6.42
F,343.0,Álvarez,69,69,Man City,77.0,5.166,77.0,5.03,77.0,4.474,77.0,4.434,77.0,4.74,77.0,5.152,77.0,4.585,77.0,4.531,77.0,4.877,77.0,4.744,77.0,5.893,77.0,4.756
M,599.0,Diaby,66,66,Aston Villa,77.0,4.389,77.0,4.393,77.0,4.999,77.0,4.828,77.0,6.372,77.0,5.117,77.0,5.146,77.0,4.627,77.0,5.122,77.0,4.12,77.0,4.402,77.0,4.399
M,353.0,Foden,76,76,Man City,72.0,5.288,72.0,4.961,72.0,4.366,72.0,4.533,72.0,4.561,72.0,5.267,72.0,4.514,72.0,4.521,72.0,4.959,72.0,4.602,72.0,5.224,72.0,4.725
M,365.0,Rodri,57,57,Man City,85.0,5.396,85.0,4.954,85.0,4.154,85.0,4.393,85.0,4.388,85.0,5.357,85.0,4.368,85.0,4.305,85.0,4.887,85.0,4.443,85.0,6.076,85.0,4.775
F,225.0,Edouard,56,56,Crystal Palace,72.0,5.027,72.0,4.428,72.0,4.782,72.0,4.289,72.0,4.627,72.0,5.264,72.0,4.755,72.0,5.333,72.0,4.512,72.0,4.917,72.0,4.428,72.0,4.151
M,14.0,Ødegaard,85,85,Arsenal,82.0,4.681,82.0,4.984,82.0,4.089,82.0,4.334,82.0,5.353,82.0,4.242,82.0,5.332,82.0,4.334,82.0,5.042,82.0,5.127,82.0,4.392,82.0,4.226
M,140.0,March,65,65,Brighton,66.0,5.036,66.0,4.411,66.0,4.192,66.0,3.92,66.0,4.953,66.0,4.566,66.0,5.897,66.0,4.759,66.0,4.193,66.0,4.322,66.0,5.657,66.0,4.089
F,132.0,Ferguson,60,60,Brighton,57.0,4.922,57.0,4.318,57.0,3.991,57.0,4.025,57.0,4.561,57.0,4.334,57.0,5.852,57.0,4.734,57.0,4.108,57.0,4.015,57.0,5.617,57.0,3.954
F,119.0,Wissa,61,61,Brentford,75.0,4.426,75.0,4.569,75.0,4.118,75.0,5.404,75.0,4.086,75.0,4.382,75.0,3.867,75.0,4.043,75.0,5.476,75.0,4.045,75.0,5.521,75.0,4.332
M,309.0,Szoboszlai,70,70,Liverpool,78.0,4.64,78.0,4.397,78.0,4.051,78.0,4.718,78.0,5.003,78.0,4.874,78.0,4.31,78.0,3.814,78.0,4.859,78.0,4.864,78.0,4.244,78.0,4.348
M,396.0,Rashford,89,89,Man Utd,84.0,4.868,84.0,4.433,84.0,4.423,84.0,4.846,84.0,3.85,84.0,4.677,84.0,5.088,84.0,4.634,84.0,3.924,84.0,4.423,84.0,4.926,84.0,3.946
D,220.0,Andersen,46,46,Crystal Palace,85.0,5.125,85.0,3.771,85.0,5.401,85.0,3.478,85.0,4.635,85.0,4.98,85.0,5.036,85.0,5.006,85.0,4.262,85.0,5.312,85.0,3.859,85.0,2.899
F,85.0,Solanke,65,65,Bournemouth,85.0,3.963,85.0,4.129,85.0,4.325,85.0,4.597,85.0,5.444,85.0,3.832,85.0,4.117,85.0,5.233,85.0,4.247,85.0,4.193,85.0,4.127,85.0,5.444
M,34.0,Bailey,55,55,Aston Villa,67.0,4.045,67.0,4.361,67.0,4.721,67.0,4.358,67.0,5.674,67.0,4.623,67.0,4.807,67.0,4.266,67.0,4.797,67.0,3.807,67.0,3.992,67.0,4.074
G,113.0,Raya,48,48,Arsenal,75.0,4.467,75.0,4.481,75.0,3.296,75.0,3.807,75.0,5.746,75.0,3.414,75.0,5.569,75.0,3.603,75.0,5.058,75.0,4.69,75.0,3.965,75.0,4.023
D,307.0,Robertson,65,65,Liverpool,80.0,4.755,80.0,3.958,80.0,3.14,80.0,5.066,80.0,5.542,80.0,4.977,80.0,4.061,80.0,2.537,80.0,5.16,80.0,4.946,80.0,3.709,80.0,4.124
D,430.0,Trippier,65,65,Newcastle,87.0,4.708,87.0,5.742,87.0,3.817,87.0,4.187,87.0,4.168,87.0,3.415,87.0,4.302,87.0,4.156,87.0,3.912,87.0,4.04,87.0,3.799,87.0,4.964
D,131.0,Estupiñán,53,53,Brighton,70.0,5.036,70.0,3.802,70.0,3.595,70.0,2.731,70.0,4.909,70.0,4.276,70.0,5.61,70.0,4.496,70.0,3.724,70.0,4.028,70.0,5.574,70.0,3.268
D,36.0,Cash,47,47,Aston Villa,70.0,3.752,70.0,3.6,70.0,4.37,70.0,4.387,70.0,6.394,70.0,4.568,70.0,4.796,70.0,3.997,70.0,4.5,70.0,2.97,70.0,3.564,70.0,3.62
D,544.0,Zouma,45,45,West Ham,84.0,3.135,84.0,5.311,84.0,3.502,84.0,3.627,84.0,4.552,84.0,3.458,84.0,4.95,84.0,4.673,84.0,4.053,84.0,3.837,84.0,4.213,84.0,4.739
G,424.0,Pope,55,55,Newcastle,89.0,4.353,89.0,5.33,89.0,3.691,89.0,4.076,89.0,3.965,89.0,3.504,89.0,4.029,89.0,4.107,89.0,3.897,89.0,3.888,89.0,3.677,89.0,4.644
G,352.0,Ederson,56,56,Man City,88.0,5.189,88.0,4.119,88.0,3.251,88.0,3.751,88.0,3.492,88.0,5.023,88.0,3.626,88.0,3.701,88.0,4.614,88.0,3.66,88.0,4.481,88.0,4.212
D,511.0,Romero,48,48,Spurs,82.0,3.177,82.0,3.485,82.0,5.981,82.0,4.82,82.0,3.711,82.0,4.117,82.0,4.501,82.0,4.13,82.0,2.715,82.0,4.384,82.0,3.48,82.0,4.598
