Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
M,308.0,Salah,129,129,Liverpool,87.0,8.686,87.0,6.616,87.0,5.5,87.0,7.343,87.0,8.734,87.0,6.977
M,516.0,Son,96,96,Spurs,77.0,6.693,77.0,7.374,77.0,6.515,77.0,5.672,77.0,7.375,77.0,5.96
F,355.0,Haaland,140,140,Man City,88.0,7.386,88.0,5.51,88.0,5.487,88.0,5.668,88.0,5.517,88.0,7.858
F,433.0,Wilson,78,78,Newcastle,67.0,4.561,77.0,7.012,77.0,5.999,77.0,6.126,77.0,6.151,77.0,5.75
M,19.0,Saka,86,86,Arsenal,84.0,5.175,84.0,6.379,84.0,5.32,84.0,6.191,84.0,6.367,84.0,5.201
M,108.0,Mbeumo,67,67,Brentford,83.0,5.751,83.0,4.859,83.0,5.056,83.0,6.445,83.0,4.855,83.0,6.186
M,504.0,Maddison,81,81,Spurs,80.0,5.584,80.0,6.117,80.0,5.555,80.0,4.749,80.0,6.121,80.0,4.964
M,526.0,Bowen,74,74,West Ham,84.0,4.764,84.0,5.66,84.0,6.407,84.0,5.404,84.0,4.758,84.0,5.346
M,557.0,Hwang,55,55,Wolves,75.0,6.173,75.0,4.541,75.0,4.888,75.0,4.265,75.0,6.17,75.0,5.232
M,143.0,Mitoma,65,65,Brighton,80.0,4.857,80.0,5.484,80.0,5.175,80.0,4.61,80.0,4.693,80.0,5.444
F,343.0,Álvarez,72,72,Man City,78.0,5.481,78.0,4.667,78.0,4.619,78.0,4.711,78.0,4.695,78.0,6.063
M,134.0,Groß,63,63,Brighton,78.0,4.773,78.0,5.576,78.0,5.121,78.0,4.457,78.0,4.605,78.0,5.465
M,373.0,Fernandes,83,83,Man Utd,88.0,4.887,88.0,5.741,88.0,4.732,88.0,4.152,88.0,4.651,88.0,5.672
M,14.0,Ødegaard,84,84,Arsenal,83.0,4.094,83.0,5.324,83.0,4.261,83.0,5.132,83.0,5.174,83.0,4.219
F,60.0,Watkins,84,84,Aston Villa,86.0,4.986,86.0,5.006,86.0,4.454,86.0,5.034,86.0,4.171,86.0,4.443
M,599.0,Diaby,68,68,Aston Villa,78.0,5.047,78.0,5.021,78.0,4.35,78.0,5.074,78.0,4.094,78.0,4.456
D,430.0,Trippier,70,70,Newcastle,87.0,4.3,87.0,5.131,87.0,4.713,87.0,5.103,87.0,4.651,87.0,3.955
M,353.0,Foden,75,75,Man City,74.0,5.183,74.0,4.361,74.0,4.238,74.0,4.461,74.0,4.285,74.0,5.059
M,661.0,Harrison,55,55,Everton,76.0,4.334,76.0,4.729,76.0,4.612,76.0,4.848,76.0,4.153,76.0,4.509
D,290.0,Alexander-Arnold,79,79,Liverpool,85.0,5.11,85.0,4.118,85.0,2.606,85.0,5.205,85.0,5.172,85.0,4.405
D,313.0,Van Dijk,61,61,Liverpool,85.0,5.035,85.0,4.141,85.0,2.649,85.0,5.186,85.0,5.092,85.0,4.409
M,216.0,Sterling,69,69,Chelsea,80.0,4.408,80.0,4.169,80.0,4.11,80.0,4.437,80.0,4.634,80.0,4.733
M,396.0,Rashford,87,87,Man Utd,84.0,4.417,84.0,4.81,84.0,4.388,84.0,3.598,84.0,4.072,84.0,4.77
D,29.0,White,57,57,Arsenal,84.0,3.022,84.0,5.807,84.0,3.463,84.0,5.272,84.0,4.899,84.0,3.428
M,309.0,Szoboszlai,71,71,Liverpool,84.0,4.597,84.0,4.022,84.0,3.531,84.0,4.583,84.0,4.659,84.0,4.346
D,311.0,Tsimikas,46,46,Liverpool,78.0,4.868,78.0,4.087,78.0,2.617,78.0,4.995,78.0,4.905,78.0,4.205
G,291.0,Alisson,56,56,Liverpool,89.0,4.727,89.0,4.044,89.0,2.959,89.0,4.913,89.0,4.755,89.0,4.214
M,362.0,Palmer,50,50,Chelsea,77.0,4.19,77.0,3.882,77.0,3.866,77.0,4.339,77.0,4.524,77.0,4.657
F,225.0,Edouard,55,55,Crystal Palace,75.0,4.8,75.0,3.884,75.0,4.903,75.0,3.956,75.0,4.152,75.0,3.569
M,664.0,Ward-Prowse,62,62,West Ham,83.0,3.74,83.0,4.552,83.0,4.45,83.0,4.333,83.0,3.727,83.0,4.191
M,365.0,Rodri,56,56,Man City,85.0,4.702,85.0,3.894,85.0,3.826,85.0,3.972,85.0,3.843,85.0,4.483
M,12.0,Martinelli,77,77,Arsenal,78.0,3.616,78.0,4.604,78.0,3.846,78.0,4.494,78.0,4.368,78.0,3.749
F,85.0,Solanke,64,64,Bournemouth,88.0,3.653,88.0,3.825,88.0,4.992,88.0,3.99,88.0,4.189,88.0,4.01
M,689.0,Kudus,65,65,West Ham,75.0,3.425,75.0,4.457,75.0,5.26,75.0,4.043,75.0,3.428,75.0,4.013
D,220.0,Andersen,50,50,Crystal Palace,85.0,4.337,85.0,4.237,85.0,4.382,85.0,3.778,85.0,4.821,85.0,3.04
G,275.0,Leno,47,47,Fulham,89.0,4.088,89.0,3.442,89.0,4.459,89.0,3.342,89.0,4.691,89.0,4.298
F,13.0,Nketiah,56,56,Arsenal,83.0,3.612,83.0,4.362,83.0,3.817,83.0,4.282,83.0,4.283,83.0,3.95
F,119.0,Wissa,59,59,Brentford,75.0,4.197,75.0,3.665,75.0,3.819,75.0,4.418,75.0,3.696,75.0,4.439
M,122.0,Adingra,50,50,Brighton,67.0,3.761,67.0,4.854,67.0,3.841,67.0,3.416,67.0,3.522,67.0,4.757
M,412.0,Gordon,57,57,Newcastle,78.0,3.741,78.0,4.375,78.0,4.001,78.0,4.149,78.0,4.107,78.0,3.755
G,113.0,Raya,48,48,Arsenal,85.0,2.934,85.0,5.224,85.0,3.319,85.0,4.781,85.0,4.422,85.0,3.333
M,378.0,Elanga,50,50,Nott'm Forest,77.0,3.778,77.0,4.078,77.0,3.712,77.0,4.104,77.0,4.086,77.0,4.229
