Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
M,6.0,Havertz,71,71,Arsenal,65.0,3.137,65.0,3.16,65.0,2.77,65.0,3.026,65.0,3.204,65.0,2.908,65.0,3.298,65.0,2.987,65.0,1.763,65.0,2.619
D,398.0,Shaw,52,52,Man Utd,75.0,3.366,75.0,3.112,75.0,3.367,75.0,2.546,75.0,3.56,75.0,3.137,75.0,1.915,75.0,3.464,75.0,1.61,75.0,2.72
D,679.0,G.Montiel,44,44,Nott'm Forest,75.0,2.766,75.0,2.494,75.0,3.111,75.0,2.71,75.0,3.476,75.0,2.369,75.0,2.414,75.0,2.603,75.0,2.922,75.0,3.591
D,217.0,Thiago Silva,50,50,Chelsea,80.0,3.795,80.0,2.417,80.0,3.953,80.0,3.359,80.0,1.986,80.0,1.092,80.0,2.935,80.0,3.076,80.0,1.451,80.0,4.381
D,393.0,Mengi,40,40,Luton,85.0,3.092,85.0,2.673,85.0,2.355,85.0,4.592,85.0,4.504,85.0,0.388,85.0,2.491,85.0,2.821,85.0,2.739,85.0,2.708
D,393.0,Mengi,40,40,Luton,85.0,3.092,85.0,2.673,85.0,2.355,85.0,4.592,85.0,4.504,85.0,0.388,85.0,2.491,85.0,2.821,85.0,2.739,85.0,2.708
D,439.0,Boly,45,45,Nott'm Forest,78.0,2.76,78.0,2.547,78.0,3.043,78.0,2.769,78.0,3.428,78.0,2.396,78.0,2.456,78.0,2.576,78.0,2.816,78.0,3.513
D,316.0,Bell,39,39,Luton,85.0,3.068,85.0,2.66,85.0,2.332,85.0,4.57,85.0,4.475,85.0,0.384,85.0,2.473,85.0,2.798,85.0,2.723,85.0,2.679
D,395.0,Varane,49,49,Man Utd,70.0,3.227,70.0,3.027,70.0,3.267,70.0,2.496,70.0,3.552,70.0,3.036,70.0,1.867,70.0,3.34,70.0,1.591,70.0,2.657
D,496.0,Dier,42,42,Spurs,80.0,2.825,80.0,3.096,80.0,3.009,80.0,2.941,80.0,3.571,80.0,0.776,80.0,3.486,80.0,2.395,80.0,1.742,80.0,4.211
M,199.0,Enzo,48,48,Chelsea,70.0,3.325,70.0,2.879,70.0,3.354,70.0,3.229,70.0,2.789,70.0,0.977,70.0,3.087,70.0,3.113,70.0,1.726,70.0,3.511
M,700.0,Ansu Fati,64,64,Brighton,50.0,2.885,50.0,3.762,50.0,2.848,50.0,2.783,50.0,3.769,50.0,2.75,50.0,2.834,50.0,3.062,50.0,0.727,50.0,2.502
D,197.0,Colwill,47,47,Chelsea,75.0,3.68,75.0,2.388,75.0,3.833,75.0,3.271,75.0,1.967,75.0,1.067,75.0,2.896,75.0,3.019,75.0,1.434,75.0,4.274
M,513.0,Sarr,45,45,Spurs,77.0,3.039,77.0,3.082,77.0,3.064,77.0,3.068,77.0,3.27,77.0,0.883,77.0,3.248,77.0,2.882,77.0,1.788,77.0,3.474
D,121.0,Zanka,43,43,Brentford,67.0,3.436,67.0,2.717,67.0,1.851,67.0,2.829,67.0,3.473,67.0,2.721,67.0,2.673,67.0,2.446,67.0,2.682,67.0,2.853
D,265.0,Tarkowski,45,45,Everton,86.0,2.791,86.0,3.186,86.0,3.403,86.0,1.803,86.0,3.629,86.0,2.644,86.0,3.512,86.0,2.951,86.0,0.506,86.0,3.156
D,495.0,Davies,43,43,Spurs,70.0,2.789,70.0,3.036,70.0,2.965,70.0,2.891,70.0,3.447,70.0,0.776,70.0,3.37,70.0,2.403,70.0,1.707,70.0,4.037
F,82.0,Semenyo,46,46,Bournemouth,65.0,2.574,65.0,2.819,65.0,3.117,65.0,3.226,65.0,2.817,65.0,2.705,65.0,2.932,65.0,3.052,65.0,1.42,65.0,2.743
M,66.0,Cook,50,50,Bournemouth,80.0,2.572,80.0,2.744,80.0,3.221,80.0,3.188,80.0,2.738,80.0,2.688,80.0,2.901,80.0,3.091,80.0,1.401,80.0,2.845
D,676.0,Mavropanos,45,45,West Ham,65.0,3.362,65.0,3.174,65.0,2.687,65.0,2.295,65.0,3.083,65.0,2.803,65.0,2.797,65.0,3.608,65.0,1.299,65.0,2.275
D,573.0,Toti,44,44,Wolves,75.0,2.434,75.0,3.058,75.0,2.45,75.0,2.966,75.0,2.781,75.0,4.095,75.0,2.293,75.0,3.336,75.0,1.668,75.0,2.258
M,701.0,Ghoddos,45,45,Brentford,65.0,2.823,65.0,2.606,65.0,2.282,65.0,2.655,65.0,3.955,65.0,2.617,65.0,2.478,65.0,2.831,65.0,2.437,65.0,2.538
D,551.0,Dawson,45,45,Wolves,84.0,2.406,84.0,3.083,84.0,2.374,84.0,2.962,84.0,2.72,84.0,4.153,84.0,2.212,84.0,3.38,84.0,1.68,84.0,2.191
D,89.0,Zabarnyi,44,44,Bournemouth,80.0,2.001,80.0,2.616,80.0,3.707,80.0,3.194,80.0,2.278,80.0,1.873,80.0,3.017,80.0,3.839,80.0,1.384,80.0,3.091
D,703.0,Evans,40,40,Man Utd,70.0,3.1,70.0,2.94,70.0,3.176,70.0,2.377,70.0,3.335,70.0,2.949,70.0,1.772,70.0,3.213,70.0,1.505,70.0,2.542
F,415.0,Isak,76,76,Newcastle,60.0,2.488,60.0,2.551,60.0,3.555,60.0,2.856,60.0,2.867,60.0,2.507,60.0,2.913,60.0,2.599,60.0,1.529,60.0,2.84
F,232.0,Mateta,49,49,Crystal Palace,65.0,2.515,65.0,3.079,65.0,2.633,65.0,2.598,65.0,2.725,65.0,2.975,65.0,2.71,65.0,3.061,65.0,1.377,65.0,2.923
M,107.0,Lewis-Potter,47,47,Brentford,60.0,2.624,60.0,2.539,60.0,2.268,60.0,2.569,60.0,3.943,60.0,2.555,60.0,2.467,60.0,2.809,60.0,2.279,60.0,2.521
