Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
G,409.0,Dubravka,42,42,Newcastle,89.0,3.002,89.0,3.22,89.0,5.024,89.0,3.962,89.0,4.295,89.0,3.081,89.0,4.323,89.0,3.365,89.0,2.015,89.0,4.098
D,506.0,Pedro Porro,58,58,Spurs,85.0,3.701,85.0,3.924,85.0,3.883,85.0,3.792,85.0,4.601,85.0,0.991,85.0,4.512,85.0,3.096,85.0,2.317,85.0,5.355
M,50.0,McGinn,56,56,Aston Villa,83.0,3.624,83.0,3.504,83.0,3.947,83.0,3.767,83.0,3.752,83.0,4.016,83.0,3.907,83.0,3.699,83.0,1.932,83.0,3.936
M,249.0,A.Doucouré,55,55,Everton,85.0,3.74,85.0,4.122,85.0,4.0,85.0,3.323,85.0,4.254,85.0,3.797,85.0,4.163,85.0,3.899,85.0,0.742,85.0,4.018
M,294.0,Diogo Jota,78,78,Liverpool,65.0,3.991,65.0,3.733,65.0,3.445,65.0,4.712,65.0,7.411,65.0,0.585,65.0,4.317,65.0,3.255,65.0,0.81,65.0,3.767
D,321.0,Doughty,45,45,Luton,78.0,4.052,78.0,3.386,78.0,3.045,78.0,5.657,78.0,5.705,78.0,0.504,78.0,3.127,78.0,3.724,78.0,3.402,78.0,3.413
D,29.0,White,56,56,Arsenal,80.0,4.442,80.0,4.095,80.0,3.067,80.0,3.808,80.0,4.219,80.0,3.42,80.0,4.493,80.0,3.993,80.0,2.21,80.0,2.264
M,501.0,Kulusevski,71,71,Spurs,78.0,3.871,78.0,3.903,78.0,3.961,78.0,3.908,78.0,4.295,78.0,1.102,78.0,4.269,78.0,3.644,78.0,2.345,78.0,4.554
D,5.0,Gabriel,50,50,Arsenal,85.0,4.366,85.0,4.026,85.0,3.086,85.0,3.734,85.0,4.142,85.0,3.471,85.0,4.418,85.0,4.006,85.0,2.241,85.0,2.29
D,96.0,Collins,45,45,Brentford,80.0,4.471,80.0,3.538,80.0,2.325,80.0,3.714,80.0,4.323,80.0,3.572,80.0,3.516,80.0,3.023,80.0,3.503,80.0,3.773
F,314.0,Adebayo,48,48,Luton,73.0,3.658,73.0,3.444,73.0,3.6,73.0,5.054,73.0,6.008,73.0,0.573,73.0,3.346,73.0,3.602,73.0,2.789,73.0,3.488
G,101.0,Flekken,45,45,Brentford,89.0,4.116,89.0,3.399,89.0,2.757,89.0,3.47,89.0,4.781,89.0,3.412,89.0,3.384,89.0,3.358,89.0,3.225,89.0,3.547
G,275.0,Leno,48,48,Fulham,89.0,3.193,89.0,3.939,89.0,3.931,89.0,4.0,89.0,3.447,89.0,3.175,89.0,3.649,89.0,3.779,89.0,2.171,89.0,4.155
D,511.0,Romero,49,49,Spurs,86.0,3.652,86.0,3.885,86.0,3.776,86.0,3.749,86.0,4.453,86.0,0.984,86.0,4.361,86.0,3.141,86.0,2.242,86.0,5.087
D,519.0,Udogie,48,48,Spurs,85.0,3.623,85.0,3.864,85.0,3.83,85.0,3.724,85.0,4.462,85.0,0.981,85.0,4.375,85.0,3.025,85.0,2.239,85.0,5.127
G,385.0,Henderson,44,44,Crystal Palace,90.0,2.963,90.0,4.447,90.0,3.163,90.0,3.452,90.0,3.514,90.0,4.239,90.0,3.454,90.0,4.466,90.0,1.783,90.0,3.658
G,113.0,Raya,49,49,Arsenal,87.0,4.174,87.0,3.851,87.0,3.19,87.0,3.595,87.0,3.946,87.0,3.393,87.0,4.203,87.0,3.852,87.0,2.168,87.0,2.703
M,447.0,Gibbs-White,57,57,Nott'm Forest,84.0,3.522,84.0,3.442,84.0,3.7,84.0,3.518,84.0,3.792,84.0,3.376,84.0,3.422,84.0,3.446,84.0,2.96,84.0,3.832
D,20.0,Saliba,56,56,Arsenal,88.0,4.281,88.0,3.933,88.0,2.963,88.0,3.646,88.0,4.053,88.0,3.319,88.0,4.33,88.0,3.894,88.0,2.15,88.0,2.169
D,112.0,Pinnock,46,46,Brentford,88.0,4.329,88.0,3.366,88.0,2.314,88.0,3.568,88.0,4.308,88.0,3.424,88.0,3.345,88.0,3.01,88.0,3.378,88.0,3.629
D,407.0,Burn,44,44,Newcastle,75.0,2.394,75.0,2.867,75.0,5.099,75.0,3.94,75.0,4.274,75.0,2.558,75.0,4.328,75.0,3.162,75.0,1.971,75.0,4.056
M,378.0,Elanga,51,51,Nott'm Forest,70.0,3.452,70.0,3.266,70.0,3.649,70.0,3.464,70.0,3.75,70.0,3.274,70.0,3.289,70.0,3.433,70.0,3.041,70.0,3.776
M,542.0,Soucek,49,49,West Ham,77.0,3.792,77.0,3.762,77.0,3.543,77.0,3.347,77.0,3.718,77.0,3.565,77.0,3.59,77.0,3.901,77.0,1.798,77.0,3.357
F,293.0,Darwin,74,74,Liverpool,75.0,4.706,73.0,4.367,70.0,3.891,67.0,3.933,67.0,6.209,67.0,0.459,67.0,3.579,67.0,3.1,67.0,0.721,67.0,3.321
F,485.0,McBurnie,54,54,Sheffield Utd,78.0,3.755,78.0,3.743,78.0,3.451,78.0,3.81,78.0,3.559,78.0,3.752,78.0,3.341,78.0,3.628,78.0,1.352,78.0,3.832
M,678.0,Doku,65,65,Man City,60.0,3.174,60.0,3.758,60.0,3.218,60.0,3.503,60.0,5.677,60.0,3.396,60.0,3.42,60.0,3.824,60.0,0.996,60.0,3.164
M,344.0,Bernardo,65,65,Man City,64.0,3.148,64.0,3.766,64.0,3.214,64.0,3.51,64.0,5.585,64.0,3.44,64.0,3.404,64.0,3.795,64.0,0.993,64.0,3.113
M,664.0,Ward-Prowse,60,60,West Ham,86.0,3.901,86.0,3.701,86.0,3.407,86.0,3.166,86.0,3.751,86.0,3.405,86.0,3.491,86.0,3.988,86.0,1.726,86.0,3.168
D,342.0,Aké,50,50,Man City,63.0,2.777,63.0,4.257,63.0,2.979,63.0,3.773,63.0,5.629,63.0,3.401,63.0,3.588,63.0,3.367,63.0,0.891,63.0,2.958
D,129.0,Dunk,50,50,Brighton,80.0,4.012,80.0,3.866,80.0,3.82,80.0,3.306,80.0,3.882,80.0,3.798,80.0,3.393,80.0,4.259,80.0,0.705,80.0,2.426
M,396.0,Rashford,84,84,Man Utd,72.0,3.701,72.0,3.645,72.0,3.705,72.0,3.317,72.0,3.925,72.0,3.373,72.0,3.123,72.0,3.709,72.0,1.558,72.0,3.404
D,220.0,Andersen,49,49,Crystal Palace,88.0,2.339,88.0,4.588,88.0,2.831,88.0,3.137,88.0,3.261,88.0,4.334,88.0,3.142,88.0,4.536,88.0,1.575,88.0,3.628
G,482.0,Foderingham,45,45,Sheffield Utd,89.0,3.824,89.0,3.494,89.0,3.256,89.0,3.96,89.0,3.43,89.0,3.575,89.0,3.144,89.0,3.479,89.0,1.262,89.0,3.941
G,597.0,Onana,48,48,Man Utd,89.0,3.707,89.0,3.581,89.0,3.757,89.0,3.11,89.0,3.866,89.0,3.51,89.0,2.684,89.0,3.848,89.0,1.715,89.0,3.278
D,48.0,Konsa,46,46,Aston Villa,85.0,3.131,85.0,2.854,85.0,3.689,85.0,3.422,85.0,3.187,85.0,4.06,85.0,3.67,85.0,3.497,85.0,1.617,85.0,3.825
F,343.0,Álvarez,70,70,Man City,75.0,4.114,70.0,4.061,67.0,3.113,65.0,3.095,65.0,5.051,65.0,3.136,65.0,3.064,65.0,3.532,65.0,0.932,65.0,2.85
F,168.0,Foster,48,48,Burnley,75.0,3.644,75.0,3.045,75.0,3.486,75.0,3.093,75.0,3.127,75.0,3.449,75.0,3.434,75.0,3.436,75.0,2.875,75.0,3.191
M,661.0,Harrison,55,55,Everton,76.0,3.432,76.0,3.683,76.0,3.71,76.0,3.146,76.0,3.803,76.0,3.404,76.0,3.754,76.0,3.477,76.0,0.7,76.0,3.66
M,635.0,Miley,45,45,Newcastle,70.0,3.044,70.0,3.126,70.0,3.965,70.0,3.629,70.0,3.616,70.0,3.071,70.0,3.636,70.0,3.233,70.0,1.854,70.0,3.569
G,520.0,Vicario,53,53,Spurs,89.0,3.469,89.0,3.636,89.0,3.533,89.0,3.518,89.0,4.019,89.0,0.934,89.0,3.945,89.0,3.056,89.0,2.069,89.0,4.52
D,302.0,Konaté,49,49,Liverpool,78.0,3.567,78.0,3.582,78.0,2.703,78.0,5.039,78.0,6.742,78.0,0.568,78.0,3.779,78.0,2.376,78.0,0.738,78.0,3.57
G,596.0,Trafford,45,45,Burnley,89.0,4.35,89.0,2.537,89.0,3.722,89.0,2.728,89.0,3.019,89.0,3.315,89.0,3.718,89.0,3.234,89.0,2.948,89.0,3.006
D,83.0,Senesi,45,45,Bournemouth,78.0,2.466,78.0,3.206,78.0,4.379,78.0,3.902,78.0,2.77,78.0,2.348,78.0,3.666,78.0,4.482,78.0,1.7,78.0,3.617
F,246.0,Calvert-Lewin,58,58,Everton,70.0,3.471,70.0,3.624,70.0,3.55,70.0,3.302,70.0,3.666,70.0,3.485,70.0,3.641,70.0,3.518,70.0,0.719,70.0,3.56
G,569.0,Sá,50,50,Wolves,89.0,3.052,89.0,3.546,89.0,3.038,89.0,3.483,89.0,3.322,89.0,4.431,89.0,2.878,89.0,3.776,89.0,1.885,89.0,2.923
G,614.0,Kaminski,45,45,Luton,90.0,3.376,90.0,3.133,90.0,3.015,90.0,4.74,90.0,5.338,90.0,0.482,90.0,2.997,90.0,3.163,90.0,2.866,90.0,3.066
D,544.0,Zouma,45,45,West Ham,86.0,3.874,86.0,3.822,86.0,3.12,86.0,2.656,86.0,3.59,86.0,3.346,86.0,3.299,86.0,4.324,86.0,1.525,86.0,2.616
D,298.0,Gomez,45,45,Liverpool,75.0,3.494,75.0,3.506,75.0,2.653,75.0,4.931,75.0,6.613,75.0,0.556,75.0,3.702,75.0,2.321,75.0,0.723,75.0,3.494
M,416.0,Joelinton,58,58,Newcastle,80.0,2.991,80.0,3.065,80.0,3.818,80.0,3.49,80.0,3.569,80.0,2.991,80.0,3.607,80.0,3.104,80.0,1.808,80.0,3.519
D,427.0,Schär,52,52,Newcastle,85.0,2.197,85.0,2.587,85.0,4.777,85.0,3.62,85.0,3.972,85.0,2.36,85.0,4.034,85.0,2.79,85.0,1.795,85.0,3.739
M,221.0,J.Ayew,54,54,Crystal Palace,75.0,2.815,75.0,3.788,75.0,3.101,75.0,3.175,75.0,3.248,75.0,3.611,75.0,3.254,75.0,3.776,75.0,1.671,75.0,3.432
M,256.0,Iwobi,53,53,Fulham,75.0,3.131,75.0,3.404,75.0,3.536,75.0,3.448,75.0,3.116,75.0,2.913,75.0,3.253,75.0,3.376,75.0,1.93,75.0,3.663
F,33.0,Archer,45,45,Sheffield Utd,78.0,3.474,78.0,3.482,78.0,3.163,78.0,3.568,78.0,3.31,78.0,3.491,78.0,3.022,78.0,3.38,78.0,1.256,78.0,3.551
D,528.0,Coufal,47,47,West Ham,77.0,3.88,77.0,3.8,77.0,3.035,77.0,2.544,77.0,3.6,77.0,3.25,77.0,3.266,77.0,4.321,77.0,1.487,77.0,2.483
D,377.0,Dalot,51,51,Man Utd,84.0,3.59,84.0,3.502,84.0,3.726,84.0,2.802,84.0,3.931,84.0,3.507,84.0,2.071,84.0,3.767,84.0,1.774,84.0,2.984
M,402.0,Almirón,62,62,Newcastle,68.0,2.904,68.0,3.026,68.0,3.792,68.0,3.49,68.0,3.484,68.0,2.944,68.0,3.52,68.0,3.139,68.0,1.795,68.0,3.456
D,203.0,Gusto,42,42,Chelsea,70.0,4.122,70.0,2.765,70.0,4.272,70.0,3.747,70.0,2.347,70.0,1.176,70.0,3.25,70.0,3.354,70.0,1.64,70.0,4.715
D,522.0,Aguerd,45,45,West Ham,85.0,3.767,85.0,3.742,85.0,3.017,85.0,2.602,85.0,3.483,85.0,3.27,85.0,3.222,85.0,4.217,85.0,1.487,85.0,2.559
D,286.0,Tosin,43,43,Fulham,80.0,2.647,80.0,3.574,80.0,3.543,80.0,3.647,80.0,2.88,80.0,2.7,80.0,3.101,80.0,3.303,80.0,1.96,80.0,3.906
M,143.0,Mitoma,64,64,Brighton,65.0,3.441,65.0,3.593,65.0,3.404,65.0,3.197,65.0,3.618,65.0,3.284,65.0,3.34,65.0,3.559,65.0,0.874,65.0,2.895
M,570.0,Sarabia,47,47,Wolves,65.0,3.116,65.0,3.292,65.0,3.088,65.0,3.178,65.0,3.286,65.0,3.954,65.0,3.069,65.0,3.486,65.0,1.707,65.0,3.001
D,228.0,Guéhi,45,45,Crystal Palace,87.0,2.134,87.0,4.298,87.0,2.614,87.0,2.936,87.0,3.047,87.0,4.041,87.0,2.938,87.0,4.272,87.0,1.471,87.0,3.36
D,234.0,Mitchell,47,47,Crystal Palace,83.0,2.096,83.0,4.289,83.0,2.596,83.0,2.895,83.0,3.016,83.0,4.032,83.0,2.906,83.0,4.263,83.0,1.45,83.0,3.355
M,406.0,Bruno Guimarães,58,58,Newcastle,85.0,2.882,85.0,2.938,85.0,3.666,85.0,3.373,85.0,3.425,85.0,2.872,85.0,3.461,85.0,2.99,85.0,1.738,85.0,3.371
M,122.0,Adingra,50,50,Brighton,65.0,3.379,65.0,3.52,65.0,3.341,65.0,3.135,65.0,3.544,65.0,3.221,65.0,3.278,65.0,3.474,65.0,0.864,65.0,2.844
D,688.0,Castagne,45,45,Fulham,82.0,2.644,82.0,3.53,82.0,3.464,82.0,3.587,82.0,2.842,82.0,2.621,82.0,3.046,82.0,3.209,82.0,1.956,82.0,3.694
G,28.0,Turner,39,39,Nott'm Forest,85.0,3.011,85.0,2.885,85.0,3.203,85.0,3.021,85.0,3.484,85.0,2.811,85.0,2.917,85.0,2.885,85.0,2.769,85.0,3.572
M,540.0,Rice,54,54,Arsenal,85.0,3.385,85.0,3.318,85.0,2.913,85.0,3.208,85.0,3.372,85.0,3.006,85.0,3.432,85.0,3.167,85.0,1.829,85.0,2.698
M,105.0,Janelt,53,53,Brentford,74.0,3.095,74.0,2.844,74.0,2.597,74.0,2.906,74.0,4.477,74.0,2.862,74.0,2.803,74.0,3.192,74.0,2.639,74.0,2.879
D,283.0,Robinson,44,44,Fulham,84.0,2.598,84.0,3.514,84.0,3.443,84.0,3.571,84.0,2.789,84.0,2.564,84.0,2.996,84.0,3.182,84.0,1.955,84.0,3.674
M,267.0,Andreas,53,53,Fulham,70.0,2.976,70.0,3.238,70.0,3.331,70.0,3.273,70.0,2.998,70.0,2.75,70.0,3.061,70.0,3.198,70.0,1.824,70.0,3.482
M,450.0,Johnson,58,58,Spurs,70.0,3.246,70.0,3.284,70.0,3.369,70.0,3.268,70.0,3.53,70.0,0.951,70.0,3.512,70.0,3.055,70.0,1.949,70.0,3.871
G,263.0,Pickford,45,45,Everton,89.0,3.125,89.0,3.386,89.0,3.516,89.0,2.421,89.0,3.746,89.0,3.006,89.0,3.627,89.0,3.218,89.0,0.584,89.0,3.352
D,532.0,Emerson,45,45,West Ham,78.0,3.61,78.0,3.569,78.0,2.887,78.0,2.404,78.0,3.342,78.0,3.1,78.0,3.036,78.0,4.056,78.0,1.413,78.0,2.333
D,260.0,Mykolenko,46,46,Everton,82.0,3.008,82.0,3.46,82.0,3.602,82.0,2.032,82.0,3.899,82.0,2.856,82.0,3.744,82.0,3.179,82.0,0.553,82.0,3.376
M,259.0,McNeil,54,54,Everton,75.0,3.118,75.0,3.299,75.0,3.346,75.0,2.845,75.0,3.421,75.0,3.094,75.0,3.39,75.0,3.169,75.0,0.636,75.0,3.281
M,216.0,Sterling,71,71,Chelsea,66.0,3.537,66.0,3.043,66.0,3.573,66.0,3.462,66.0,2.913,66.0,1.027,66.0,3.206,66.0,3.224,66.0,1.804,66.0,3.759
M,354.0,Grealish,72,72,Man City,60.0,2.724,60.0,3.332,60.0,2.777,60.0,3.099,60.0,4.813,60.0,3.049,60.0,2.92,60.0,3.22,60.0,0.859,60.0,2.621
D,222.0,Clyne,44,44,Crystal Palace,78.0,2.012,78.0,4.028,78.0,2.403,78.0,2.795,78.0,2.85,78.0,3.774,78.0,2.799,78.0,4.009,78.0,1.397,78.0,3.112
D,401.0,Wan-Bissaka,44,44,Man Utd,70.0,3.321,70.0,3.209,70.0,3.395,70.0,2.574,70.0,3.615,70.0,3.192,70.0,1.968,70.0,3.439,70.0,1.613,70.0,2.741
