team_npxG,oppteam_npxGA,was_home,pen_rate,proj_goals,team_npxGp90(L4),oppteam_npxGAp90(L4),team_pens
1.13309,1.08752,True,0.0,2.1,1.13309,1.08752,0
1.148745,1.4914385000000001,False,0.0,1.02,1.148745,1.4914385000000001,0
1.094344,1.4515463333333332,True,0.0,1.58,1.094344,1.4515463333333332,0
1.3020304999999999,1.35656225,False,0.0,1.9,1.3020304999999999,1.35656225,0
1.2428563999999998,1.3290248,True,0.0,2.15,1.270298,1.018126,1
1.3308686666666665,0.6370343333333334,False,0.16666666666666666,1.36,1.4219305,0.6048775,0
1.384171714285714,1.8337800000000002,True,0.14285714285714285,2.48,1.6015425,1.6146425,0
1.3662865,1.355567625,False,0.125,1.74,1.4305424999999998,1.5627425,0
1.320003,1.513828777777778,True,0.1111111111111111,2.1,1.4164362499999998,1.9311647500000002,0
1.3420166999999998,1.2359758,True,0.1,1.92,1.35873875,1.166261,0
1.3132442727272726,0.9692925454545454,False,0.09090909090909091,1.18,1.1891212500000001,1.4208585,0
1.2839188333333333,1.753889,True,0.08333333333333333,2.15,1.1191834999999999,2.298944,0
1.3088658461538463,1.868815076923077,False,0.07692307692307693,1.86,1.2838072500000002,1.9544507500000001,1
1.301121142857143,1.6946244285714287,True,0.14285714285714285,1.96,1.19888225,2.056098,0
1.2787382,1.9401140000000001,False,0.13333333333333333,1.69,1.1838465,2.2942074999999997,0
1.3108051875,0.9920556250000001,True,0.125,1.25,1.39146425,0.59698925,0
1.2502642941176472,1.2667957647058823,False,0.11764705882352941,1.25,1.05980925,1.849515,0
1.2297950555555555,1.551620888888889,False,0.1111111111111111,1.4,0.98015375,1.39843275,0
1.240050052631579,1.0759805263157893,True,0.10526315789473684,1.34,1.0949695,1.1261695,0
1.2173082499999999,0.9559913999999999,True,0.1,1.38,0.8433204999999999,0.63633525,0
1.2501730952380952,1.5228995714285714,False,0.09523809523809523,1.33,1.2497855,1.163654,0
1.2587670454545454,1.198117818181818,True,0.09090909090909091,1.55,1.389141,1.40854025,0
1.257465,1.0612616956521739,False,0.08695652173913043,0.91,1.3401859999999999,0.99134725,0
1.2287405,1.3351464166666667,False,0.08333333333333333,1.34,1.2859017499999998,1.70933,0
1.23880088,1.8635652800000002,True,0.08,1.84,1.17909675,2.1387,0
1.3074073846153846,1.230206923076923,True,0.07692307692307693,1.53,1.57492925,1.0099655,0
1.3084541481481482,1.8541770000000002,True,0.07407407407407407,1.98,1.6016417500000002,1.88005575,0
1.317428642857143,0.9408222571428572,False,0.07142857142857142,0.77,1.8495575,0.7430128,0
1.2891296896551723,1.4860263103448277,False,0.06896551724137931,1.32,1.60368475,1.25238975,0
1.2693676999999999,1.4253285999999998,False,0.06666666666666667,1.51,1.02210975,1.554193,0
1.2989348709677417,1.628400064516129,True,0.06451612903225806,1.79,1.23467975,1.2810855,0
1.31349815625,0.954643809375,False,0.0625,0.87,1.2859847500000001,0.304065725,0
1.312565787878788,1.0646686060606059,True,0.06060606060606061,1.26,1.4824775000000001,0.5677614999999999,0
1.3119088529411767,1.3194764117647058,False,0.058823529411764705,1.4,1.6309675000000001,0.9487727499999999,0
1.2941374571428572,0.9935778342857144,True,0.05714285714285714,1.31,1.2569575000000002,1.3499665,0
1.2947214166666667,1.8157156944444444,False,0.05555555555555555,1.5,1.1445075,1.27661625,0
1.2796515675675675,1.3873306216216217,True,0.05405405405405406,1.4,1.00810925,1.57034375,1
0.639599,1.59864,True,0.0,1.48,0.639599,1.59864,0
1.1451445,1.02219,True,0.0,1.12,1.1451445,1.02219,0
1.0487383333333333,1.5156066666666668,False,0.0,1.02,1.0487383333333333,1.5156066666666668,0
0.8624387499999999,2.0720325,True,0.0,1.45,0.8624387499999999,2.0720325,0
0.970955,1.4128402,False,0.0,0.88,1.053794,1.6709125,0
1.0950391666666668,1.0843546666666664,True,0.0,1.36,1.0699865,1.063552,0
1.0692144285714285,1.8624455714285715,False,0.0,1.13,1.0845715,1.9969625000000002,0
1.281077625,1.435775,True,0.0,1.43,1.6997165,1.355372,0
1.4683934444444444,1.142111,False,0.0,0.42,2.0901915,1.127093,0
1.4195686,0.95218147,True,0.0,0.9,1.90636275,0.8529306750000001,0
1.3579364545454544,1.2168434545454547,False,0.0,1.0,1.8632000000000002,1.1561035,0
1.2842105,1.6856411666666664,True,0.0,1.53,1.2904762500000002,1.922625,0
1.393002,0.9741601538461538,False,0.0,0.91,1.22337125,1.3638675,0
1.3861454285714285,1.0770065714285715,False,0.0,0.75,1.3025875,0.887254,0
1.3511263999999998,0.9238570666666667,True,0.0,1.16,1.33239875,0.7989095,0
1.344269125,1.2552905625,False,0.0,1.18,1.524445,0.9311125,1
1.277630411764706,1.5331341176470588,True,0.058823529411764705,1.69,0.90267275,0.8520955000000001,0
1.2578206111111112,1.7181502777777777,True,0.05555555555555555,1.85,0.8086837499999999,1.35791725,0
1.2260507894736843,1.4948079999999997,False,0.05263157894736842,1.15,0.75701725,1.1480065,0
1.1952981,1.2603097,False,0.05,1.1,0.5994140000000001,1.2016054999999999,0
1.2216286666666667,1.030706285714286,True,0.047619047619047616,1.1,0.9836212500000001,1.3725829999999999,1
1.1826674090909093,1.537902909090909,False,0.09090909090909091,1.13,0.8444780000000001,1.281869,0
1.1756144782608697,1.405751565217391,True,0.08695652173913043,1.42,0.936042,0.9827334999999999,0
1.1711051250000002,1.552062,False,0.08333333333333333,1.29,1.05014025,1.709228,0
1.1806429200000002,1.22418428,True,0.08,1.31,0.9654677500000002,1.6324942500000001,0
