team_npxG,oppteam_npxGA,was_home,pen_rate,proj_goals,spi_team,spi_opp_team,team_npxGp90(L4),oppteam_npxGAp90(L4),team_pens
0.8,1.8,False,0.0,1.65,79.72,70.33,0.6,1.8,0
0.8,1.8,True,0.0,2.1,80.42,68.31,0.6,1.8,0
0.8,1.8,False,0.0,1.02,79.81,91.91,0.6,1.8,0
0.8,1.8,True,0.0,1.58,79.36,84.49,0.6,1.8,0
1.3020304999999999,1.35656225,False,0.0,1.9,79.93,66.62,1.3020304999999999,1.35656225,0
1.2428563999999998,1.3290248,True,0.0,2.15,79.23,64.34,1.270298,1.018126,1
1.3308686666666665,0.6370343333333334,False,0.16666666666666666,1.36,78.55,82.24,1.4219305,0.6048775,0
1.384171714285714,1.8337800000000002,True,0.14285714285714285,2.48,80.35,68.46,1.6015425,1.6146425,0
1.3662865,1.355567625,False,0.125,1.74,80.25,65.95,1.4305424999999998,1.5627425,0
1.320003,1.513828777777778,True,0.1111111111111111,2.1,79.59,70.49,1.4164362499999998,1.9311647500000002,0
1.3420166999999998,1.2359758,True,0.1,1.92,78.8,72.87,1.35873875,1.166261,0
1.3132442727272726,0.9692925454545454,False,0.09090909090909091,1.18,77.5,82.33,1.1891212500000001,1.4208585,0
1.2839188333333333,1.753889,True,0.08333333333333333,2.15,77.16,64.05,1.1191834999999999,2.298944,0
1.3088658461538463,1.868815076923077,False,0.07692307692307693,1.86,75.38,59.35,1.2838072500000002,1.9544507500000001,1
1.301121142857143,1.6946244285714287,True,0.14285714285714285,1.96,75.68,68.11,1.19888225,2.056098,0
1.2787382,1.9401140000000001,False,0.13333333333333333,1.69,74.5,65.85,1.1838465,2.2942074999999997,0
1.3108051875,0.9920556250000001,True,0.125,1.25,75.54,94.9,1.39146425,0.59698925,0
1.2502642941176472,1.2667957647058823,False,0.11764705882352941,1.25,74.95,77.48,1.05980925,1.849515,0
1.2297950555555555,1.551620888888889,False,0.1111111111111111,1.4,75.46,68.68,0.98015375,1.39843275,0
1.240050052631579,1.0759805263157893,True,0.10526315789473684,1.34,75.9,85.4,1.0949695,1.1261695,0
1.2173082499999999,0.9559913999999999,True,0.1,1.38,75.56,81.75,0.8433204999999999,0.63633525,0
1.2501730952380952,1.5228995714285714,False,0.09523809523809523,1.33,76.4,69.75,1.2497855,1.163654,0
1.2587670454545454,1.198117818181818,True,0.09090909090909091,1.55,76.75,72.75,1.389141,1.40854025,0
1.257465,1.0612616956521739,False,0.08695652173913043,0.91,76.11,85.66,1.3401859999999999,0.99134725,0
1.2287405,1.3351464166666667,False,0.08333333333333333,1.34,75.43,68.77,1.2859017499999998,1.70933,0
1.23880088,1.8635652800000002,True,0.08,1.84,75.26,61.49,1.17909675,2.1387,0
1.3074073846153846,1.230206923076923,True,0.07692307692307693,1.53,77.44,78.83,1.57492925,1.0099655,0
1.3084541481481482,1.8541770000000002,True,0.07407407407407407,1.98,77.04,66.68,1.6016417500000002,1.88005575,0
