ID,Name,Pos,Team,Price,38_fix,38_xmins,38_pts,38_g,38_a,38_cs,38_bon,38_dmins,38_likelihood
483,Podence,3,WOL,51,(A): ARS,24.74,1.236,0.038,0.048,0.016,0.043,24.74,1
484,Kilman,2,WOL,43,(A): ARS,68.91,1.133,0.022,0.014,0.053,0.034,68.91,1
485,Cundle,3,WOL,44,,0,0,0,0,0,0,,
486,Neto,3,WOL,49,(A): ARS,43.1,1.941,0.067,0.091,0.039,0.067,43.1,1
487,Aït-Nouri,2,WOL,41,(A): ARS,2.2,0.067,0,0.002,0,0.001,2.2,1
488,Fabio Silva,4,WOL,55,,0,0,0,0,0,0,,
489,Toti,2,WOL,39,(A): ARS,50.35,0.941,0.016,0.026,0.041,0.029,50.35,1
490,Chiquinho,3,WOL,50,(A): ARS,0,0,0,0,0,0,0,1
491,Adama,3,WOL,53,(A): ARS,28.45,1.307,0.032,0.048,0.02,0.048,28.45,1
492,Šarkić,1,WOL,39,,0,0,0,0,0,0,,
493,Gibbs-White,3,NFO,55,(A): CRY,84,3.4,0.143,0.199,0.131,0.21,84,1
494,Mosquera,2,WOL,39,,0,0,0,0,0,0,,
495,Matthews,1,CRY,40,,0,0,0,0,0,0,,
496,Plange,4,CRY,45,,0,0,0,0,0,0,,
497,Adrián,1,LIV,38,(A): SOU,5.49,0.223,0,0,0.019,0.011,5.49,1
498,R.Williams,2,LIV,40,,0,0,0,0,0,0,,
499,Davies,2,LIV,40,,0,0,0,0,0,0,,
500,Van den Berg,2,LIV,40,,0,0,0,0,0,0,,
501,Phillips,2,LIV,38,(A): SOU,8.51,0.338,0.005,0.003,0.017,0.022,8.51,1
502,Carson,1,MCI,38,(A): BRE,0,0,0,0,0,0,0,1
503,Moutinho,3,WOL,46,(A): ARS,6.32,0.368,0.004,0.01,0.002,0.01,6.32,1
504,Malacia,2,MUN,42,(H): FUL,34.38,1.46,0.013,0.033,0.112,0.104,74.38,1
505,Rothwell,3,BOU,49,(A): EVE,44.98,1.668,0.034,0.063,0.072,0.073,44.98,1
506,Adams,3,LEE,49,(H): TOT,0,0,0,0,0,0,0,1
507,Niakhaté,2,NFO,43,(A): CRY,85.03,1.892,0.032,0.021,0.13,0.057,85.03,1
508,Sinisterra,3,LEE,65,(H): TOT,0,0,0,0,0,0,0,1
509,Downes,3,WHU,42,(A): LEI,15.24,0.575,0.007,0.01,0.013,0.017,15.24,1
510,Hickey,2,BRE,49,(H): MCI,60.22,1.535,0.015,0.038,0.096,0.044,60.22,1
511,Richards,2,NFO,44,(A): CRY,0,0,0,0,0,0,0,1
512,Aribo,3,SOU,50,(H): LIV,42.16,2.138,0.12,0.067,0.036,0.096,42.16,1
