Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
M,525.0,Benrahma,60,60,West Ham,58.83,2.833,58.83,2.627,58.83,2.443,58.83,3.006,58.83,2.371,58.83,2.462
M,261.0,Onana,50,50,Everton,75.33,2.712,75.33,2.475,75.33,2.804,75.33,2.751,75.33,2.453,75.33,2.506
M,566.0,Matheus,50,50,Wolves,72.56,2.49,72.56,2.515,72.56,2.683,72.56,2.615,72.56,2.512,72.56,2.874
D,271.0,Diop,45,45,Fulham,80.32,2.886,80.32,2.773,80.32,1.885,80.32,1.505,80.32,3.919,80.32,2.666
D,563.0,Kilman,45,45,Wolves,89.38,2.151,89.38,2.29,89.38,2.873,89.38,2.667,89.38,2.158,89.38,3.482
D,283.0,Robinson,45,45,Fulham,88.23,2.875,88.23,2.766,88.23,1.885,88.23,1.502,88.23,3.932,88.23,2.658
D,389.0,Malacia,45,45,Man Utd,63.23,3.134,63.23,2.405,63.23,3.237,63.23,1.732,63.23,2.077,63.23,2.742
D,537.0,Kehrer,45,45,West Ham,82.56,3.099,82.56,2.927,82.56,2.142,82.56,3.411,82.56,1.771,82.56,1.945
M,296.0,Fabinho,50,50,Liverpool,74.06,2.41,74.06,2.811,74.06,2.251,74.06,2.449,74.06,2.597,74.06,2.631
D,551.0,Dawson,45,45,Wolves,85.36,2.112,85.36,2.223,85.36,2.753,85.36,2.546,85.36,2.09,85.36,3.363
M,254.0,Gueye,50,50,Everton,78.09,2.614,78.09,2.342,78.09,2.707,78.09,2.637,78.09,2.331,78.09,2.367
M,446.0,Freuler,50,50,Nott'm Forest,77.04,2.305,77.04,2.797,77.04,2.346,77.04,2.431,77.04,2.763,77.04,2.243
D,83.0,Senesi,45,45,Bournemouth,80.29,3.021,80.29,1.82,80.29,2.938,80.29,2.289,80.29,2.73,80.29,1.957
M,9.0,Jorginho,55,55,Arsenal,66.47,2.672,66.47,2.35,66.47,2.523,66.47,2.28,66.47,2.437,66.47,2.482
D,445.0,Felipe,45,45,Nott'm Forest,88.56,1.705,88.56,3.736,88.56,1.958,88.56,2.266,88.56,3.568,88.56,1.453
M,47.0,Kamara,50,50,Aston Villa,73.88,2.252,73.88,2.639,73.88,2.598,73.88,2.263,73.88,2.525,73.88,2.394
M,105.0,Janelt,55,55,Brentford,62.89,2.433,62.89,2.424,62.89,2.378,62.89,2.559,62.89,2.153,62.89,2.508
M,280.0,Palhinha,50,50,Fulham,88.8,2.5,88.8,2.444,88.8,2.193,88.8,2.094,88.8,2.79,88.8,2.411
D,84.0,Smith,45,45,Bournemouth,79.46,2.953,79.46,1.756,79.46,2.869,79.46,2.229,79.46,2.669,79.46,1.892
D,572.0,Semedo,45,45,Wolves,73.14,2.007,73.14,2.119,73.14,2.625,73.14,2.436,73.14,1.996,73.14,3.182
D,189.0,Azpilicueta,45,45,Chelsea,60.84,1.859,60.84,2.199,60.84,2.9,60.84,2.775,60.84,2.401,60.84,2.114
M,356.0,Kovacic,50,50,Man City,62.93,2.383,62.93,2.103,62.93,2.419,62.93,2.365,62.93,2.254,62.93,2.493
F,154.0,Welbeck,60,60,Brighton,59.48,2.488,59.48,2.428,59.48,2.34,59.48,2.102,59.48,2.16,59.48,2.417
M,470.0,Yates,50,50,Nott'm Forest,70.5,2.156,70.5,2.609,70.5,2.207,70.5,2.269,70.5,2.577,70.5,2.085
D,70.0,Kelly,45,45,Bournemouth,88.7,2.875,88.7,1.674,88.7,2.793,88.7,2.147,88.7,2.589,88.7,1.814
D,75.0,Mepham,45,45,Bournemouth,84.5,2.87,84.5,1.664,84.5,2.787,84.5,2.144,84.5,2.584,84.5,1.806
M,34.0,Bailey,55,55,Aston Villa,59.52,2.064,59.52,2.487,59.52,2.571,59.52,2.099,59.52,2.356,59.52,2.26
M,249.0,A.Doucouré,55,55,Everton,61.08,2.359,61.08,2.19,61.08,2.448,61.08,2.44,61.08,2.103,61.08,2.21
F,343.0,Álvarez,65,65,Man City,46.71,2.297,46.71,1.957,46.71,2.788,46.71,2.214,46.71,2.195,46.71,2.274
D,455.0,McKenna,45,45,Nott'm Forest,78.5,1.532,78.5,3.485,78.5,1.782,78.5,2.051,78.5,3.318,78.5,1.3
D,469.0,Worrall,45,45,Nott'm Forest,73.83,1.542,73.83,3.388,73.83,1.785,73.83,2.039,73.83,3.228,73.83,1.316
F,437.0,Awoniyi,65,65,Nott'm Forest,51.67,1.77,51.67,2.701,51.67,1.837,51.67,1.916,51.67,2.16,51.67,1.743
M,515.0,Skipp,50,50,Spurs,64.74,1.923,64.74,1.926,64.74,2.085,64.74,2.108,64.74,2.214,64.74,1.822
M,371.0,Amad,45,45,Man Utd,15.0,2.224,15.0,1.948,15.0,2.218,15.0,1.697,15.0,1.717,15.0,2.251
M,568.0,Podence,55,55,Wolves,55.0,1.805,55.0,1.786,55.0,2.021,55.0,1.936,55.0,1.783,55.0,2.226
