Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
F,8.0,Jesus,80,80,Arsenal,75.0,3.648,75.0,3.995,75.0,5.358,75.0,3.747,75.0,4.818,75.0,4.117,75.0,4.652,75.0,5.287,75.0,4.103,75.0,3.759,75.0,3.707,75.0,4.294
M,396.0,Rashford,88,88,Man Utd,84.0,4.336,84.0,4.69,84.0,3.597,84.0,4.523,84.0,4.859,84.0,4.475,84.0,3.644,84.0,4.141,84.0,4.808,84.0,3.678,84.0,4.442,84.0,4.279
M,309.0,Szoboszlai,70,70,Liverpool,78.0,3.81,78.0,4.476,78.0,4.724,78.0,4.549,78.0,4.198,78.0,3.595,78.0,4.563,78.0,4.591,78.0,4.136,78.0,4.237,78.0,3.957,78.0,4.555
G,291.0,Alisson,55,55,Liverpool,89.0,3.417,89.0,4.831,89.0,5.228,89.0,4.559,89.0,4.273,89.0,3.025,89.0,4.801,89.0,4.618,89.0,3.928,89.0,4.322,89.0,3.655,89.0,4.488
D,131.0,Estupiñán,53,53,Brighton,75.0,3.487,75.0,2.564,75.0,4.954,75.0,4.319,75.0,5.917,75.0,4.653,75.0,3.566,75.0,4.335,75.0,5.688,75.0,3.289,75.0,4.072,75.0,4.251
G,275.0,Leno,47,47,Fulham,89.0,5.156,89.0,3.65,89.0,3.346,89.0,4.181,89.0,3.62,89.0,4.752,89.0,3.322,89.0,4.847,89.0,4.441,89.0,3.377,89.0,5.033,89.0,4.304
M,567.0,Neto,56,56,Wolves,79.0,4.03,79.0,4.335,79.0,3.735,79.0,4.546,79.0,3.869,79.0,4.257,79.0,3.783,79.0,4.655,79.0,4.531,79.0,4.233,79.0,3.902,79.0,3.916
F,326.0,Morris,56,56,Luton,80.0,3.929,80.0,4.332,80.0,4.067,80.0,3.873,80.0,4.013,80.0,4.211,80.0,4.016,80.0,4.046,80.0,3.773,80.0,4.364,80.0,3.888,80.0,4.491
G,113.0,Raya,48,48,Arsenal,75.0,3.041,75.0,3.535,75.0,5.607,75.0,3.255,75.0,5.369,75.0,3.765,75.0,4.985,75.0,4.58,75.0,3.545,75.0,3.528,75.0,3.181,75.0,4.569
F,132.0,Ferguson,60,60,Brighton,60.0,3.598,60.0,3.683,60.0,4.034,60.0,4.011,60.0,5.282,60.0,4.355,60.0,3.792,60.0,3.847,60.0,4.612,60.0,3.651,60.0,3.854,60.0,3.811
D,29.0,White,55,55,Arsenal,84.0,2.754,84.0,3.309,84.0,5.878,84.0,2.937,84.0,5.653,84.0,3.565,84.0,5.219,84.0,4.758,84.0,3.288,84.0,3.507,84.0,2.955,84.0,4.693
G,424.0,Pope,55,55,Newcastle,89.0,3.74,89.0,4.231,89.0,3.897,89.0,3.299,89.0,3.963,89.0,3.755,89.0,3.974,89.0,3.839,89.0,3.384,89.0,4.514,89.0,4.193,89.0,4.92
G,524.0,Areola,42,42,West Ham,89.0,3.481,89.0,3.431,89.0,4.409,89.0,3.639,89.0,4.667,89.0,4.24,89.0,4.196,89.0,3.654,89.0,3.989,89.0,4.561,89.0,4.021,89.0,3.363
D,427.0,Schär,51,51,Newcastle,85.0,3.64,85.0,4.249,85.0,3.937,85.0,3.065,85.0,3.971,85.0,3.609,85.0,3.927,85.0,3.697,85.0,3.186,85.0,4.556,85.0,4.26,85.0,5.028
