Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,308.0,Salah,125,125,Liverpool,84.0,6.376,84.0,7.228,84.0,5.327,84.0,6.454,84.0,7.025,84.0,7.077,84.0,6.509,84.0,5.519
F,355.0,Haaland,140,140,Man City,80.0,6.658,80.0,4.904,80.0,7.355,80.0,6.221,80.0,6.011,80.0,6.781,80.0,6.507,80.0,4.725
F,500.0,Kane,125,125,Spurs,85.0,5.183,85.0,5.088,85.0,5.786,85.0,5.918,85.0,6.803,85.0,4.693,85.0,4.973,85.0,6.751
M,373.0,Fernandes,85,85,Man Utd,85.0,6.035,85.0,5.356,85.0,6.19,85.0,4.744,85.0,5.07,85.0,6.0,85.0,5.636,85.0,5.464
M,349.0,De Bruyne,105,105,Man City,70.0,5.774,70.0,4.908,70.0,5.824,70.0,5.587,70.0,5.312,70.0,5.874,70.0,5.639,70.0,4.802
M,19.0,Saka,85,85,Arsenal,84.0,5.962,84.0,5.259,84.0,5.744,84.0,5.167,84.0,5.463,84.0,5.679,84.0,5.675,84.0,4.397
M,396.0,Rashford,90,90,Man Utd,80.0,5.799,80.0,5.313,80.0,5.831,80.0,4.487,80.0,4.633,80.0,5.662,80.0,5.398,80.0,5.212
M,108.0,Mbeumo,65,65,Brentford,83.0,5.277,83.0,5.044,83.0,5.211,83.0,5.549,83.0,4.255,83.0,5.39,83.0,5.357,83.0,4.584
M,143.0,Mitoma,65,65,Brighton,82.0,5.592,82.0,5.328,82.0,5.235,82.0,4.4,82.0,4.662,82.0,5.479,82.0,4.809,82.0,4.458
F,8.0,Jesus,80,80,Arsenal,77.0,5.198,77.0,4.898,77.0,5.196,77.0,4.641,77.0,5.143,77.0,4.963,77.0,5.123,77.0,4.234
D,430.0,Trippier,65,65,Newcastle,85.0,4.876,85.0,3.357,85.0,4.419,85.0,4.109,85.0,5.251,85.0,5.792,85.0,6.502,85.0,5.086
M,14.0,Ødegaard,85,85,Arsenal,82.0,5.473,82.0,4.814,82.0,5.207,82.0,4.596,82.0,5.044,82.0,5.007,82.0,5.167,82.0,3.983
M,516.0,Son,90,90,Spurs,77.0,4.721,77.0,4.626,77.0,5.179,77.0,5.25,77.0,5.441,77.0,4.148,77.0,4.272,77.0,5.296
