Infeasible - objective value -432.07839756
      0 squad[318,19]                                    1              -4.0725187
      4 squad[318,23]                                    1                       0
      5 squad[318,24]                                    1                       0
      8 squad[301,21]                                  0.5                       0
      9 squad[301,22]                                    1                       0
     10 squad[301,23]                                    1                       0
**      11 squad[301,24]                                  1.5                       0
**      16 squad[427,23]                                  1.5                       0
**      17 squad[427,24]                                  1.5                       0
     18 squad[283,19]                                    1              -4.5694636
     19 squad[283,20]                                    1                       0
     20 squad[283,21]                                    1                       0
     21 squad[283,22]                                    1                       0
     22 squad[283,23]                                  0.5                       0
     23 squad[283,24]                                  0.5                       0
     24 squad[13,19]                                     1              -1.0908549
     25 squad[13,20]                                     1                       0
     26 squad[13,21]                                     1             -0.22612576
     27 squad[13,22]                                     1                       0
     28 squad[13,23]                                     1                       0
     29 squad[13,24]                                     1                       0
     30 squad[307,19]                                    1                       0
     31 squad[307,20]                                    1                       0
     32 squad[307,21]                                    1                       0
     33 squad[307,22]                                    1                       0
     34 squad[307,23]                                    1          -0.00032658644
     35 squad[307,24]                                    1                       0
**      37 squad[7,20]                                   -3.5                       0
     39 squad[7,22]                                      1                       0
**      40 squad[7,23]                                    1.5                       0
**      41 squad[7,24]                                    1.5                       0
     42 squad[335,19]                                    1                       0
     44 squad[335,21]                                  0.5                       0
     45 squad[335,22]                                  0.5                       0
     46 squad[335,23]                                  0.5                       0
     47 squad[335,24]                                  0.5                       0
**      57 squad[315,22]                                 -0.5                       0
     59 squad[315,24]                                  0.5                       0
     66 squad[19,19]                                     1                       0
     67 squad[19,20]                                     1                       0
     69 squad[19,22]                                     1                       0
     70 squad[19,23]                                     1                       0
**      71 squad[19,24]                                   1.5                       0
     72 squad[357,19]                                    1                       0
     78 squad[210,19]                                    1                       0
     88 squad[609,23]                                    1                       0
    100 squad[15,23]                                     1                       0
    101 squad[15,24]                                   0.5                       0
    102 squad[16,19]                                     1                       0
    103 squad[16,20]                                     1                       0
    105 squad[16,22]                                     1                       0
    106 squad[16,23]                                     1                       0
**     107 squad[16,24]                                   1.5                       0
**     113 squad[327,24]                                  1.5                       0
**     114 squad[10,19]                                   1.5                       0
**     115 squad[10,20]                                   1.5                       0
**     116 squad[10,21]                                   1.5                       0
**     117 squad[10,22]                                   1.5                       0
**     118 squad[10,23]                                   1.5                       0
**     119 squad[10,24]                                    -3                       0
    120 squad[133,19]                                    1                       0
    121 squad[133,20]                                    1                       0
    122 squad[133,21]                                    1                       0
    123 squad[133,22]                                    1            -0.014116121
    124 squad[133,23]                                    1                       0
**     125 squad[133,24]                                  1.5                       0
    130 squad[26,23]                                     1                       0
    132 squad[332,19]                                    1                       0
    133 squad[332,20]                                    1                       0
    135 squad[332,22]                                    1                       0
    136 squad[332,23]                                    1            -0.038944022
**     137 squad[332,24]                                  1.5                       0
    140 squad[124,21]                                    1                       0
    141 squad[124,22]                                    1                       0
    142 squad[124,23]                                    1                       0
    148 squad[3,23]                                      1                       0
    160 squad[40,23]                                     1                       0
**     163 squad[285,20]                                   -1                       0
    166 squad[285,23]                                    1                       0
**     188 squad[369,21]                                  1.5                       0
**     189 squad[369,22]                                  1.5                       0
    196 squad[107,23]                                  0.5                       0
    197 squad[107,24]                                  0.5                       0
