Optimal (within gap tolerance) - objective value -326.26593860
      0 squad[357,26]                                    1                       0
      1 squad[357,27]                                    1                       0
      2 squad[357,28]                                    1                       0
      3 squad[357,29]                                    1                       0
      4 squad[357,30]                                    1                       0
      5 squad[357,31]                                    1                       0
      6 squad[357,32]                                    1                       0
      7 squad[80,26]                                     1                       0
      8 squad[80,27]                                     1                       0
      9 squad[80,28]                                     1                       0
     10 squad[80,29]                                     1                       0
     11 squad[80,30]                                     1                       0
     12 squad[80,31]                                     1                       0
     13 squad[80,32]                                     1                       0
     20 squad[283,32]                                    1                       0
     22 squad[81,27]                                     1                       0
     23 squad[81,28]                                     1                       0
     24 squad[81,29]                                     1                       0
     25 squad[81,30]                                     1                       0
     26 squad[81,31]                                     1                       0
     27 squad[81,32]                                     1                       0
     35 squad[124,26]                                    1                       0
     36 squad[124,27]                                    1                       0
     37 squad[124,28]                                    1                       0
     38 squad[124,29]                                    1                       0
     39 squad[124,30]                                    1                       0
     40 squad[124,31]                                    1                       0
     41 squad[124,32]                                    1                       0
     49 squad[116,26]                                    1                       0
     50 squad[116,27]                                    1                       0
     51 squad[116,28]                                    1                       0
     52 squad[116,29]                                    1                       0
     53 squad[116,30]                                    1                       0
     54 squad[116,31]                                    1                       0
     55 squad[116,32]                                    1                       0
     56 squad[13,26]                                     1                       0
     57 squad[13,27]                                     1                       0
     58 squad[13,28]                                     1                       0
     65 squad[261,28]                                    1                       0
     66 squad[261,29]                                    1                       0
     67 squad[261,30]                                    1                       0
     73 squad[107,29]                                    1                       0
     74 squad[107,30]                                    1                       0
     75 squad[107,31]                                    1                       0
     76 squad[107,32]                                    1                       0
     79 squad[40,28]                                     1                       0
     80 squad[40,29]                                     1                       0
     81 squad[40,30]                                     1                       0
     82 squad[40,31]                                     1                       0
     83 squad[40,32]                                     1                       0
     91 squad[333,26]                                    1                       0
     92 squad[333,27]                                    1                       0
     93 squad[333,28]                                    1                       0
     94 squad[333,29]                                    1                       0
     95 squad[333,30]                                    1                       0
     96 squad[333,31]                                    1                       0
     98 squad[358,26]                                    1                       0
     99 squad[358,27]                                    1                       0
    100 squad[358,28]                                    1                       0
    101 squad[358,29]                                    1                       0
    102 squad[358,30]                                    1                       0
    103 squad[358,31]                                    1                       0
    104 squad[358,32]                                    1                       0
    110 squad[7,31]                                      1                       0
    111 squad[7,32]                                      1                       0
    133 squad[133,26]                                    1                       0
    134 squad[133,27]                                    1                       0
    135 squad[133,28]                                    1                       0
    136 squad[133,29]                                    1                       0
    137 squad[133,30]                                    1                       0
    138 squad[133,31]                                    1                       0
    139 squad[133,32]                                    1                       0
    154 squad[85,26]                                     1                       0
    155 squad[85,27]                                     1                       0
    156 squad[85,28]                                     1                       0
    157 squad[85,29]                                     1                       0
    161 squad[586,26]                                    1                       0
    162 squad[586,27]                                    1                       0
    201 squad[285,31]                                    1                       0
    202 squad[285,32]                                    1                       0
    210 squad[16,26]                                     1                       0
    211 squad[16,27]                                     1                       0
    212 squad[16,28]                                     1                       0
    213 squad[16,29]                                     1                       0
    214 squad[16,30]                                     1                       0
    215 squad[16,31]                                     1                       0
    216 squad[16,32]                                     1                       0
    246 squad[66,27]                                     1                       0
    247 squad[66,28]                                     1                       0
    248 squad[66,29]                                     1                       0
    249 squad[66,30]                                     1                       0
    250 squad[66,31]                                     1                       0
