,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
6,31,Ederson,GKP,1,Man City,5.4,0.0,4.85,89,1,1,-1,0,0,1,0,1,4.848
8,31,Botman,DEF,2,Newcastle,0.0,0.0,3.53,84,1,1,-1,0,0,0,0,1,3.529
13,31,Zinchenko,DEF,2,Arsenal,0.0,0.0,4.12,80,1,1,-1,0,0,0,0,1,4.125
4,31,Trippier,DEF,2,Newcastle,0.0,0.0,4.43,87,1,1,-1,0,0,0,0,1,4.427
3,31,March,MID,3,Brighton,0.0,0.0,4.07,82,1,1,-1,0,0,0,0,1,4.07
2,31,Mac Allister,MID,3,Brighton,0.0,0.0,4.19,82,1,1,-1,0,0,0,0,1,4.189
1,31,Mitoma,MID,3,Brighton,0.0,0.0,4.49,82,1,1,-1,0,0,0,0,1,4.49
5,31,Fernandes,MID,3,Man Utd,0.0,0.0,5.1,84,1,1,-1,0,1,0,0,1,5.1
14,31,Solanke,FWD,4,Bournemouth,0.0,0.0,3.57,84,1,1,-1,0,0,0,0,1,3.569
7,31,Watkins,FWD,4,Aston Villa,0.0,0.0,3.95,86,1,1,-1,0,0,0,0,1,3.948
0,31,Haaland,FWD,4,Man City,0.0,0.0,6.28,80,1,1,-1,1,0,0,0,2,12.566
10,31,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,3.7,85,1,0,0,0,0,0,0,0,0.0
9,31,Maddison,MID,3,Leicester,0.0,0.0,3.39,85,1,0,1,0,0,0,0,0,0.0
11,31,Burn,DEF,2,Newcastle,0.0,0.0,3.3,84,1,0,2,0,0,0,0,0,0.0
12,31,Shaw,DEF,2,Man Utd,0.0,0.0,1.21,21,1,0,3,0,0,0,0,0,0.0
15,31,Neto,GKP,1,Bournemouth,0.0,4.5,3.08,89,0,0,-1,0,0,0,1,0,0.0
39,32,Johnstone,GKP,1,Crystal Palace,0.0,0.0,4.4,86,1,1,-1,0,0,0,0,1,4.396
21,32,Trippier,DEF,2,Newcastle,0.0,0.0,4.48,83,1,1,-1,0,0,0,0,1,4.478
37,32,Zinchenko,DEF,2,Arsenal,0.0,0.0,4.88,78,1,1,-1,0,0,0,0,1,4.876
26,32,Robertson,DEF,2,Liverpool,0.0,0.0,5.3,78,1,1,-1,0,0,0,0,1,5.304
23,32,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,5.63,81,1,1,-1,0,1,0,0,1,5.632
28,32,Bowen,MID,3,West Ham,0.0,0.0,4.25,77,1,1,-1,0,0,0,0,1,4.248
32,32,Maddison,MID,3,Leicester,0.0,0.0,4.51,80,1,1,-1,0,0,0,0,1,4.506
27,32,Ødegaard,MID,3,Arsenal,0.0,0.0,5.05,78,1,1,-1,0,0,0,0,1,5.047
24,32,Saka,MID,3,Arsenal,0.0,0.0,5.53,79,1,1,-1,0,0,0,0,1,5.533
16,32,Salah,MID,3,Liverpool,0.0,0.0,6.41,80,1,1,-1,1,0,0,0,2,12.818
29,32,Watkins,FWD,4,Aston Villa,0.0,0.0,4.34,83,1,1,-1,0,0,0,0,1,4.343
31,32,Fabianski,GKP,1,West Ham,0.0,0.0,4.05,88,1,0,0,0,0,0,0,0,0.0
36,32,Zouma,DEF,2,West Ham,0.0,0.0,4.03,79,1,0,1,0,0,0,0,0,0.0
38,32,Solanke,FWD,4,Bournemouth,0.0,0.0,3.78,80,1,0,2,0,0,0,0,0,0.0
40,32,Greenwood,FWD,4,Leeds,0.0,0.0,1.16,9,1,0,3,0,0,0,0,0,0.0
25,32,Ederson,GKP,1,Man City,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
33,32,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
35,32,Shaw,DEF,2,Man Utd,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
34,32,Burn,DEF,2,Newcastle,0.0,0.0,3.34,83,0,0,-1,0,0,0,0,0,0.0
30,32,Botman,DEF,2,Newcastle,0.0,0.0,3.57,83,0,0,-1,0,0,0,0,0,0.0
18,32,Mitoma,MID,3,Brighton,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
19,32,Mac Allister,MID,3,Brighton,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
20,32,March,MID,3,Brighton,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
22,32,Fernandes,MID,3,Man Utd,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
17,32,Haaland,FWD,4,Man City,0.0,0.0,0.0,0,0,0,-1,0,0,0,0,0,0.0
52,33,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,4.26,86,1,1,-1,0,0,0,0,1,4.265
53,33,Burn,DEF,2,Newcastle,0.0,0.0,3.64,80,1,1,-1,0,0,0,0,1,3.645
50,33,Botman,DEF,2,Newcastle,0.0,0.0,3.85,78,1,1,-1,0,0,0,0,1,3.852
46,33,Trippier,DEF,2,Newcastle,0.0,0.0,4.84,82,1,1,-1,0,0,0,0,1,4.839
47,33,Fernandes,MID,3,Man Utd,0.0,0.0,4.36,79,1,1,-1,0,0,0,0,1,4.355
45,33,March,MID,3,Brighton,0.0,0.0,4.56,79,1,1,-1,0,0,0,0,1,4.564
44,33,Mac Allister,MID,3,Brighton,0.0,0.0,4.79,80,1,1,-1,0,0,0,0,1,4.786
43,33,Mitoma,MID,3,Brighton,0.0,0.0,4.91,76,1,1,-1,0,1,0,0,1,4.91
41,33,Salah,MID,3,Liverpool,12.8,0.0,5.7,79,1,1,-1,1,0,1,0,2,11.41
49,33,Watkins,FWD,4,Aston Villa,0.0,0.0,4.6,81,1,1,-1,0,0,0,0,1,4.598
42,33,Haaland,FWD,4,Man City,0.0,0.0,4.66,75,1,1,-1,0,0,0,0,1,4.663
48,33,Ederson,GKP,1,Man City,0.0,0.0,3.51,87,1,0,0,0,0,0,0,0,0.0
56,33,Solanke,FWD,4,Bournemouth,0.0,0.0,3.84,78,1,0,1,0,0,0,0,0,0.0
54,33,Shaw,DEF,2,Man Utd,0.0,0.0,2.47,65,1,0,2,0,0,0,0,0,0.0
55,33,Zinchenko,DEF,2,Arsenal,0.0,0.0,2.15,74,1,0,3,0,0,0,0,0,0.0
51,33,Maddison,MID,3,Leicester,0.0,8.1,4.26,78,0,0,-1,0,0,0,1,0,0.0
64,34,Ederson,GKP,1,Man City,0.0,0.0,8.93,87,1,1,-1,0,0,0,0,1,8.928
67,34,Botman,DEF,2,Newcastle,0.0,0.0,4.59,78,1,1,-1,0,0,0,0,1,4.587
62,34,Trippier,DEF,2,Newcastle,0.0,0.0,5.7,80,1,1,-1,0,0,0,0,1,5.705
70,34,Shaw,DEF,2,Man Utd,0.0,0.0,6.62,75,1,1,-1,0,0,0,0,1,6.618
65,34,Van Dijk,DEF,2,Liverpool,6.5,0.0,8.43,80,1,1,-1,0,0,1,0,1,8.428
61,34,March,MID,3,Brighton,0.0,0.0,8.7,78,1,1,-1,0,0,0,0,1,8.699
63,34,Fernandes,MID,3,Man Utd,0.0,0.0,8.81,79,1,1,-1,0,0,0,0,1,8.81
60,34,Mac Allister,MID,3,Brighton,0.0,0.0,9.33,78,1,1,-1,0,0,0,0,1,9.329
59,34,Mitoma,MID,3,Brighton,0.0,0.0,9.49,77,1,1,-1,0,0,0,0,1,9.489
57,34,Salah,MID,3,Liverpool,0.0,0.0,11.92,77,1,1,-1,1,0,0,0,2,23.844
58,34,Haaland,FWD,4,Man City,0.0,0.0,11.02,71,1,1,-1,0,1,0,0,1,11.015
68,34,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,3.25,84,1,0,0,0,0,0,0,0,0.0
69,34,Burn,DEF,2,Newcastle,0.0,0.0,4.36,78,1,0,1,0,0,0,0,0,0.0
66,34,Watkins,FWD,4,Aston Villa,0.0,0.0,4.14,79,1,0,2,0,0,0,0,0,0.0
72,34,Solanke,FWD,4,Bournemouth,0.0,0.0,3.76,76,1,0,3,0,0,0,0,0,0.0
71,34,Zinchenko,DEF,2,Arsenal,0.0,5.1,3.72,74,0,0,-1,0,0,0,1,0,0.0
80,35,Ederson,GKP,1,Man City,0.0,0.0,4.52,86,1,1,-1,0,0,0,0,1,4.524
86,35,Shaw,DEF,2,Man Utd,0.0,0.0,3.51,73,1,1,-1,0,0,0,0,1,3.508
81,35,Van Dijk,DEF,2,Liverpool,0.0,0.0,3.86,80,1,1,-1,0,0,0,0,1,3.861
78,35,Trippier,DEF,2,Newcastle,0.0,0.0,3.95,80,1,1,-1,0,0,0,0,1,3.947
