,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
13,10,Raya,GKP,1,Arsenal,0.0,0.0,5.68,85.0,1,1,-1,0,0,0,0,1,5.679453303663459
15,10,Zinchenko,DEF,2,Arsenal,4.9,0.0,5.43,76.0,1,1,-1,0,0,1,0,1,5.432854854947062
4,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.47,87.0,1,1,-1,0,0,0,0,1,5.4683919221724535
10,10,Tsimikas,DEF,2,Liverpool,4.5,0.0,5.81,78.0,1,1,-1,0,0,1,0,1,5.805747750171653
8,10,Cash,DEF,2,Aston Villa,0.0,0.0,5.93,80.0,1,1,-1,0,0,0,0,1,5.928489676753322
9,10,Foden,MID,3,Man City,7.6,0.0,5.53,74.0,1,1,-1,0,0,1,0,1,5.530057235420468
3,10,Maddison,MID,3,Spurs,0.0,0.0,5.63,80.0,1,1,-1,0,0,0,0,1,5.630994774204887
2,10,Saka,MID,3,Arsenal,8.5,0.0,6.41,86.0,1,1,-1,0,0,1,0,1,6.409073352395373
0,10,Salah,MID,3,Liverpool,0.0,0.0,7.36,87.0,1,1,-1,0,1,0,0,1,7.36191954865095
1,10,Son,MID,3,Spurs,0.0,0.0,8.19,77.0,1,1,-1,1,0,0,0,2,16.38720770556625
7,10,J.Alvarez,FWD,4,Man City,0.0,0.0,5.49,78.0,1,1,-1,0,0,0,0,1,5.488750333016029
18,10,Ederson M.,GKP,1,Man City,5.6,0.0,3.42,89.0,1,0,0,0,0,1,0,0,0.0
11,10,Foster,FWD,4,Burnley,5.0,0.0,4.14,75.0,1,0,1,0,0,1,0,0,0.0
14,10,Edouard,FWD,4,Crystal Palace,5.5,0.0,3.9,75.0,1,0,2,0,0,1,0,0,0.0
12,10,Andersen,DEF,2,Crystal Palace,0.0,0.0,3.61,85.0,1,0,3,0,0,0,0,0,0.0
17,10,Leno,GKP,1,Fulham,0.0,4.7,3.19,89.0,0,0,-1,0,0,0,1,0,0.0
21,10,Robertson,DEF,2,Liverpool,0.0,6.5,0.0,0.0,0,0,-1,0,0,0,1,0,0.0
19,10,R.Varane,DEF,2,Man Utd,0.0,5.0,1.86,50.0,0,0,-1,0,0,0,1,0,0.0
5,10,B.Fernandes,MID,3,Man Utd,0.0,8.3,4.27,88.0,0,0,-1,0,0,0,1,0,0.0
6,10,Mbeumo,MID,3,Brentford,0.0,6.6,4.74,83.0,0,0,-1,0,0,0,1,0,0.0
20,10,Mubama,FWD,4,West Ham,0.0,4.3,0.18,1.0,0,0,-1,0,0,0,1,0,0.0
16,10,Solanke,FWD,4,Bournemouth,0.0,6.4,4.28,88.0,0,0,-1,0,0,0,1,0,0.0
36,11,Ederson M.,GKP,1,Man City,0.0,0.0,5.15,89.0,1,1,-1,0,0,0,0,1,5.154283744499515
28,11,Cash,DEF,2,Aston Villa,0.0,0.0,4.57,80.0,1,1,-1,0,0,0,0,1,4.571579269313717
30,11,Tsimikas,DEF,2,Liverpool,0.0,0.0,5.15,78.0,1,1,-1,0,0,0,0,1,5.145003877830751
32,11,Andersen,DEF,2,Crystal Palace,0.0,0.0,5.2,85.0,1,1,-1,0,0,0,0,1,5.199130177189802
24,11,Saka,MID,3,Arsenal,0.0,0.0,4.86,86.0,1,1,-1,0,0,0,0,1,4.862869185715235
23,11,Son,MID,3,Spurs,0.0,0.0,5.88,77.0,1,1,-1,0,0,0,0,1,5.878403635581678
25,11,Maddison,MID,3,Spurs,0.0,0.0,6.11,80.0,1,1,-1,0,0,0,0,1,6.114106505152409
29,11,Foden,MID,3,Man City,0.0,0.0,7.09,74.0,1,1,-1,0,1,0,0,1,7.089296444422378
22,11,Salah,MID,3,Liverpool,0.0,0.0,7.33,87.0,1,1,-1,1,0,0,0,2,14.660962076192737
27,11,J.Alvarez,FWD,4,Man City,0.0,0.0,5.04,78.0,1,1,-1,0,0,0,0,1,5.041204630884539
