,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
11,10,Flekken,GKP,1,Brentford,0.0,0.0,3.04,89.0,1,1,-1,0,0,0,0,1,3.036
10,10,Udogie,DEF,2,Spurs,0.0,0.0,3.68,80.0,1,1,-1,0,0,0,0,1,3.679
4,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.24,87.0,1,1,-1,0,0,0,0,1,5.245
8,10,Saliba,DEF,2,Arsenal,0.0,0.0,5.32,88.0,1,1,-1,0,0,0,0,1,5.321
7,10,Tsimikas,DEF,2,Liverpool,0.0,0.0,5.49,78.0,1,1,-1,0,0,0,0,1,5.488
6,10,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.22,88.0,1,1,-1,0,0,0,0,1,4.221
3,10,Mitoma,MID,3,Brighton,0.0,0.0,5.44,80.0,1,1,-1,0,0,0,0,1,5.439
2,10,Maddison,MID,3,Spurs,0.0,0.0,5.56,80.0,1,1,-1,0,0,0,0,1,5.562
1,10,Son,MID,3,Spurs,0.0,0.0,6.71,77.0,1,1,-1,0,1,0,0,1,6.707
0,10,Salah,MID,3,Liverpool,0.0,0.0,7.44,87.0,1,1,-1,1,0,0,0,2,14.87
5,10,Watkins,FWD,4,Aston Villa,0.0,0.0,5.7,86.0,1,1,-1,0,0,0,0,1,5.705
12,10,Turner,GKP,1,Nott'm Forest,0.0,0.0,2.55,75.0,1,0,0,0,0,0,0,0,0.0
9,10,Morris,FWD,4,Luton,0.0,0.0,3.54,75.0,1,0,1,0,0,0,0,0,0.0
13,10,Antonio,FWD,4,West Ham,0.0,0.0,2.64,65.0,1,0,2,0,0,0,0,0,0.0
14,10,Botman,DEF,2,Newcastle,0.0,0.0,0.0,0.0,1,0,3,0,0,0,0,0,0.0
27,11,Flekken,GKP,1,Brentford,0.0,0.0,3.74,89.0,1,1,-1,0,0,0,0,1,3.737
26,11,Udogie,DEF,2,Spurs,0.0,0.0,3.4,80.0,1,1,-1,0,0,0,0,1,3.405
19,11,Trippier,DEF,2,Newcastle,0.0,0.0,4.54,87.0,1,1,-1,0,0,0,0,1,4.535
23,11,Tsimikas,DEF,2,Liverpool,0.0,0.0,4.82,78.0,1,1,-1,0,0,0,0,1,4.824
18,11,Mitoma,MID,3,Brighton,0.0,0.0,4.99,80.0,1,1,-1,0,0,0,0,1,4.993
21,11,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.99,88.0,1,1,-1,0,0,0,0,1,4.989
17,11,Maddison,MID,3,Spurs,0.0,0.0,5.26,80.0,1,1,-1,0,0,0,0,1,5.255
16,11,Son,MID,3,Spurs,0.0,0.0,6.34,77.0,1,1,-1,0,1,0,0,1,6.344
15,11,Salah,MID,3,Liverpool,0.0,0.0,7.47,87.0,1,1,-1,1,0,0,0,2,14.932
20,11,Watkins,FWD,4,Aston Villa,0.0,0.0,4.97,86.0,1,1,-1,0,0,0,0,1,4.968
22,11,J.Alvarez,FWD,4,Man City,7.1,0.0,5.43,78.0,1,1,-1,0,0,1,0,1,5.431
28,11,Turner,GKP,1,Nott'm Forest,0.0,0.0,2.83,75.0,1,0,0,0,0,0,0,0,0.0
25,11,Morris,FWD,4,Luton,0.0,0.0,3.42,75.0,1,0,1,0,0,0,0,0,0.0
24,11,Saliba,DEF,2,Arsenal,0.0,0.0,2.53,88.0,1,0,2,0,0,0,0,0,0.0
30,11,Botman,DEF,2,Newcastle,0.0,0.0,0.0,0.0,1,0,3,0,0,0,0,0,0.0
29,11,Antonio,FWD,4,West Ham,0.0,5.8,2.54,65.0,0,0,-1,0,0,0,1,0,0.0
40,12,Raya,GKP,1,Arsenal,4.8,0.0,5.36,85.0,1,1,-1,0,0,1,0,1,5.358
39,12,Tsimikas,DEF,2,Liverpool,0.0,0.0,4.14,78.0,1,1,-1,0,0,0,0,1,4.139
41,12,Saliba,DEF,2,Arsenal,0.0,0.0,5.25,88.0,1,1,-1,0,0,0,0,1,5.253
35,12,Trippier,DEF,2,Newcastle,0.0,0.0,5.37,87.0,1,1,-1,0,0,0,0,1,5.366
37,12,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.92,88.0,1,1,-1,0,0,0,0,1,5.918
33,12,Maddison,MID,3,Spurs,0.0,0.0,5.96,80.0,1,1,-1,0,0,0,0,1,5.965
34,12,Mitoma,MID,3,Brighton,0.0,0.0,6.41,80.0,1,1,-1,0,0,0,0,1,6.408
31,12,Salah,MID,3,Liverpool,0.0,0.0,6.67,87.0,1,1,-1,0,1,0,0,1,6.668
32,12,Son,MID,3,Spurs,0.0,0.0,7.14,77.0,1,1,-1,1,0,0,0,2,14.27
38,12,J.Alvarez,FWD,4,Man City,0.0,0.0,4.48,78.0,1,1,-1,0,0,0,0,1,4.478
36,12,Watkins,FWD,4,Aston Villa,0.0,0.0,4.96,86.0,1,1,-1,0,0,0,0,1,4.956
45,12,Turner,GKP,1,Nott'm Forest,0.0,0.0,3.0,75.0,1,0,0,0,0,0,0,0,0.0
43,12,Udogie,DEF,2,Spurs,0.0,0.0,3.95,80.0,1,0,1,0,0,0,0,0,0.0
42,12,Morris,FWD,4,Luton,0.0,0.0,3.65,75.0,1,0,2,0,0,0,0,0,0.0
46,12,Botman,DEF,2,Newcastle,0.0,0.0,0.0,0.0,1,0,3,0,0,0,0,0,0.0
44,12,Flekken,GKP,1,Brentford,0.0,4.5,2.78,89.0,0,0,-1,0,0,0,1,0,0.0
58,13,Raya,GKP,1,Arsenal,0.0,0.0,3.46,85.0,1,1,-1,0,0,0,0,1,3.457
61,13,Udogie,DEF,2,Spurs,0.0,0.0,3.31,80.0,1,1,-1,0,0,0,0,1,3.312
52,13,Trippier,DEF,2,Newcastle,0.0,0.0,4.84,87.0,1,1,-1,0,0,0,0,1,4.835
