,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
11,4,Onana,GKP,1,Man Utd,0.0,0.0,2.83,89.0,1,1,-1,0,0,0,0,1,2.83
10,4,Estupiñan,DEF,2,Brighton,0.0,0.0,3.39,80.0,1,1,-1,0,0,0,0,1,3.393
8,4,Udogie,DEF,2,Spurs,4.6,0.0,4.37,79.0,1,1,-1,0,0,1,0,1,4.369
7,4,Chilwell,DEF,2,Chelsea,0.0,0.0,4.88,80.0,1,1,-1,0,0,0,0,1,4.885
5,4,Mitoma,MID,3,Brighton,0.0,0.0,4.25,80.0,1,1,-1,0,0,0,0,1,4.25
2,4,Rashford,MID,3,Man Utd,0.0,0.0,4.44,82.0,1,1,-1,0,0,0,0,1,4.445
4,4,Martinelli,MID,3,Arsenal,0.0,0.0,4.62,75.0,1,1,-1,0,0,0,0,1,4.625
1,4,Saka,MID,3,Arsenal,0.0,0.0,5.22,85.0,1,1,-1,0,0,0,0,1,5.219
3,4,Mbeumo,MID,3,Brentford,0.0,0.0,5.43,83.0,1,1,-1,0,1,0,0,1,5.428
9,4,Wissa,FWD,4,Brentford,0.0,0.0,4.05,75.0,1,1,-1,0,0,0,0,1,4.054
0,4,Haaland,FWD,4,Man City,0.0,0.0,6.46,85.0,1,1,-1,1,0,0,0,2,12.928
15,4,Rodák,GKP,1,Fulham,0.0,0.0,0.04,1.0,1,0,0,0,0,0,0,0,0.0
6,4,Watkins,FWD,4,Aston Villa,0.0,0.0,3.65,84.0,1,0,1,0,0,0,0,0,0.0
13,4,Baldock,DEF,2,Sheffield Utd,0.0,0.0,3.02,77.0,1,0,2,0,0,0,0,0,0.0
12,4,Cash,DEF,2,Aston Villa,0.0,0.0,2.29,77.0,1,0,3,0,0,0,0,0,0.0
14,4,Gabriel,DEF,2,Arsenal,0.0,4.9,0.74,15.0,0,0,-1,0,0,0,1,0,0.0
27,5,Onana,GKP,1,Man Utd,0.0,0.0,3.26,89.0,1,1,-1,0,0,0,0,1,3.256
26,5,Estupiñan,DEF,2,Brighton,0.0,0.0,3.41,80.0,1,1,-1,0,0,0,0,1,3.408
23,5,Chilwell,DEF,2,Chelsea,0.0,0.0,4.27,80.0,1,1,-1,0,0,0,0,1,4.271
24,5,Udogie,DEF,2,Spurs,0.0,0.0,5.09,79.0,1,1,-1,0,0,0,0,1,5.086
19,5,Mbeumo,MID,3,Brentford,0.0,0.0,4.16,83.0,1,1,-1,0,0,0,0,1,4.156
21,5,Mitoma,MID,3,Brighton,0.0,0.0,4.51,80.0,1,1,-1,0,0,0,0,1,4.509
18,5,Rashford,MID,3,Man Utd,0.0,0.0,4.59,82.0,1,1,-1,0,0,0,0,1,4.593
20,5,Martinelli,MID,3,Arsenal,0.0,0.0,5.04,75.0,1,1,-1,0,0,0,0,1,5.043
17,5,Saka,MID,3,Arsenal,0.0,0.0,5.53,85.0,1,1,-1,0,1,0,0,1,5.532
22,5,Watkins,FWD,4,Aston Villa,0.0,0.0,4.2,84.0,1,1,-1,0,0,0,0,1,4.203
16,5,Haaland,FWD,4,Man City,0.0,0.0,6.05,85.0,1,1,-1,1,0,0,0,2,12.104
30,5,Rodák,GKP,1,Fulham,0.0,0.0,0.07,1.0,1,0,0,0,0,0,0,0,0.0
25,5,Wissa,FWD,4,Brentford,0.0,0.0,3.4,75.0,1,0,1,0,0,0,0,0,0.0
28,5,Cash,DEF,2,Aston Villa,0.0,0.0,3.29,77.0,1,0,2,0,0,0,0,0,0.0
29,5,Baldock,DEF,2,Sheffield Utd,0.0,0.0,2.3,77.0,1,0,3,0,0,0,0,0,0.0
45,6,Onana,GKP,1,Man Utd,0.0,0.0,3.89,89.0,1,1,-1,0,0,0,0,1,3.894
41,6,Chilwell,DEF,2,Chelsea,0.0,0.0,3.84,80.0,1,1,-1,0,0,0,0,1,3.835
44,6,Estupiñan,DEF,2,Brighton,0.0,0.0,5.28,80.0,1,1,-1,0,0,0,0,1,5.281
33,6,Trippier,DEF,2,Newcastle,6.5,0.0,5.86,87.0,1,1,-1,0,1,1,0,1,5.859
39,6,Mitoma,MID,3,Brighton,0.0,0.0,5.3,80.0,1,1,-1,0,0,0,0,1,5.305
36,6,Mbeumo,MID,3,Brentford,0.0,0.0,5.33,83.0,1,1,-1,0,0,0,0,1,5.334
34,6,Saka,MID,3,Arsenal,0.0,0.0,5.57,85.0,1,1,-1,0,0,0,0,1,5.568
35,6,Rashford,MID,3,Man Utd,0.0,0.0,5.58,82.0,1,1,-1,0,0,0,0,1,5.582
31,6,Salah,MID,3,Liverpool,12.5,0.0,7.06,87.0,1,1,-1,1,0,1,0,2,14.122
40,6,Watkins,FWD,4,Aston Villa,0.0,0.0,4.14,84.0,1,1,-1,0,0,0,0,1,4.135
38,6,Isak,FWD,4,Newcastle,7.7,0.0,5.62,75.0,1,1,-1,0,0,1,0,1,5.616
48,6,Rodák,GKP,1,Fulham,0.0,0.0,0.06,1.0,1,0,0,0,0,0,0,0,0.0
43,6,Wissa,FWD,4,Brentford,0.0,0.0,3.98,75.0,1,0,1,0,0,0,0,0,0.0
42,6,Udogie,DEF,2,Spurs,0.0,0.0,2.84,79.0,1,0,2,0,0,0,0,0,0.0
47,6,Baldock,DEF,2,Sheffield Utd,0.0,0.0,1.84,77.0,1,0,3,0,0,0,0,0,0.0
46,6,Cash,DEF,2,Aston Villa,0.0,4.5,2.84,77.0,0,0,-1,0,0,0,1,0,0.0
37,6,Martinelli,MID,3,Arsenal,0.0,8.0,4.91,75.0,0,0,-1,0,0,0,1,0,0.0
32,6,Haaland,FWD,4,Man City,0.0,14.0,6.78,85.0,0,0,-1,0,0,0,1,0,0.0
57,7,Pope,GKP,1,Newcastle,5.5,0.0,5.47,89.0,1,1,-1,0,0,1,0,1,5.47
61,7,Estupiñan,DEF,2,Brighton,0.0,0.0,3.61,80.0,1,1,-1,0,0,0,0,1,3.614
58,7,Chilwell,DEF,2,Chelsea,0.0,0.0,4.05,80.0,1,1,-1,0,0,0,0,1,4.053
50,7,Trippier,DEF,2,Newcastle,0.0,0.0,6.76,87.0,1,1,-1,1,0,0,0,2,13.528
55,7,Mitoma,MID,3,Brighton,0.0,0.0,4.67,80.0,1,1,-1,0,0,0,0,1,4.667
52,7,Rashford,MID,3,Man Utd,0.0,0.0,5.22,82.0,1,1,-1,0,0,0,0,1,5.221
53,7,Mbeumo,MID,3,Brentford,0.0,0.0,5.24,83.0,1,1,-1,0,0,0,0,1,5.242
51,7,Saka,MID,3,Arsenal,0.0,0.0,5.64,85.0,1,1,-1,0,0,0,0,1,5.635
49,7,Salah,MID,3,Liverpool,0.0,0.0,6.38,87.0,1,1,-1,0,1,0,0,1,6.38
60,7,Wissa,FWD,4,Brentford,0.0,0.0,4.05,75.0,1,1,-1,0,0,0,0,1,4.048
54,7,Isak,FWD,4,Newcastle,0.0,0.0,5.0,75.0,1,1,-1,0,0,0,0,1,5.005
64,7,Rodák,GKP,1,Fulham,0.0,0.0,0.06,1.0,1,0,0,0,0,0,0,0,0.0
56,7,Watkins,FWD,4,Aston Villa,0.0,0.0,3.71,84.0,1,0,1,0,0,0,0,0,0.0
59,7,Udogie,DEF,2,Spurs,0.0,0.0,3.25,79.0,1,0,2,0,0,0,0,0,0.0
63,7,Baldock,DEF,2,Sheffield Utd,0.0,0.0,2.33,77.0,1,0,3,0,0,0,0,0,0.0
62,7,Onana,GKP,1,Man Utd,0.0,5.0,3.71,89.0,0,0,-1,0,0,0,1,0,0.0
73,8,Pope,GKP,1,Newcastle,0.0,0.0,4.07,89.0,1,1,-1,0,0,0,0,1,4.074
74,8,Chilwell,DEF,2,Chelsea,0.0,0.0,4.44,80.0,1,1,-1,0,0,0,0,1,4.437
75,8,Udogie,DEF,2,Spurs,0.0,0.0,4.45,79.0,1,1,-1,0,0,0,0,1,4.45
66,8,Trippier,DEF,2,Newcastle,0.0,0.0,5.14,87.0,1,1,-1,0,1,0,0,1,5.143
71,8,Mitoma,MID,3,Brighton,0.0,0.0,4.31,80.0,1,1,-1,0,0,0,0,1,4.308
67,8,Saka,MID,3,Arsenal,0.0,0.0,4.44,85.0,1,1,-1,0,0,0,0,1,4.44
69,8,Mbeumo,MID,3,Brentford,0.0,0.0,4.47,83.0,1,1,-1,0,0,0,0,1,4.472
68,8,Rashford,MID,3,Man Utd,0.0,0.0,5.13,82.0,1,1,-1,0,0,0,0,1,5.13
65,8,Salah,MID,3,Liverpool,0.0,0.0,5.57,87.0,1,1,-1,1,0,0,0,2,11.136
72,8,Watkins,FWD,4,Aston Villa,0.0,0.0,4.52,84.0,1,1,-1,0,0,0,0,1,4.522
70,8,Isak,FWD,4,Newcastle,0.0,0.0,4.64,75.0,1,1,-1,0,0,0,0,1,4.638
79,8,Rodák,GKP,1,Fulham,0.0,0.0,0.07,1.0,1,0,0,0,0,0,0,0,0.0
76,8,Wissa,FWD,4,Brentford,0.0,0.0,3.63,75.0,1,0,1,0,0,0,0,0,0.0
77,8,Estupiñan,DEF,2,Brighton,0.0,0.0,3.44,80.0,1,0,2,0,0,0,0,0,0.0
78,8,Baldock,DEF,2,Sheffield Utd,0.0,0.0,2.47,77.0,1,0,3,0,0,0,0,0,0.0
88,9,Pope,GKP,1,Newcastle,0.0,0.0,4.45,89.0,1,1,-1,0,0,0,0,1,4.452
89,9,Chilwell,DEF,2,Chelsea,0.0,0.0,3.3,80.0,1,1,-1,0,0,0,0,1,3.296
90,9,Udogie,DEF,2,Spurs,0.0,0.0,4.46,79.0,1,1,-1,0,0,0,0,1,4.459
81,9,Trippier,DEF,2,Newcastle,0.0,0.0,5.53,87.0,1,1,-1,0,0,0,0,1,5.531
82,9,Saka,MID,3,Arsenal,0.0,0.0,5.22,85.0,1,1,-1,0,0,0,0,1,5.222
84,9,Mbeumo,MID,3,Brentford,0.0,0.0,5.67,83.0,1,1,-1,0,0,0,0,1,5.672
83,9,Rashford,MID,3,Man Utd,0.0,0.0,6.49,82.0,1,1,-1,0,1,0,0,1,6.49
80,9,Salah,MID,3,Liverpool,0.0,0.0,7.2,87.0,1,1,-1,1,0,0,0,2,14.402
91,9,Wissa,FWD,4,Brentford,0.0,0.0,4.09,75.0,1,1,-1,0,0,0,0,1,4.09
87,9,Watkins,FWD,4,Aston Villa,0.0,0.0,4.34,84.0,1,1,-1,0,0,0,0,1,4.345
85,9,Isak,FWD,4,Newcastle,0.0,0.0,4.7,75.0,1,1,-1,0,0,0,0,1,4.7
94,9,Rodák,GKP,1,Fulham,0.0,0.0,0.05,1.0,1,0,0,0,0,0,0,0,0.0
86,9,Mitoma,MID,3,Brighton,0.0,0.0,3.99,80.0,1,0,1,0,0,0,0,0,0.0
92,9,Estupiñan,DEF,2,Brighton,0.0,0.0,2.51,80.0,1,0,2,0,0,0,0,0,0.0
93,9,Baldock,DEF,2,Sheffield Utd,0.0,0.0,2.2,77.0,1,0,3,0,0,0,0,0,0.0
