,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
2,27,Raya,GKP,1,Brentford,4.8,0.0,8.37,89,1,1,-1,0,0,1,0,1,8.367
10,27,Zinchenko,DEF,2,Arsenal,0.0,0.0,4.39,81,1,1,-1,0,0,0,0,1,4.391
11,27,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,4.84,86,1,1,-1,0,0,0,0,1,4.838
8,27,Henry,DEF,2,Brentford,4.5,0.0,7.13,82,1,1,-1,0,0,1,0,1,7.126
9,27,Estupiñán,DEF,2,Brighton,0.0,0.0,8.8,75,1,1,-1,0,0,0,0,1,8.8
4,27,Saka,MID,3,Arsenal,0.0,0.0,5.06,86,1,1,-1,0,0,0,0,1,5.064
1,27,Salah,MID,3,Liverpool,0.0,0.0,6.32,83,1,1,-1,0,0,0,0,1,6.321
5,27,March,MID,3,Brighton,0.0,0.0,8.76,84,1,1,-1,0,0,0,0,1,8.763
3,27,Mitoma,MID,3,Brighton,0.0,0.0,9.76,81,1,1,-1,0,1,0,0,1,9.756
12,27,Haaland,FWD,4,Man City,0.0,0.0,6.14,79,1,1,-1,0,0,0,0,1,6.14
0,27,Toney,FWD,4,Brentford,0.0,0.0,9.81,87,1,1,-1,1,0,0,0,2,19.616
7,27,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,4.27,89,1,0,0,0,0,0,0,0,0.0
6,27,Ødegaard,MID,3,Arsenal,0.0,0.0,4.31,72,1,0,1,0,0,0,0,0,0.0
14,27,Johnson,FWD,4,Nott'm Forest,0.0,0.0,3.05,82,1,0,2,0,0,0,0,0,0.0
16,27,Tarkowski,DEF,2,Everton,0.0,0.0,3.0,87,1,0,3,0,0,0,0,0,0.0
13,27,Alisson,GKP,1,Liverpool,0.0,5.4,4.24,89,0,0,-1,0,0,0,1,0,0.0
15,27,Kilman,DEF,2,Wolves,0.0,4.3,2.61,83,0,0,-1,0,0,0,1,0,0.0
31,28,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,5.2,88,1,1,-1,0,1,0,0,1,5.2
28,28,Burn,DEF,2,Newcastle,4.5,0.0,4.09,79,1,1,-1,0,0,1,0,1,4.091
27,28,Schär,DEF,2,Newcastle,5.1,0.0,4.25,80,1,1,-1,0,0,1,0,1,4.252
38,28,W.Fofana,DEF,2,Chelsea,4.3,0.0,4.44,74,1,1,-1,0,0,1,0,1,4.438
40,28,James,DEF,2,Chelsea,5.8,0.0,4.91,71,1,1,-1,0,0,1,0,1,4.912
