,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
13,7,Kaminski,GKP,1,Luton,0.0,0.0,7.3,89.0,1,1,-1,0,0,0,0,1,7.296
5,7,Estupiñan,DEF,2,Brighton,0.0,0.0,4.42,75.0,1,1,-1,0,0,0,0,1,4.422
16,7,Andersen,DEF,2,Luton,0.0,0.0,4.96,50.0,1,1,-1,0,0,0,0,1,4.962
8,7,Botman,DEF,2,Newcastle,0.0,0.0,5.83,82.0,1,1,-1,0,0,0,0,1,5.833
14,7,Kaboré,DEF,2,Luton,0.0,0.0,6.28,72.0,1,1,-1,0,0,0,0,1,6.284
2,7,Son,MID,3,Spurs,0.0,0.0,5.17,82.0,1,1,-1,0,0,0,0,1,5.172
4,7,Mbeumo,MID,3,Brentford,0.0,0.0,5.54,83.0,1,1,-1,0,0,0,0,1,5.535
0,7,Salah,MID,3,Liverpool,0.0,0.0,6.31,85.0,1,1,-1,0,0,0,0,1,6.314
3,7,Saka,MID,3,Arsenal,0.0,0.0,6.39,85.0,1,1,-1,0,0,0,0,1,6.394
10,7,Brownhill,MID,3,Burnley,4.8,0.0,8.11,82.0,1,1,-1,1,0,1,0,2,16.218
1,7,Haaland,FWD,4,Man City,0.0,0.0,7.51,86.0,1,1,-1,0,1,0,0,1,7.51
9,7,Leno,GKP,1,Fulham,0.0,0.0,4.06,89.0,1,0,0,0,0,0,0,0,0.0
7,7,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.33,75.0,1,0,1,0,0,0,0,0,0.0
6,7,Cash,DEF,2,Aston Villa,4.7,0.0,3.68,74.0,1,0,2,0,0,1,0,0,0.0
12,7,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.38,78.0,1,0,3,0,0,0,0,0,0.0
11,7,Saliba,DEF,2,Arsenal,0.0,5.1,3.82,82.0,0,0,-1,0,0,0,1,0,0.0
15,7,Trossard,MID,3,Arsenal,0.0,6.6,2.81,35.0,0,0,-1,0,0,0,1,0,0.0
27,8,Leno,GKP,1,Fulham,0.0,0.0,5.16,89.0,1,1,-1,0,0,0,0,1,5.164
26,8,Botman,DEF,2,Newcastle,0.0,0.0,3.99,82.0,1,1,-1,0,0,0,0,1,3.991
23,8,Estupiñan,DEF,2,Brighton,0.0,0.0,4.15,75.0,1,1,-1,0,0,0,0,1,4.148
24,8,Cash,DEF,2,Aston Villa,0.0,0.0,4.57,74.0,1,1,-1,0,0,0,0,1,4.567
20,8,Saka,MID,3,Arsenal,0.0,0.0,4.78,85.0,1,1,-1,0,0,0,0,1,4.776
22,8,Diaby,MID,3,Aston Villa,6.6,0.0,4.96,77.0,1,1,-1,0,0,1,0,1,4.958
21,8,Mbeumo,MID,3,Brentford,0.0,0.0,5.04,83.0,1,1,-1,0,0,0,0,1,5.043
17,8,Salah,MID,3,Liverpool,0.0,0.0,5.71,85.0,1,1,-1,0,1,0,0,1,5.712
19,8,Son,MID,3,Spurs,0.0,0.0,7.54,82.0,1,1,-1,1,0,0,0,2,15.072
25,8,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.75,75.0,1,1,-1,0,0,0,0,1,4.75
18,8,Haaland,FWD,4,Man City,0.0,0.0,5.55,86.0,1,1,-1,0,0,0,0,1,5.549
30,8,Kaminski,GKP,1,Luton,0.0,0.0,3.42,89.0,1,0,0,0,0,0,0,0,0.0
29,8,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.56,78.0,1,0,1,0,0,0,0,0,0.0
31,8,Kaboré,DEF,2,Luton,0.0,0.0,2.82,72.0,1,0,2,0,0,0,0,0,0.0
32,8,Andersen,DEF,2,Luton,0.0,0.0,1.95,50.0,1,0,3,0,0,0,0,0,0.0
28,8,Brownhill,MID,3,Burnley,0.0,4.8,3.46,82.0,0,0,-1,0,0,0,1,0,0.0
43,9,Leno,GKP,1,Fulham,0.0,0.0,3.9,89.0,1,1,-1,0,0,0,0,1,3.899
39,9,Estupiñan,DEF,2,Brighton,0.0,0.0,3.09,75.0,1,1,-1,0,0,0,0,1,3.091
42,9,Botman,DEF,2,Newcastle,0.0,0.0,4.25,82.0,1,1,-1,0,0,0,0,1,4.247
40,9,Cash,DEF,2,Aston Villa,0.0,0.0,4.5,74.0,1,1,-1,0,0,0,0,1,4.499
38,9,Diaby,MID,3,Aston Villa,0.0,0.0,4.75,77.0,1,1,-1,0,0,0,0,1,4.747
36,9,Saka,MID,3,Arsenal,0.0,0.0,5.22,85.0,1,1,-1,0,0,0,0,1,5.221
35,9,Son,MID,3,Spurs,0.0,0.0,6.36,82.0,1,1,-1,0,0,0,0,1,6.362
37,9,Mbeumo,MID,3,Brentford,0.0,0.0,6.76,83.0,1,1,-1,0,1,0,0,1,6.764
33,9,Salah,MID,3,Liverpool,0.0,0.0,7.16,85.0,1,1,-1,1,0,0,0,2,14.31
41,9,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.07,75.0,1,1,-1,0,0,0,0,1,4.074
34,9,Haaland,FWD,4,Man City,0.0,0.0,6.56,86.0,1,1,-1,0,0,0,0,1,6.559
45,9,Kaminski,GKP,1,Luton,0.0,0.0,3.33,89.0,1,0,0,0,0,0,0,0,0.0
44,9,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.37,78.0,1,0,1,0,0,0,0,0,0.0
46,9,Kaboré,DEF,2,Luton,0.0,0.0,2.82,72.0,1,0,2,0,0,0,0,0,0.0
47,9,Andersen,DEF,2,Luton,0.0,0.0,2.09,50.0,1,0,3,0,0,0,0,0,0.0
59,10,Raya,GKP,1,Arsenal,4.8,0.0,5.42,85.0,1,1,-1,0,0,1,0,1,5.415
57,10,Botman,DEF,2,Newcastle,0.0,0.0,4.35,82.0,1,1,-1,0,0,0,0,1,4.352
54,10,Estupiñan,DEF,2,Brighton,0.0,0.0,5.55,75.0,1,1,-1,0,0,0,0,1,5.554
55,10,Cash,DEF,2,Aston Villa,0.0,0.0,6.49,74.0,1,1,-1,0,0,0,0,1,6.489
52,10,Mbeumo,MID,3,Brentford,0.0,0.0,4.72,83.0,1,1,-1,0,0,0,0,1,4.725
50,10,Son,MID,3,Spurs,0.0,0.0,5.57,82.0,1,1,-1,0,0,0,0,1,5.567
53,10,Diaby,MID,3,Aston Villa,0.0,0.0,6.0,77.0,1,1,-1,0,0,0,0,1,6.005
51,10,Saka,MID,3,Arsenal,0.0,0.0,6.83,85.0,1,1,-1,0,1,0,0,1,6.828
48,10,Salah,MID,3,Liverpool,0.0,0.0,7.47,85.0,1,1,-1,1,0,0,0,2,14.946
