,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
12,10,Raya,GKP,1,Arsenal,0.0,0.0,5.61,85.0,1,1,-1,0,0,0,0,1,5.605454256212071
14,10,Zinchenko,DEF,2,Arsenal,4.9,0.0,4.85,76.0,1,1,-1,0,0,1,0,1,4.847020056899007
10,10,Tsimikas,DEF,2,Liverpool,4.5,0.0,5.18,78.0,1,1,-1,0,0,1,0,1,5.1764221837282065
9,10,Cash,DEF,2,Aston Villa,0.0,0.0,6.09,80.0,1,1,-1,0,0,0,0,1,6.093163764146713
4,10,Mitoma,MID,3,Brighton,6.5,0.0,4.51,76.0,1,1,-1,0,0,1,0,1,4.513196042820178
16,10,McTominay,MID,3,Man Utd,4.8,0.0,5.2,62.0,1,1,-1,0,0,1,0,1,5.200263016232553
3,10,Maddison,MID,3,Spurs,0.0,0.0,5.6,80.0,1,1,-1,0,0,0,0,1,5.60172814394893
1,10,Son,MID,3,Spurs,0.0,0.0,6.57,77.0,1,1,-1,0,1,0,0,1,6.567068727743281
0,10,Salah,MID,3,Liverpool,0.0,0.0,7.07,87.0,1,1,-1,1,0,0,0,2,14.148931401281255
8,10,J.Alvarez,FWD,4,Man City,0.0,0.0,5.12,78.0,1,1,-1,0,0,0,0,1,5.121140309615851
2,10,Haaland,FWD,4,Man City,14.0,0.0,5.99,88.0,1,1,-1,0,0,1,0,1,5.985861362939321
17,10,Leno,GKP,1,Fulham,0.0,0.0,3.36,89.0,1,0,0,0,0,0,0,0,0.0
18,10,Lascelles,DEF,2,Newcastle,4.0,0.0,4.04,80.0,1,0,1,0,0,1,0,0,0.0
11,10,Andersen,DEF,2,Crystal Palace,0.0,0.0,3.88,85.0,1,0,2,0,0,0,0,0,0.0
13,10,Edouard,FWD,4,Crystal Palace,5.5,0.0,3.54,75.0,1,0,3,0,0,1,0,0,0.0
21,10,Robertson,DEF,2,Liverpool,0.0,6.5,0.0,0.0,0,0,-1,0,0,0,1,0,0.0
19,10,R.Varane,DEF,2,Man Utd,0.0,5.0,3.7,50.0,0,0,-1,0,0,0,1,0,0.0
5,10,Trippier,DEF,2,Newcastle,0.0,6.9,4.95,87.0,0,0,-1,0,0,0,1,0,0.0
6,10,B.Fernandes,MID,3,Man Utd,0.0,8.3,4.39,88.0,0,0,-1,0,0,0,1,0,0.0
7,10,Mbeumo,MID,3,Brentford,0.0,6.6,4.6,83.0,0,0,-1,0,0,0,1,0,0.0
20,10,Mubama,FWD,4,West Ham,0.0,4.3,0.21,1.0,0,0,-1,0,0,0,1,0,0.0
15,10,Solanke,FWD,4,Bournemouth,0.0,6.4,4.33,88.0,0,0,-1,0,0,0,1,0,0.0
35,11,Leno,GKP,1,Fulham,0.0,0.0,4.08,89.0,1,1,-1,0,0,0,0,1,4.083245552813548
28,11,Cash,DEF,2,Aston Villa,0.0,0.0,4.87,80.0,1,1,-1,0,0,0,0,1,4.8704259398665135
29,11,Tsimikas,DEF,2,Liverpool,0.0,0.0,5.07,78.0,1,1,-1,0,0,0,0,1,5.068232239812384
30,11,Andersen,DEF,2,Crystal Palace,0.0,0.0,5.31,85.0,1,1,-1,0,0,0,0,1,5.3130491628724705
25,11,Maddison,MID,3,Spurs,0.0,0.0,5.1,80.0,1,1,-1,0,0,0,0,1,5.102977332923222
26,11,Mitoma,MID,3,Brighton,0.0,0.0,5.29,76.0,1,1,-1,0,0,0,0,1,5.292489043309733
23,11,Son,MID,3,Spurs,0.0,0.0,6.24,77.0,1,1,-1,0,0,0,0,1,6.238624841948745
22,11,Salah,MID,3,Liverpool,0.0,0.0,7.13,87.0,1,1,-1,0,1,0,0,1,7.132082913514894
27,11,J.Alvarez,FWD,4,Man City,0.0,0.0,4.77,78.0,1,1,-1,0,0,0,0,1,4.773252292197659
32,11,Edouard,FWD,4,Crystal Palace,0.0,0.0,5.23,75.0,1,1,-1,0,0,0,0,1,5.230655096805008
24,11,Haaland,FWD,4,Man City,0.0,0.0,7.45,88.0,1,1,-1,1,0,0,0,2,14.908738422791714
31,11,Raya,GKP,1,Arsenal,0.0,0.0,3.07,85.0,1,0,0,0,0,0,0,0,0.0
36,11,Lascelles,DEF,2,Newcastle,0.0,0.0,3.3,80.0,1,0,1,0,0,0,0,0,0.0
33,11,Zinchenko,DEF,2,Arsenal,0.0,0.0,2.51,76.0,1,0,2,0,0,0,0,0,0.0
34,11,McTominay,MID,3,Man Utd,0.0,0.0,2.15,62.0,1,0,3,0,0,0,0,0,0.0
46,12,Raya,GKP,1,Arsenal,0.0,0.0,5.62,85.0,1,1,-1,0,0,0,0,1,5.620263272342343
45,12,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.89,85.0,1,1,-1,0,0,0,0,1,4.887626861530592
48,12,Zinchenko,DEF,2,Arsenal,0.0,0.0,5.9,76.0,1,1,-1,0,0,0,0,1,5.89562463534104
43,12,Cash,DEF,2,Aston Villa,0.0,0.0,5.91,80.0,1,1,-1,0,0,0,0,1,5.913384391603743
41,12,Mitoma,MID,3,Brighton,0.0,0.0,5.92,76.0,1,1,-1,0,0,0,0,1,5.924106631713918
40,12,Maddison,MID,3,Spurs,0.0,0.0,5.95,80.0,1,1,-1,0,0,0,0,1,5.952808273184999
37,12,Salah,MID,3,Liverpool,0.0,0.0,6.88,87.0,1,1,-1,0,0,0,0,1,6.878778333553698
49,12,McTominay,MID,3,Man Utd,0.0,0.0,6.95,62.0,1,1,-1,0,1,0,0,1,6.949811636491897
38,12,Son,MID,3,Spurs,0.0,0.0,7.7,77.0,1,1,-1,1,0,0,0,2,15.392258811004385
42,12,J.Alvarez,FWD,4,Man City,0.0,0.0,5.21,78.0,1,1,-1,0,0,0,0,1,5.2070647765857165
39,12,Haaland,FWD,4,Man City,0.0,0.0,5.25,88.0,1,1,-1,0,0,0,0,1,5.253213998060767
50,12,Leno,GKP,1,Fulham,0.0,0.0,3.49,89.0,1,0,0,0,0,0,0,0,0.0
51,12,Lascelles,DEF,2,Newcastle,0.0,0.0,4.57,80.0,1,0,1,0,0,0,0,0,0.0
47,12,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.43,75.0,1,0,2,0,0,0,0,0,0.0
44,12,Tsimikas,DEF,2,Liverpool,0.0,0.0,3.96,78.0,1,0,3,0,0,0,0,0,0.0
65,13,Leno,GKP,1,Fulham,0.0,0.0,4.5,89.0,1,1,-1,0,0,0,0,1,4.500815605093518
