,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
14,10,A.Becker,GKP,1,Liverpool,5.5,0.0,5.2,89.0,1,1,-1,0,0,1,0,1,5.204184349564577
5,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.35,87.0,1,1,-1,0,0,0,0,1,5.350401013506827
12,10,Tsimikas,DEF,2,Liverpool,4.5,0.0,5.44,78.0,1,1,-1,0,0,1,0,1,5.437372477182194
11,10,White,DEF,2,Arsenal,5.6,0.0,5.64,84.0,1,1,-1,0,0,1,0,1,5.640707642113668
4,10,Mitoma,MID,3,Brighton,6.5,0.0,5.86,76.0,1,1,-1,0,0,1,0,1,5.8631557543336745
2,10,Saka,MID,3,Arsenal,8.5,0.0,6.31,86.0,1,1,-1,0,0,1,0,1,6.312533580858509
1,10,Son,MID,3,Spurs,0.0,0.0,6.91,77.0,1,1,-1,0,0,0,0,1,6.91440133399196
21,10,Bailey,MID,3,Aston Villa,5.5,0.0,7.06,48.0,1,1,-1,0,1,1,0,1,7.062260669812881
0,10,Salah,MID,3,Liverpool,0.0,0.0,7.76,87.0,1,1,-1,1,0,0,0,2,15.516151001207298
9,10,J.Alvarez,FWD,4,Man City,0.0,0.0,5.01,78.0,1,1,-1,0,0,0,0,1,5.014762436916031
6,10,Watkins,FWD,4,Aston Villa,8.3,0.0,5.25,86.0,1,1,-1,0,0,1,0,1,5.2480820382621785
19,10,Verbruggen,GKP,1,Brighton,4.4,0.0,5.06,70.0,1,0,0,0,0,1,0,0,0.0
13,10,Foster,FWD,4,Burnley,5.0,0.0,4.39,75.0,1,0,1,0,0,1,0,0,0.0
22,10,R.Varane,DEF,2,Man Utd,0.0,0.0,3.5,50.0,1,0,2,0,0,0,0,0,0.0
20,10,Rúben,DEF,2,Man City,5.5,0.0,2.87,72.0,1,0,3,0,0,1,0,0,0.0
18,10,Leno,GKP,1,Fulham,0.0,4.7,3.25,89.0,0,0,-1,0,0,0,1,0,0.0
16,10,Raya,GKP,1,Arsenal,0.0,4.8,5.46,85.0,0,0,-1,0,0,0,1,0,0.0
24,10,Robertson,DEF,2,Liverpool,0.0,6.5,0.0,0.0,0,0,-1,0,0,0,1,0,0.0
15,10,Andersen,DEF,2,Crystal Palace,0.0,4.8,4.02,85.0,0,0,-1,0,0,0,1,0,0.0
10,10,Cash,DEF,2,Aston Villa,0.0,4.9,5.45,80.0,0,0,-1,0,0,0,1,0,0.0
7,10,B.Fernandes,MID,3,Man Utd,0.0,8.3,4.27,88.0,0,0,-1,0,0,0,1,0,0.0
8,10,Mbeumo,MID,3,Brentford,0.0,6.6,4.55,83.0,0,0,-1,0,0,0,1,0,0.0
3,10,Maddison,MID,3,Spurs,0.0,8.0,5.11,80.0,0,0,-1,0,0,0,1,0,0.0
23,10,Mubama,FWD,4,West Ham,0.0,4.3,0.17,1.0,0,0,-1,0,0,0,1,0,0.0
17,10,Solanke,FWD,4,Bournemouth,0.0,6.4,4.12,88.0,0,0,-1,0,0,0,1,0,0.0
35,11,A.Becker,GKP,1,Liverpool,0.0,0.0,4.43,89.0,1,1,-1,0,0,0,0,1,4.429059840507331
29,11,Trippier,DEF,2,Newcastle,0.0,0.0,4.71,87.0,1,1,-1,0,0,0,0,1,4.706845221736838
33,11,Tsimikas,DEF,2,Liverpool,0.0,0.0,5.42,78.0,1,1,-1,0,0,0,0,1,5.421972887476932
37,11,Rúben,DEF,2,Man City,0.0,0.0,6.25,72.0,1,1,-1,0,0,0,0,1,6.251409164209598
28,11,Mitoma,MID,3,Brighton,0.0,0.0,5.3,76.0,1,1,-1,0,0,0,0,1,5.295426125144132
38,11,Bailey,MID,3,Aston Villa,0.0,0.0,6.1,48.0,1,1,-1,0,0,0,0,1,6.095531076380446
26,11,Son,MID,3,Spurs,0.0,0.0,7.75,77.0,1,1,-1,0,1,0,0,1,7.749086524192728
25,11,Salah,MID,3,Liverpool,0.0,0.0,7.81,87.0,1,1,-1,1,0,0,0,2,15.614576080694043
