,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
11,7,Kaminski,GKP,1,Luton,0.0,0.0,7.3,89.0,1,1,-1,0,1,0,0,1,7.296
5,7,Estupiñan,DEF,2,Brighton,0.0,0.0,4.42,75.0,1,1,-1,0,0,0,0,1,4.422
14,7,Andersen,DEF,2,Luton,0.0,0.0,4.96,50.0,1,1,-1,0,0,0,0,1,4.962
7,7,Botman,DEF,2,Newcastle,0.0,0.0,5.83,82.0,1,1,-1,0,0,0,0,1,5.833
12,7,Kaboré,DEF,2,Luton,0.0,0.0,6.28,72.0,1,1,-1,0,0,0,0,1,6.284
2,7,Son,MID,3,Spurs,0.0,0.0,5.17,82.0,1,1,-1,0,0,0,0,1,5.172
4,7,Mbeumo,MID,3,Brentford,0.0,0.0,5.54,83.0,1,1,-1,0,0,0,0,1,5.535
0,7,Salah,MID,3,Liverpool,0.0,0.0,6.31,85.0,1,1,-1,0,0,0,0,1,6.314
3,7,Saka,MID,3,Arsenal,0.0,0.0,6.39,85.0,1,1,-1,0,0,0,0,1,6.394
6,7,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.33,75.0,1,1,-1,0,0,0,0,1,4.334
1,7,Haaland,FWD,4,Man City,0.0,0.0,7.51,86.0,1,1,-1,1,0,0,0,2,15.02
8,7,Leno,GKP,1,Fulham,0.0,0.0,4.06,89.0,1,0,0,0,0,0,0,0,0.0
9,7,Saliba,DEF,2,Arsenal,0.0,0.0,3.82,82.0,1,0,1,0,0,0,0,0,0.0
10,7,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.38,78.0,1,0,2,0,0,0,0,0,0.0
13,7,Trossard,MID,3,Arsenal,0.0,0.0,2.81,35.0,1,0,3,0,0,0,0,0,0.0
25,8,Leno,GKP,1,Fulham,0.0,0.0,5.16,89.0,1,1,-1,0,0,0,0,1,5.164
24,8,Botman,DEF,2,Newcastle,0.0,0.0,3.99,82.0,1,1,-1,0,0,0,0,1,3.991
21,8,Estupiñan,DEF,2,Brighton,0.0,0.0,4.15,75.0,1,1,-1,0,0,0,0,1,4.148
22,8,Cash,DEF,2,Aston Villa,4.7,0.0,4.57,74.0,1,1,-1,0,0,1,0,1,4.567
18,8,Saka,MID,3,Arsenal,0.0,0.0,4.78,85.0,1,1,-1,0,0,0,0,1,4.776
20,8,Diaby,MID,3,Aston Villa,6.6,0.0,4.96,77.0,1,1,-1,0,0,1,0,1,4.958
19,8,Mbeumo,MID,3,Brentford,0.0,0.0,5.04,83.0,1,1,-1,0,0,0,0,1,5.043
15,8,Salah,MID,3,Liverpool,0.0,0.0,5.71,85.0,1,1,-1,0,1,0,0,1,5.712
17,8,Son,MID,3,Spurs,0.0,0.0,7.54,82.0,1,1,-1,1,0,0,0,2,15.072
23,8,Edouard,FWD,4,Crystal Palace,0.0,0.0,4.75,75.0,1,1,-1,0,0,0,0,1,4.75
16,8,Haaland,FWD,4,Man City,0.0,0.0,5.55,86.0,1,1,-1,0,0,0,0,1,5.549
28,8,Kaminski,GKP,1,Luton,0.0,0.0,3.42,89.0,1,0,0,0,0,0,0,0,0.0
27,8,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.56,78.0,1,0,1,0,0,0,0,0,0.0
29,8,Kaboré,DEF,2,Luton,0.0,0.0,2.82,72.0,1,0,2,0,0,0,0,0,0.0
31,8,Andersen,DEF,2,Luton,0.0,0.0,1.95,50.0,1,0,3,0,0,0,0,0,0.0
26,8,Saliba,DEF,2,Arsenal,0.0,5.1,2.33,82.0,0,0,-1,0,0,0,1,0,0.0
30,8,Trossard,MID,3,Arsenal,0.0,6.6,2.22,35.0,0,0,-1,0,0,0,1,0,0.0
42,9,Leno,GKP,1,Fulham,0.0,0.0,3.9,89.0,1,1,-1,0,0,0,0,1,3.899
38,9,Estupiñan,DEF,2,Brighton,0.0,0.0,3.09,75.0,1,1,-1,0,0,0,0,1,3.091
41,9,Botman,DEF,2,Newcastle,0.0,0.0,4.25,82.0,1,1,-1,0,0,0,0,1,4.247
39,9,Cash,DEF,2,Aston Villa,0.0,0.0,4.5,74.0,1,1,-1,0,0,0,0,1,4.499
37,9,Diaby,MID,3,Aston Villa,0.0,0.0,4.75,77.0,1,1,-1,0,0,0,0,1,4.747
35,9,Saka,MID,3,Arsenal,0.0,0.0,5.22,85.0,1,1,-1,0,0,0,0,1,5.221
