,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
7,1,Ramsdale,GKP,1,Arsenal,5.0,0,5.25,85.0,1,1,-1,0,0,1,0,1,5.246
10,1,Shaw,DEF,2,Man Utd,5.5,0,4.89,84.0,1,1,-1,0,0,1,0,1,4.891
11,1,Saliba,DEF,2,Arsenal,5.0,0,5.16,80.0,1,1,-1,0,0,1,0,1,5.157
9,1,Gabriel,DEF,2,Arsenal,5.0,0,5.34,83.0,1,1,-1,0,0,1,0,1,5.338
8,1,Estupiñan,DEF,2,Brighton,5.0,0,5.62,77.0,1,1,-1,0,0,1,0,1,5.615
4,1,Mbeumo,MID,3,Brentford,6.5,0,5.13,82.0,1,1,-1,0,0,1,0,1,5.134
5,1,Mitoma,MID,3,Brighton,6.5,0,5.53,82.0,1,1,-1,0,0,1,0,1,5.533
6,1,Gross,MID,3,Brighton,6.5,0,5.54,84.0,1,1,-1,0,0,1,0,1,5.545
2,1,B.Fernandes,MID,3,Man Utd,8.5,0,6.05,85.0,1,1,-1,0,0,1,0,1,6.053
0,1,Salah,MID,3,Liverpool,12.5,0,6.45,82.0,1,1,-1,0,1,1,0,1,6.446
1,1,Haaland,FWD,4,Man City,14.0,0,6.91,80.0,1,1,-1,1,0,1,0,2,13.824
14,1,Areola,GKP,1,West Ham,4.0,0,0.4,10.0,1,0,0,0,0,1,0,0,0.0
3,1,Nkunku,FWD,4,Chelsea,7.5,0,4.36,77.0,1,0,1,0,0,1,0,0,0.0
12,1,Basham,DEF,2,Sheffield Utd,4.0,0,2.63,77.0,1,0,2,0,0,1,0,0,0.0
13,1,Semenyo,FWD,4,Bournemouth,4.5,0,0.77,12.0,1,0,3,0,0,1,0,0,0.0
22,2,Ramsdale,GKP,1,Arsenal,0.0,0,3.85,85.0,1,1,-1,0,0,0,0,1,3.847
24,2,Gabriel,DEF,2,Arsenal,0.0,0,3.71,83.0,1,1,-1,0,0,0,0,1,3.714
25,2,Shaw,DEF,2,Man Utd,0.0,0,3.77,84.0,1,1,-1,0,0,0,0,1,3.774
23,2,Estupiñan,DEF,2,Brighton,0.0,0,4.46,77.0,1,1,-1,0,0,0,0,1,4.459
19,2,Mbeumo,MID,3,Brentford,0.0,0,4.9,82.0,1,1,-1,0,0,0,0,1,4.903
21,2,Gross,MID,3,Brighton,0.0,0,5.04,84.0,1,1,-1,0,0,0,0,1,5.043
20,2,Mitoma,MID,3,Brighton,0.0,0,5.27,82.0,1,1,-1,0,0,0,0,1,5.269
17,2,B.Fernandes,MID,3,Man Utd,0.0,0,5.37,85.0,1,1,-1,0,1,0,0,1,5.372
15,2,Salah,MID,3,Liverpool,0.0,0,7.3,82.0,1,1,-1,1,0,0,0,2,14.606
18,2,Nkunku,FWD,4,Chelsea,0.0,0,4.91,77.0,1,1,-1,0,0,0,0,1,4.911
16,2,Haaland,FWD,4,Man City,0.0,0,5.02,80.0,1,1,-1,0,0,0,0,1,5.02
29,2,Areola,GKP,1,West Ham,0.0,0,0.39,10.0,1,0,0,0,0,0,0,0,0.0
26,2,Saliba,DEF,2,Arsenal,0.0,0,3.54,80.0,1,0,1,0,0,0,0,0,0.0
27,2,Basham,DEF,2,Sheffield Utd,0.0,0,2.71,77.0,1,0,2,0,0,0,0,0,0.0
28,2,Semenyo,FWD,4,Bournemouth,0.0,0,0.71,12.0,1,0,3,0,0,0,0,0,0.0
37,3,Ramsdale,GKP,1,Arsenal,0.0,0,4.72,85.0,1,1,-1,0,0,0,0,1,4.72
38,3,Estupiñan,DEF,2,Brighton,0.0,0,4.53,77.0,1,1,-1,0,0,0,0,1,4.53
39,3,Gabriel,DEF,2,Arsenal,0.0,0,4.64,83.0,1,1,-1,0,0,0,0,1,4.638
40,3,Shaw,DEF,2,Man Utd,0.0,0,5.05,84.0,1,1,-1,0,0,0,0,1,5.047
36,3,Gross,MID,3,Brighton,0.0,0,5.02,84.0,1,1,-1,0,0,0,0,1,5.019
34,3,Mbeumo,MID,3,Brentford,0.0,0,5.08,82.0,1,1,-1,0,0,0,0,1,5.075
35,3,Mitoma,MID,3,Brighton,0.0,0,5.18,82.0,1,1,-1,0,0,0,0,1,5.178
30,3,Salah,MID,3,Liverpool,0.0,0,5.38,82.0,1,1,-1,0,0,0,0,1,5.384
32,3,B.Fernandes,MID,3,Man Utd,0.0,0,6.21,85.0,1,1,-1,0,1,0,0,1,6.208
33,3,Nkunku,FWD,4,Chelsea,0.0,0,5.83,77.0,1,1,-1,0,0,0,0,1,5.826
31,3,Haaland,FWD,4,Man City,0.0,0,7.69,80.0,1,1,-1,1,0,0,0,2,15.372
44,3,Areola,GKP,1,West Ham,0.0,0,0.35,10.0,1,0,0,0,0,0,0,0,0.0
41,3,Saliba,DEF,2,Arsenal,0.0,0,4.45,80.0,1,0,1,0,0,0,0,0,0.0
42,3,Basham,DEF,2,Sheffield Utd,0.0,0,1.51,77.0,1,0,2,0,0,0,0,0,0.0
43,3,Semenyo,FWD,4,Bournemouth,0.0,0,0.77,12.0,1,0,3,0,0,0,0,0,0.0
