,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
14,6,Johnstone,GKP,1,Crystal Palace,0.0,0.0,3.83,75.0,1,1,-1,0,0,0,0,1,3.833
15,6,Clyne,DEF,2,Crystal Palace,4.4,0.0,3.52,72.0,1,1,-1,0,0,1,0,1,3.52
13,6,Pinnock,DEF,2,Brentford,0.0,0.0,4.43,85.0,1,1,-1,0,0,0,0,1,4.433
11,6,Botman,DEF,2,Newcastle,4.5,0.0,4.45,82.0,1,1,-1,0,0,1,0,1,4.454
9,6,Trippier,DEF,2,Newcastle,6.5,0.0,4.71,87.0,1,1,-1,0,0,1,0,1,4.708
5,6,Bowen,MID,3,West Ham,7.1,0.0,4.5,82.0,1,1,-1,0,0,1,0,1,4.499
8,6,Mitoma,MID,3,Brighton,0.0,0.0,5.11,76.0,1,1,-1,0,0,0,0,1,5.109
3,6,Mbeumo,MID,3,Brentford,0.0,0.0,5.8,83.0,1,1,-1,0,0,0,0,1,5.801
4,6,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.81,88.0,1,1,-1,0,1,0,0,1,5.809
0,6,Salah,MID,3,Liverpool,0.0,0.0,6.94,85.0,1,1,-1,1,0,0,0,2,13.882
7,6,J.Alvarez,FWD,4,Man City,6.8,0.0,5.17,77.0,1,1,-1,0,0,1,0,1,5.166
19,6,Steele,GKP,1,Brighton,0.0,0.0,0.83,20.0,1,0,0,0,0,0,0,0,0.0
16,6,Andersen,DEF,2,Luton,4.0,0.0,3.22,63.0,1,0,1,0,0,1,0,0,0.0
18,6,Semenyo,FWD,4,Bournemouth,0.0,0.0,0.73,10.0,1,0,2,0,0,0,0,0,0.0
20,6,Mubama,FWD,4,West Ham,0.0,0.0,0.16,3.0,1,0,3,0,0,0,0,0,0.0
17,6,Chilwell,DEF,2,Chelsea,0.0,5.7,2.21,60.0,0,0,-1,0,0,0,1,0,0.0
10,6,Romero,DEF,2,Spurs,0.0,4.7,3.18,82.0,0,0,-1,0,0,0,1,0,0.0
12,6,Saliba,DEF,2,Arsenal,0.0,5.1,3.97,82.0,0,0,-1,0,0,0,1,0,0.0
6,6,Estupiñan,DEF,2,Brighton,0.0,5.1,5.59,77.0,0,0,-1,0,0,0,1,0,0.0
2,6,Saka,MID,3,Arsenal,0.0,8.6,6.0,85.0,0,0,-1,0,0,0,1,0,0.0
1,6,Haaland,FWD,4,Man City,0.0,14.0,7.48,86.0,0,0,-1,0,0,0,1,0,0.0
33,7,Kaminski,GKP,1,Luton,4.5,0.0,7.11,89.0,1,1,-1,0,1,1,0,1,7.113
28,7,Botman,DEF,2,Newcastle,0.0,0.0,5.47,82.0,1,1,-1,0,0,0,0,1,5.466
27,7,Trippier,DEF,2,Newcastle,0.0,0.0,5.74,87.0,1,1,-1,0,0,0,0,1,5.742
35,7,Andersen,DEF,2,Luton,0.0,0.0,7.14,63.0,1,1,-1,1,0,0,0,2,14.278
26,7,Mitoma,MID,3,Brighton,0.0,0.0,4.36,76.0,1,1,-1,0,0,0,0,1,4.357
23,7,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.99,88.0,1,1,-1,0,0,0,0,1,4.992
22,7,Mbeumo,MID,3,Brentford,0.0,0.0,5.89,83.0,1,1,-1,0,0,0,0,1,5.894
24,7,Bowen,MID,3,West Ham,0.0,0.0,6.65,82.0,1,1,-1,0,0,0,0,1,6.652
21,7,Salah,MID,3,Liverpool,0.0,0.0,6.66,85.0,1,1,-1,0,0,0,0,1,6.661
25,7,J.Alvarez,FWD,4,Man City,0.0,0.0,5.03,77.0,1,1,-1,0,0,0,0,1,5.03
32,7,Morris,FWD,4,Luton,5.5,0.0,6.57,82.0,1,1,-1,0,0,1,0,1,6.571
31,7,Johnstone,GKP,1,Crystal Palace,0.0,0.0,3.04,75.0,1,0,0,0,0,0,0,0,0.0
30,7,Pinnock,DEF,2,Brentford,0.0,0.0,4.0,85.0,1,0,1,0,0,0,0,0,0.0
29,7,Saliba,DEF,2,Arsenal,5.2,0.0,3.89,82.0,1,0,2,0,0,1,0,0,0.0
38,7,Mubama,FWD,4,West Ham,0.0,0.0,0.4,3.0,1,0,3,0,0,0,0,0,0.0
37,7,Steele,GKP,1,Brighton,0.0,4.4,0.79,20.0,0,0,-1,0,0,0,1,0,0.0
34,7,Clyne,DEF,2,Crystal Palace,0.0,4.4,2.56,72.0,0,0,-1,0,0,0,1,0,0.0
36,7,Semenyo,FWD,4,Bournemouth,0.0,4.5,0.77,10.0,0,0,-1,0,0,0,1,0,0.0
