"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"445","Emerson R","DEF","TOT","5","1.34","37.79","1.31","23.58","1.18","23.58","1.01","23.58","1.31","23.58","41.34"
"336","van de Beek","MID","MUN","5.5","1.34","22.74","0.73","11.84","0.84","11.84","0.80","11.84","0.79","11.84","30.42"
"76","Zemura","DEF","BOU","4.5","1.33","82.14","2.78","82.14","1.46","82.14","3.69","82.14","3.14","78.93","89.77"
"380","Taylor","FWD","NFO","4.5","1.33","21.32","0.94","12.63","0.91","12.63","0.73","11.05","0.89","11.05","30.85"
"73","Kelly","DEF","BOU","4.5","1.30","84.55","2.71","84.55","1.42","84.55","3.56","84.55","3.10","83.89","100.76"
"365","Murphy","MID","NEW","4.5","1.28","21.32","1.17","21.32","1.33","21.32","1.13","21.32","1.39","21.32","49.67"
"9","Pepe","MID","ARS","5.4","1.26","12.63","1.03","10.53","1.09","10.53","1.00","10.53","0.91","10.53","36.17"
"475","Coady","DEF","EVE","5","1.25","41.21","1.75","41.21","1.37","41.21","1.28","41.21","0.97","41.21","49.05"
"485","Cundle","MID","WOL","4.5","1.23","25.26","0.87","19.34","0.69","13.47","0.33","5.26","0.34","5.26","10.98"
"69","Christie","MID","BOU","5.5","1.22","31.97","1.47","31.97","1.25","31.97","1.63","31.97","1.58","31.97","55.54"
"213","Rodak","GK","FUL","4.5","1.19","33.16","0.12","2.96","0.09","2.96","0.12","2.96","0.07","2.96","4.88"
"135","Ziyech","MID","CHE","5.9","1.19","19.34","1.37","19.34","1.39","19.34","1.36","19.34","1.33","19.34","47.31"
"341","Wan-Bissaka","DEF","MUN","4.5","1.18","29.47","0.93","29.47","1.18","29.47","1.05","29.47","1.16","29.47","43.67"
"91","Sorensen","DEF","BRE","4.5","1.11","35.53","0.86","23.95","0.69","15.79","0.33","8.53","0.23","5.26","5.01"
"177","Rondon","FWD","EVE","5","1.10","21.05","1.11","16.58","0.70","11.05","0.52","7.37","0.44","7.37","9.69"
"68","Pearson","MID","BOU","4.5","1.09","33.16","1.23","33.16","1.10","33.16","1.33","33.16","1.21","29.84","38.69"
"574","N Neto","GK","BOU","4.5","1.07","61.99","2.73","81.42","1.56","81.42","3.50","81.42","3.48","81.42","105.49"
"105","Duffy","DEF","FUL","4.5","1.07","29.47","1.65","39.50","1.03","39.50","1.57","39.50","0.92","39.50","49.63"
"508","Sinisterra","MID","LEE","6.5","1.07","22.74","2.09","54.93","2.74","71.29","3.33","71.29","2.94","71.29","105.31"
"180","Keane","DEF","EVE","4.5","1.06","32.42","1.47","32.42","1.16","32.42","1.08","32.42","0.86","32.42","41.72"
"221","Cooper","DEF","LEE","4.5","1.06","37.79","1.34","51.50","1.38","51.50","1.89","51.50","1.47","51.50","52.14"
"296","Carvalho","MID","LIV","5.5","1.06","16.58","0.95","16.58","1.00","13.47","0.87","13.47","0.74","11.05","28.24"
"14","Tomiyasu","DEF","ARS","4.5","1.05","23.58","2.80","60.64","3.00","60.64","2.79","60.64","2.03","60.64","91.98"
"57","A Smith","DEF","BOU","4.5","1.04","78.50","1.67","57.07","0.83","57.07","2.24","57.07","1.89","54.93","58.73"
"71","Mepham","DEF","BOU","4.5","1.02","71.07","1.51","49.79","0.80","49.79","1.99","49.79","1.66","47.31","54.48"
"251","Albrighton","MID","LEI","5","1.02","24.87","1.28","24.87","0.99","24.87","1.04","22.11","0.87","18.95","31.07"
"270","Thomas","DEF","LEI","4.5","1.01","38.50","1.56","38.50","0.97","38.50","1.23","38.50","1.25","38.50","47.49"
"416","I Diallo","MID","SOU","4.5","1.00","19.34","0.90","19.34","0.91","19.34","0.87","19.34","0.91","19.34","33.75"
"482","Semedo","DEF","WOL","5","0.98","18.95","1.11","35.37","2.31","48.83","2.77","58.36","2.97","58.36","88.05"
"58","Stanislas","MID","BOU","5","0.97","18.95","1.14","18.95","0.99","18.95","1.25","18.95","1.22","18.95","43.00"
"404","Stephens","DEF","SOU","4.5","0.93","23.58","0.60","19.16","0.66","19.16","0.66","19.16","0.73","19.16","25.63"
"580","Damsgaard","MID","BRE","5.5","0.93","12.63","1.69","33.68","2.34","48.83","2.02","48.83","2.45","48.83","76.14"
"190","T Davies","MID","EVE","5","0.90","19.34","0.64","11.05","0.59","11.05","0.61","11.05","0.54","11.05","22.02"
"158","Milivojevic","MID","CRY","4.5","0.89","23.21","1.08","23.21","0.87","23.21","1.14","23.21","0.99","23.21","39.06"
"39","Mings","DEF","AVL","4.5","0.88","20.37","0.74","20.37","0.78","20.37","0.57","20.37","0.52","20.37","26.51"
"25","Vieira","MID","ARS","5.9","0.88","11.37","1.64","23.58","1.75","23.58","1.60","23.58","1.44","23.58","56.72"
