"ID","Name","Pos","Team","Price","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts 7","xMin 7","xPts GW3-38"
"283","Salah","MID","LIV","13","5.77","82.79","7.88","80.40","6.14","80.40","6.25","78.65","6.77","77.77","222.06"
"427","Kane","FWD","TOT","11.4","5.76","78.65","5.72","78.65","4.94","78.65","6.30","78.65","3.58","78.65","190.42"
"428","Son","MID","TOT","11.9","5.74","71.66","5.64","71.66","4.84","71.66","6.23","71.66","3.40","71.66","187.18"
"261","Maddison","MID","LEI","8","5.63","76.90","3.40","76.90","4.30","71.29","3.73","71.29","4.44","71.29","150.34"
"304","Sterling","MID","CHE","10","5.23","70.36","5.26","67.79","5.00","67.79","4.90","67.79","4.67","66.93","158.30"
"28","Jesus","FWD","ARS","8.1","5.05","73.40","5.54","73.40","4.90","73.40","4.24","73.40","5.42","73.40","167.29"
"255","Vardy","FWD","LEI","9.5","4.73","64.33","3.01","64.33","3.95","64.33","3.41","64.33","4.00","64.33","136.62"
"285","Trent","DEF","LIV","7.5","4.62","82.14","6.79","82.14","5.72","82.14","5.52","82.14","6.30","82.14","197.06"
"142","Mount","MID","CHE","8","4.56","71.66","4.68","71.66","4.40","69.55","4.29","69.19","4.11","67.79","137.56"
"13","Saka","MID","ARS","8","4.55","75.74","4.98","75.74","4.51","75.74","3.84","75.74","4.89","75.74","152.90"
"210","Mitrovic","FWD","FUL","6.6","4.54","80.40","3.37","79.98","4.04","79.98","3.32","79.98","3.47","78.24","142.03"
"306","Cancelo","DEF","MCI","7.1","4.52","80.64","5.52","80.64","5.44","74.74","4.65","81.50","4.68","81.50","179.20"
"465","Bowen","MID","WHU","8.5","4.51","76.90","3.98","73.40","3.96","73.40","3.31","73.40","4.24","73.40","155.12"
"182","Pickford","GK","EVE","4.5","4.48","87.81","3.73","87.81","3.88","87.81","2.48","87.81","2.98","87.81","127.86"
"15","Ramsdale","GK","ARS","5","4.47","87.43","4.49","87.43","4.11","87.43","3.35","87.43","4.54","87.43","140.43"
"425","Lloris","GK","TOT","5.5","4.44","87.81","4.37","87.81","3.64","87.81","4.40","87.81","2.28","87.81","138.87"
"435","D Sanchez","DEF","TOT","4.4","4.29","81.71","2.14","47.50","0.56","14.74","0.19","3.68","0.10","3.68","12.30"
"318","Haaland","FWD","MCI","11.7","4.28","68.50","5.20","68.50","5.13","55.36","4.64","68.50","4.72","68.50","181.25"
"160","Zaha","MID","CRY","7","4.24","80.40","2.88","80.40","4.48","80.40","3.53","80.40","4.13","80.40","145.03"
"301","De Bruyne","MID","MCI","12.1","4.22","69.55","5.10","69.55","5.46","61.83","4.54","69.55","4.52","69.55","176.72"
"146","R James","DEF","CHE","6.1","4.17","71.29","4.40","67.79","3.93","64.36","4.07","61.83","3.93","61.83","139.01"
